event_name,section_name,row_name,seat_num,last_seat,num_seats,acct_id,zip,add_datetime,price_code,comp,comp_name,purchase_price,paid_amount,source
240420C1,GA1,G01,11,13,3,9176172,30084,3/31/2024,A0B,N,Not Comp,10,30,online
240419BT,GA2,G08,29,29,1,8943006,30363,4/16/2024,A0E,N,Not Comp,0,0,online
240419BT,GA2,G08,40,40,1,9617850,30083,4/16/2024,A0E,N,Not Comp,0,0,online
240419BT,GA2,G08,44,44,1,8942894,20176,4/16/2024,A0E,N,Not Comp,0,0,online
240419BT,GA2,G09,11,11,1,9747444,30075,4/16/2024,A0E,N,Not Comp,0,0,online
240419BT,GA2,G09,35,35,1,8630517,30032,4/16/2024,A0E,N,Not Comp,0,0,online
240419BT,GA2,G09,40,40,1,8784081,30309,4/16/2024,A0E,N,Not Comp,0,0,online
240419BT,GA2,G09,41,41,1,8991929,19341,4/16/2024,A0E,N,Not Comp,0,0,online
240419BT,GA2,G10,9,9,1,9531691,30306,4/16/2024,A0E,N,Not Comp,0,0,online
240419BT,GA2,G10,24,24,1,9594082,30032,4/16/2024,A0E,N,Not Comp,0,0,online
240419BT,GA2,G10,47,47,1,9279821,30809,4/17/2024,A0E,N,Not Comp,0,0,online
240419BT,GA2,G10,49,49,1,9731697,30909,4/17/2024,A0E,N,Not Comp,0,0,online
240419BT,GA3,G01,19,19,1,9616033,30305,4/17/2024,A0B,N,Not Comp,0,0,online
240419BT,GA3,G01,41,41,1,9537083,30087,4/17/2024,A0E,N,Not Comp,0,0,online
240419BT,GA3,G01,44,44,1,9767142,30338,4/17/2024,A0E,N,Not Comp,0,0,online
240419BT,GA3,G01,45,45,1,9321372,,4/17/2024,A0E,N,Not Comp,0,0,online
240419BT,GA3,G02,31,31,1,8932653,30044,4/17/2024,A0E,N,Not Comp,0,0,online
240419BT,GA3,G03,1,1,1,9006938,,4/17/2024,A0E,N,Not Comp,0,0,online
240419BT,GA3,G03,17,17,1,8900919,30034,4/17/2024,A0E,N,Not Comp,0,0,online
240419BT,GA3,G05,12,12,1,9589642,30041,4/18/2024,A0E,N,Not Comp,0,0,online
240419BT,GA3,G05,39,39,1,9617850,30083,4/19/2024,A0B,N,Not Comp,0,0,online
240419BT,GA3,G06,30,30,1,9589642,30041,4/19/2024,A0B,N,Not Comp,0,0,online
241210SE,BALCR,F,1,1,1,8469198,30308,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,2,2,1,8469198,30308,12/4/2023,H0B,N,Not Comp,14,14,online
241210SE,BALCR,F,3,3,1,246216,30002,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,4,4,1,9068837,30043,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,5,5,1,9166221,30043,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,6,6,1,8920833,30047,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,7,7,1,8093927,30308,12/4/2023,H0B,N,Not Comp,14,14,online
241210SE,BALCR,F,8,8,1,8093927,30308,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,9,9,1,9537083,30087,12/4/2023,H0B,N,Not Comp,14,14,online
241210SE,BALCR,F,10,10,1,9537083,30087,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,11,11,1,9342305,30312,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,12,12,1,8956094,30309,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,13,13,1,8942894,20176,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,14,14,1,8913907,30253,12/4/2023,H0B,N,Not Comp,14,14,online
241210SE,BALCR,F,15,15,1,8913907,30253,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,16,16,1,9036225,30332,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,17,17,1,9108781,10065,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,18,18,1,9652133,30152,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,19,19,1,9652103,30152,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,F,20,20,1,9652129,30152,12/4/2023,H0E,N,Not Comp,0,0,online
241210SE,BALCR,J,1,1,1,8770936,30253,12/6/2023,I0E,N,Not Comp,0,0,online
241210SE,BALCR,J,2,2,1,9157186,30040,12/5/2023,I0E,N,Not Comp,0,0,online
241210SE,BALCR,J,3,3,1,9156852,30318,12/5/2023,I0E,N,Not Comp,0,0,online
241210SE,BALCR,J,4,4,1,9416116,30309,12/5/2023,I0E,N,Not Comp,0,0,online
241210SE,BALCR,J,5,5,1,8554256,30309,12/5/2023,I0E,N,Not Comp,0,0,online
241210SE,BALCR,J,6,6,1,9659842,45419,12/5/2023,I0B,N,Not Comp,14,14,online
241210SE,BALCR,J,7,7,1,9659842,45419,12/5/2023,I0E,N,Not Comp,0,0,online
241210SE,BALCR,J,8,8,1,8883093,30319,12/5/2023,I0B,N,Not Comp,14,14,online
241210SE,BALCR,J,9,9,1,8883093,30319,12/5/2023,I0E,N,Not Comp,0,0,online
241210SE,BALCR,J,10,10,1,9027079,30909,12/4/2023,I0E,N,Not Comp,0,0,online
241210SE,BALCR,J,11,11,1,9048310,30721,12/4/2023,I0E,N,Not Comp,0,0,online
231218SE,DRESSR,K,8,8,1,8784081,30309,12/12/2022,G0B,N,Not Comp,14,14,online
241214SE,LOGEL,D,5,5,1,7791492,30033,12/12/2023,E0E,N,Not Comp,0,0,online
241214SE,LOGEL,E,15,15,1,8868288,30303,12/14/2023,E0E,N,Not Comp,0,0,online
241214SE,LOGEL,E,16,16,1,8923825,30317,12/14/2023,E0E,N,Not Comp,0,0,online
241214SE,LOGEL,F,4,4,1,8913279,30324,12/14/2023,E0E,N,Not Comp,0,0,online
241214SE,LOGEL,F,5,5,1,8913182,30324,12/14/2023,E0E,N,Not Comp,0,0,online
241214SE,LOGEL,F,11,11,1,7697560,30313,12/12/2023,E0E,N,Not Comp,0,0,online
