acct_id,category,attrib_name,attrib_value
246216,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,72
246216,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
246216,LA Group B: Household Demographics,HH Marital Status,Married
246216,LA Group H: Education Demographics,Input Ind - Education,High School
276070,LA Group B: Household Demographics,HH Marital Status,Married
276070,LA Group H: Education Demographics,Input Ind - Education,College
276070,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,52
276070,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
1617234,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,48
1617234,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
1617234,LA Group B: Household Demographics,HH Marital Status,Single
1617234,LA Group H: Education Demographics,Input Ind - Education,Graduate School
2525154,LA Group H: Education Demographics,Input Ind - Education,High School
2525154,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
2525154,LA Group B: Household Demographics,HH Marital Status,Married
2525154,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,58
2635663,LA Group B: Household Demographics,HH Marital Status,Single
2635663,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
2635663,LA Group H: Education Demographics,Input Ind - Education,Graduate School
2635663,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,68
3643181,LA Group B: Household Demographics,HH Marital Status,Single
3643181,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
3643181,LA Group H: Education Demographics,Input Ind - Education,High School
3643181,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,34
4665262,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,48
4665262,LA Group A: Gender/Age Demographics,1st Ind - Gender,Unknown
4665262,LA Group H: Education Demographics,Input Ind - Education,College
4665262,LA Group B: Household Demographics,HH Marital Status,Single
5115250,LA Group B: Household Demographics,HH Marital Status,Married
5115250,LA Group H: Education Demographics,Input Ind - Education,High School
5115250,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
5115250,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,44
5997290,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,34
5997290,LA Group B: Household Demographics,HH Marital Status,Married
5997290,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
5997290,LA Group H: Education Demographics,Input Ind - Education,High School
6250214,LA Group H: Education Demographics,Input Ind - Education,College
6250214,LA Group B: Household Demographics,HH Marital Status,Single
6250214,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,44
6250214,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
6336972,LA Group B: Household Demographics,HH Marital Status,Inferred Single
6336972,LA Group A: Gender/Age Demographics,1st Ind - Gender,Unknown
6457618,LA Group H: Education Demographics,Input Ind - Education,College
6457618,LA Group B: Household Demographics,HH Marital Status,Single
6457618,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
6457618,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,42
6581185,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,58
6581185,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
6581185,LA Group H: Education Demographics,Input Ind - Education,Graduate School
6581185,LA Group B: Household Demographics,HH Marital Status,Married
6619734,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
6619734,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,60
6619734,LA Group B: Household Demographics,HH Marital Status,Single
6642549,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,60
6642549,LA Group H: Education Demographics,Input Ind - Education,High School
6642549,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
6642549,LA Group B: Household Demographics,HH Marital Status,Married
7084338,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
7084338,LA Group B: Household Demographics,HH Marital Status,Married
7084338,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,62
7084338,LA Group H: Education Demographics,Input Ind - Education,Graduate School
7097857,LA Group H: Education Demographics,Input Ind - Education,Graduate School
7097857,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
7097857,LA Group B: Household Demographics,HH Marital Status,Single
7199439,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
7199439,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,28
7199439,LA Group H: Education Demographics,Input Ind - Education,High School
7199439,LA Group B: Household Demographics,HH Marital Status,Single
7199908,LA Group H: Education Demographics,Input Ind - Education,High School
7199908,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,28
7199908,LA Group B: Household Demographics,HH Marital Status,Single
7199908,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
