acct_id,category,attrib_name,attrib_value
100103,LA Group H: Education Demographics,Input Ind - Education,Graduate School
100103,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,36
100103,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
100103,LA Group B: Household Demographics,HH Marital Status,Married
100378,LA Group B: Household Demographics,HH Marital Status,Married
100378,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
100378,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,82
100378,LA Group H: Education Demographics,Input Ind - Education,Graduate School
100521,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
100521,LA Group B: Household Demographics,HH Marital Status,Single
100521,LA Group H: Education Demographics,Input Ind - Education,Graduate School
100521,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,78
100532,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,74
100532,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
100532,LA Group B: Household Demographics,HH Marital Status,Married
100653,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,78
100653,LA Group B: Household Demographics,HH Marital Status,Married
100653,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
100653,LA Group H: Education Demographics,Input Ind - Education,College
100851,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,92
100851,LA Group B: Household Demographics,HH Marital Status,Single
100851,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
100851,LA Group H: Education Demographics,Input Ind - Education,Graduate School
101016,LA Group H: Education Demographics,Input Ind - Education,High School
101016,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,62
101016,LA Group B: Household Demographics,HH Marital Status,Married
101016,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
101126,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,74
101126,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
101126,LA Group H: Education Demographics,Input Ind - Education,College
101126,LA Group B: Household Demographics,HH Marital Status,Married
101742,LA Group H: Education Demographics,Input Ind - Education,College
101742,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
101742,LA Group B: Household Demographics,HH Marital Status,Married
