price,seats_sold,transactions,total_revenue
14.0,8,8,112.0
15.0,7,7,105.0
17.0,4,4,68.0
20.0,68,68,1360.0
24.65,1,1,24.65
25.0,24,24,600.0
29.0,49,49,1421.0
30.0,68,42,2040.0
31.0,12,12,372.0
32.66,2,1,65.32
32.67,2,1,65.34
34.0,11,6,374.0
34.5,1,1,34.5
35.0,27,27,945.0
37.0,3,3,111.0
38.25,8,8,306.0
39.0,38,38,1482.0
40.0,163,85,6520.0
42.0,3,2,126.0
43.0,4,4,172.0
45.0,130,118,5850.0
46.75,6,6,280.5
47.0,3,3,141.0
49.0,89,89,4361.0
49.3,14,7,690.1999999999999
50.0,114,58,5700.0
50.15,1,1,50.15
53.0,3,3,159.0
54.0,20,20,1080.0
55.0,51,51,2805.0
57.0,6,6,342.0
58.0,240,124,13920.0
58.65,4,4,234.6
59.0,51,51,3009.0
60.0,209,106,12540.0
61.0,1,1,61.0
62.4,2,1,124.8
63.0,5,5,315.0
64.0,16,16,1024.0
65.0,26,26,1690.0
65.5,3,3,196.5
66.0,8,8,528.0
68.0,3,2,204.0
69.0,60,53,4140.0
70.0,215,115,15050.0
71.0,22,22,1562.0
72.0,1,1,72.0
73.95,18,6,1331.1000000000001
74.0,11,8,814.0
75.0,91,47,6825.0
75.65,1,1,75.65
76.0,16,16,1216.0
76.5,14,7,1071.0
78.0,248,125,19344.0
79.0,3,3,237.0
80.0,226,90,18080.0
82.0,1,1,82.0
83.0,8,8,664.0
84.0,2,1,168.0
85.0,25,17,2125.0
86.0,10,5,860.0
87.0,111,37,9657.0
88.0,5,5,440.0
89.0,49,49,4361.0
90.0,505,247,45450.0
93.0,24,24,2232.0
93.5,10,5,935.0
94.0,6,3,564.0
98.0,647,326,63406.0
98.6,8,2,788.8
99.0,5,5,495.0
100.0,202,55,20200.0
100.3,16,8,1604.8
101.0,2,2,202.0
102.0,16,7,1632.0
103.0,8,8,824.0
103.5,6,2,621.0
105.0,93,31,9765.0
106.0,64,32,6784.0
108.0,186,93,20088.0
110.0,476,238,52360.0
111.0,3,1,333.0
114.0,34,17,3876.0
114.75,3,1,344.25
116.0,214,62,24824.0
117.0,114,38,13338.0
117.3,16,8,1876.8
118.0,380,190,44840.0
120.0,348,146,41760.0
122.0,2,1,244.0
125.0,40,8,5000.0
126.0,23,10,2898.0
128.0,76,38,9728.0
129.0,3,1,387.0
130.0,200,100,26000.0
132.0,54,27,7128.0
135.0,156,52,21060.0
136.0,18,9,2448.0
138.0,336,166,46368.0
140.0,299,98,41860.0
140.25,9,3,1262.25
142.0,106,53,15052.0
144.0,2,1,288.0
145.0,70,14,10150.0
146.0,20,10,2920.0
147.0,279,93,41013.0
148.0,34,16,5032.0
150.0,284,121,42600.0
150.45,6,2,902.6999999999999
151.3,4,2,605.2
152.0,140,70,21280.0
153.0,16,4,2448.0
154.0,6,3,924.0
156.0,182,46,28392.0
158.0,28,14,4424.0
159.0,15,5,2385.0
160.0,122,43,19520.0
162.0,48,16,7776.0
164.0,8,4,1312.0
165.0,96,32,15840.0
166.0,12,6,1992.0
170.0,108,54,18360.0
171.0,15,5,2565.0
172.0,4,1,688.0
174.0,61,13,10614.0
175.0,67,13,11725.0
175.95,6,2,1055.6999999999998
176.0,38,19,6688.0
177.0,192,64,33984.0
178.0,468,234,83304.0
180.0,317,80,57060.0
185.0,10,2,1850.0
186.0,178,89,33108.0
188.0,6,2,1128.0
189.0,9,3,1701.0
192.0,30,10,5760.0
195.0,189,45,36855.0
196.0,376,104,73696.0
198.0,34,15,6732.0
200.0,29,8,5800.0
201.0,3,1,603.0
202.0,18,9,3636.0
203.0,28,4,5684.0
204.0,12,4,2448.0
206.0,86,43,17716.0
207.0,162,54,33534.0
210.0,83,19,17430.0
212.0,44,11,9328.0
213.0,15,5,3195.0
215.0,15,3,3225.0
216.0,59,15,12744.0
217.5,4,2,870.0
219.0,3,1,657.0
220.0,216,54,47520.0
222.0,27,9,5994.0
225.0,214,48,48150.0
226.95,6,2,1361.6999999999998
228.0,27,8,6156.0
232.0,48,9,11136.0
234.0,69,12,16146.0
234.6,16,4,3753.6
235.0,10,2,2350.0
236.0,188,47,44368.0
237.0,9,3,2133.0
240.0,154,40,36960.0
245.0,197,39,48265.0
249.0,3,1,747.0
250.0,5,1,1250.0
250.75,5,1,1253.75
252.0,6,1,1512.0
255.0,54,18,13770.0
256.0,60,16,15360.0
258.0,6,1,1548.0
259.0,14,2,3626.0
260.0,50,14,13000.0
261.0,18,2,4698.0
264.0,34,11,8976.0
265.0,5,1,1325.0
267.0,132,44,35244.0
268.0,8,2,2144.0
270.0,67,12,18090.0
272.0,20,5,5440.0
273.0,21,3,5733.0
275.0,106,20,29150.0
276.0,120,30,33120.0
279.0,72,24,20088.0
280.0,82,19,22960.0
282.0,3,1,846.0
284.0,36,9,10224.0
288.0,4,1,1152.0
290.0,15,2,4350.0
292.0,8,2,2336.0
294.0,156,30,45864.0
295.0,85,17,25075.0
296.0,16,4,4736.0
297.0,3,1,891.0
300.0,120,27,36000.0
300.9,6,1,1805.3999999999999
302.6,8,2,2420.8
303.0,3,1,909.0
304.0,44,11,13376.0
309.0,48,16,14832.0
312.0,12,2,3744.0
315.0,42,6,13230.0
316.0,16,4,5056.0
318.0,12,2,3816.0
320.0,34,7,10880.0
324.0,6,1,1944.0
325.0,15,3,4875.0
328.0,4,1,1312.0
330.0,36,6,11880.0
332.0,12,3,3984.0
340.0,55,13,18700.0
342.0,6,1,2052.0
343.0,28,4,9604.0
345.0,60,12,20700.0
348.0,14,3,4872.0
350.0,59,8,20650.0
351.0,54,6,18954.0
352.0,8,2,2816.0
354.0,72,12,25488.0
355.0,5,1,1775.0
356.0,176,44,62656.0
360.0,55,8,19800.0
372.0,116,29,43152.0
