price,seats_sold,transactions,total_revenue
10.5,3,3,31.5
11.0,23,23,253.0
11.25,12,12,135.0
11.5,83,83,954.5
11.75,38,38,446.5
12.0,43,43,516.0
12.75,8,8,102.0
13.25,8,8,106.0
14.0,7,7,98.0
14.5,1,1,14.5
15.0,66,66,990.0
15.25,4,4,61.0
15.5,18,18,279.0
15.75,48,48,756.0
16.0,72,72,1152.0
16.5,34,34,561.0
17.0,55,55,935.0
17.6,1,1,17.6
17.75,4,4,71.0
18.0,60,60,1080.0
18.5,2,2,37.0
18.75,12,12,225.0
19.0,2,2,38.0
19.2,2,2,38.4
20.0,182,177,3640.0
21.0,158,150,3318.0
21.5,16,16,344.0
22.0,368,274,8096.0
22.5,96,83,2160.0
22.66,10,5,226.6
23.0,720,552,16560.0
23.25,55,55,1278.75
23.5,118,85,2773.0
24.0,541,478,12984.0
24.25,33,33,800.25
25.0,42,42,1050.0
25.25,30,30,757.5
25.5,14,7,357.0
26.25,10,10,262.5
26.5,33,29,874.5
26.66,2,1,53.32
27.0,29,29,783.0
27.25,1,1,27.25
27.5,5,5,137.5
28.0,82,82,2296.0
28.8,2,2,57.6
29.0,68,63,1972.0
29.25,40,40,1170.0
29.5,8,8,236.0
30.0,222,174,6660.0
30.25,20,20,605.0
30.5,69,52,2104.5
31.0,55,51,1705.0
31.5,299,187,9418.5
32.0,506,311,16192.0
32.5,23,23,747.5
33.0,774,686,25542.0
33.5,130,121,4355.0
33.75,1,1,33.75
34.0,489,359,16626.0
34.4,1,1,34.4
34.5,120,120,4140.0
35.0,8,8,280.0
35.2,1,1,35.2
35.25,2,2,70.5
35.5,270,231,9585.0
36.0,454,263,16344.0
37.0,12,12,444.0
37.5,96,48,3600.0
37.75,77,77,2906.75
38.0,1,1,38.0
39.0,360,360,14040.0
39.5,30,30,1185.0
40.0,495,354,19800.0
40.01,2,1,80.02
40.75,44,44,1793.0
41.0,105,104,4305.0
42.0,482,345,20244.0
43.0,267,241,11481.0
43.2,6,6,259.20000000000005
44.0,864,475,38016.0
45.0,476,370,21420.0
46.0,1475,753,67850.0
46.25,34,34,1572.5
46.5,106,53,4929.0
47.0,482,384,22654.0
47.25,12,4,567.0
48.0,1515,749,72720.0
48.5,205,129,9942.5
48.8,1,1,48.8
49.0,60,60,2940.0
49.25,4,4,197.0
49.5,3,1,148.5
50.0,395,302,19750.0
50.25,13,13,653.25
50.5,75,50,3787.5
51.0,18,6,918.0
51.25,28,28,1435.0
51.5,2,2,103.0
52.0,35,33,1820.0
52.5,62,31,3255.0
53.0,58,40,3074.0
53.5,61,61,3263.5
53.6,1,1,53.6
54.0,295,229,15930.0
54.5,55,40,2997.5
55.0,48,31,2640.0
56.0,326,229,18256.0
56.25,24,8,1350.0
56.5,10,5,565.0
56.8,2,2,113.6
57.0,50,50,2850.0
57.75,17,17,981.75
58.0,216,108,12528.0
58.5,204,102,11934.0
59.0,68,46,4012.0
59.75,2,2,119.5
60.0,482,325,28920.0
60.5,48,24,2904.0
60.8,2,2,121.6
61.0,144,94,8784.0
61.5,64,32,3936.0
61.75,25,25,1543.75
62.0,187,101,11594.0
63.0,103,51,6489.0
64.0,562,275,35968.0
65.0,168,84,10920.0
65.5,1,1,65.5
66.0,3066,1597,202356.0
67.0,501,271,33567.0
67.5,42,21,2835.0
68.0,1022,511,69496.0
68.25,4,4,273.0
68.8,4,2,275.2
69.0,974,510,67206.0
69.25,43,43,2977.75
69.75,9,3,627.75
70.0,103,99,7210.0
70.5,4,2,282.0
71.0,850,450,60350.0
71.4,2,1,142.8
71.5,4,4,286.0
72.0,409,187,29448.0
72.75,60,20,4365.0
74.0,27,15,1998.0
74.5,39,39,2905.5
75.0,51,35,3825.0
75.5,344,172,25972.0
76.0,54,54,4104.0
78.0,1405,703,109590.0
78.75,24,8,1890.0
79.0,282,239,22278.0
79.5,12,4,954.0
80.0,466,233,37280.0
81.0,70,70,5670.0
81.5,24,12,1956.0
81.6,3,1,244.79999999999998
82.0,167,92,13694.0
82.5,12,4,990.0
82.75,160,160,13240.0
84.0,500,237,42000.0
85.0,67,67,5695.0
86.0,404,202,34744.0
86.4,6,3,518.4000000000001
86.5,2,1,173.0
87.0,9,3,783.0
88.0,458,229,40304.0
88.5,21,7,1858.5
90.0,2204,1111,198360.0
90.4,1,1,90.4
91.0,1,1,91.0
91.5,33,11,3019.5
92.0,190,77,17480.0
92.25,3,1,276.75
92.5,320,160,29600.0
93.0,60,16,5580.0
94.0,2421,1229,227574.0
95.0,168,168,15960.0
95.5,17,17,1623.5
96.0,128,39,12288.0
97.0,298,141,28906.0
97.5,51,17,4972.5
97.6,8,4,780.8
98.0,490,245,48020.0
98.5,63,40,6205.5
99.0,304,104,30096.0
100.0,1557,967,155700.0
100.5,80,32,8040.0
101.0,74,36,7474.0
101.25,9,3,911.25
102.0,223,141,22746.0
102.5,164,82,16810.0
102.75,36,36,3699.0
103.0,108,54,11124.0
103.2,3,1,309.6
103.5,33,11,3415.5
104.0,276,138,28704.0
106.0,457,410,48442.0
106.5,90,30,9585.0
107.0,403,207,43121.0
107.2,2,1,214.4
107.75,41,41,4417.75
108.0,860,421,92880.0
109.0,229,174,24961.0
110.0,203,99,22330.0
111.0,6,2,666.0
112.0,758,374,84896.0
113.0,35,35,3955.0
113.25,9,3,1019.25
114.0,100,50,11400.0
115.5,100,50,11550.0
116.0,4,1,464.0
117.0,147,49,17199.0
118.0,48,24,5664.0
118.5,12,4,1422.0
119.5,12,6,1434.0
120.0,872,429,104640.0
121.0,4,1,484.0
121.25,40,8,4850.0
121.6,8,4,972.8
122.0,366,167,44652.0
123.0,10,3,1230.0
123.5,46,23,5681.0
124.0,192,104,23808.0
126.0,3,1,378.0
128.0,32,16,4096.0
129.0,15,5,1935.0
130.0,22,6,2860.0
131.25,3,1,393.75
132.0,697,272,92004.0
134.0,288,139,38592.0
135.0,99,33,13365.0
136.0,82,21,11152.0
136.5,20,10,2730.0
137.5,10,2,1375.0
138.0,286,135,39468.0
138.5,46,23,6371.0
138.75,12,4,1665.0
140.0,226,113,31640.0
141.0,90,29,12690.0
142.0,344,166,48848.0
143.0,88,44,12584.0
144.0,14,4,2016.0
144.5,1,1,144.5
145.5,18,6,2619.0
147.0,24,8,3528.0
148.0,24,12,3552.0
148.5,3,1,445.5
149.0,366,183,54534.0
150.0,139,54,20850.0
151.0,32,8,4832.0
151.5,6,2,909.0
152.0,458,229,69616.0
153.75,5,1,768.75
154.0,4,1,616.0
156.0,117,30,18252.0
158.0,418,209,66044.0
159.0,12,4,1908.0
160.0,8,2,1280.0
160.5,39,13,6259.5
162.0,319,146,51678.0
163.2,22,11,3590.3999999999996
163.5,12,4,1962.0
164.0,166,79,27224.0
165.0,41,8,6765.0
165.5,346,173,57263.0
168.0,48,15,8064.0
170.0,236,118,40120.0
170.4,3,1,511.20000000000005
172.0,40,10,6880.0
176.0,28,7,4928.0
178.0,2,1,356.0
180.0,372,129,66960.0
180.8,2,1,361.6
181.0,12,6,2172.0
182.0,32,16,5824.0
183.0,30,10,5490.0
185.0,20,5,3700.0
188.0,384,162,72192.0
188.75,15,3,2831.25
190.0,524,262,99560.0
191.0,80,40,15280.0
194.0,6,2,1164.0
195.0,15,3,2925.0
196.0,8,2,1568.0
197.0,244,122,48068.0
198.0,36,9,7128.0
200.0,1912,935,382400.0
201.0,45,15,9045.0
204.0,858,429,175032.0
204.75,3,1,614.25
205.5,172,86,35346.0
207.0,51,17,10557.0
210.0,31,9,6510.0
212.0,1910,955,404920.0
213.0,36,12,7668.0
214.0,64,31,13696.0
214.5,12,4,2574.0
215.0,15,3,3225.0
215.5,186,93,40083.0
216.0,121,30,26136.0
218.0,766,383,166988.0
220.0,16,4,3520.0
222.0,3,1,666.0
224.0,24,6,5376.0
225.0,21,7,4725.0
226.0,292,146,65992.0
227.0,3,1,681.0
228.0,51,17,11628.0
234.0,2,1,468.0
240.0,52,13,12480.0
244.0,32,8,7808.0
245.0,5,1,1225.0
246.0,6,1,1476.0
247.5,18,2,4455.0
248.0,254,127,62992.0
250.0,30,6,7500.0
255.0,6,2,1530.0
256.0,4,1,1024.0
264.0,24,3,6336.0
268.0,32,8,8576.0
270.0,57,13,15390.0
275.0,15,2,4125.0
276.0,4,1,1104.0
277.0,4,1,1108.0
280.0,48,12,13440.0
284.0,4,1,1136.0
286.0,16,4,4576.0
295.5,3,1,886.5
298.0,28,7,8344.0
300.0,54,15,16200.0
304.0,8,2,2432.0
305.0,5,1,1525.0
306.0,57,19,17442.0
308.25,33,11,10172.25
316.0,8,2,2528.0
318.0,30,10,9540.0
323.25,21,7,6788.25
324.0,24,4,7776.0
327.0,75,25,24525.0
328.0,8,2,2624.0
331.0,4,1,1324.0
335.0,15,3,5025.0
339.0,15,5,5085.0
340.0,8,2,2720.0
345.0,30,6,10350.0
346.25,5,1,1731.25
360.0,4,1,1440.0
372.0,15,5,5580.0
