price,seats_sold,transactions,num_events,total_revenue
10.0,13,10,3,130.0
10.5,3,3,3,31.5
11.0,23,23,16,253.0
11.25,12,12,6,135.0
11.5,86,86,57,989.0
11.75,38,38,27,446.5
12.0,43,43,27,516.0
12.5,2,2,2,25.0
12.75,8,8,4,102.0
13.25,8,8,5,106.0
14.0,215,215,50,3010.0
14.5,1,1,1,14.5
15.0,87,81,32,1305.0
15.25,4,4,3,61.0
15.5,18,18,12,279.0
15.75,48,48,39,756.0
16.0,295,295,83,4720.0
16.5,34,34,23,561.0
17.0,59,59,31,1003.0
17.5,3,3,3,52.5
17.6,1,1,1,17.6
17.75,4,4,4,71.0
18.0,102,102,34,1836.0
18.4,1,1,1,18.4
18.5,2,2,2,37.0
18.75,12,12,5,225.0
19.0,10,10,4,190.0
19.2,2,2,2,38.4
19.55,2,2,1,39.1
20.0,509,456,78,10180.0
20.5,6,6,4,123.0
21.0,158,150,67,3318.0
21.5,16,16,14,344.0
22.0,394,300,82,8668.0
22.4,1,1,1,22.4
22.5,98,85,44,2205.0
22.66,10,5,5,226.6
23.0,970,792,99,22310.0
23.25,55,55,12,1278.75
23.5,118,85,40,2773.0
24.0,553,490,79,13272.0
24.25,33,33,10,800.25
24.5,2,2,2,49.0
24.65,2,2,2,49.3
25.0,173,164,59,4325.0
25.25,30,30,12,757.5
25.5,29,22,16,739.5
25.6,3,3,3,76.80000000000001
25.9,1,1,1,25.9
26.0,245,245,26,6370.0
26.25,10,10,7,262.5
26.5,35,30,6,927.5
26.66,2,1,1,53.32
27.0,36,36,30,972.0
27.25,1,1,1,27.25
27.5,6,6,6,165.0
28.0,144,143,47,4032.0
28.7,6,6,3,172.2
28.8,2,2,2,57.6
29.0,171,166,42,4959.0
29.25,40,40,26,1170.0
29.5,8,8,6,236.0
29.6,5,5,2,148.0
30.0,487,399,85,14610.0
30.25,21,21,11,635.25
30.5,69,52,45,2104.5
30.8,2,2,2,61.6
31.0,217,213,44,6727.0
31.5,299,187,54,9418.5
32.0,550,349,71,17600.0
32.5,23,23,17,747.5
32.66,2,1,1,65.32
32.67,2,1,1,65.34
32.8,3,3,3,98.39999999999999
33.0,865,777,95,28545.0
33.5,130,121,41,4355.0
33.75,1,1,1,33.75
34.0,535,399,66,18190.0
34.4,1,1,1,34.4
34.5,130,124,46,4485.0
34.85,2,2,1,69.7
35.0,339,328,55,11865.0
35.2,12,12,5,422.40000000000003
35.25,2,2,1,70.5
35.5,270,231,47,9585.0
35.7,8,8,4,285.6
36.0,599,374,76,21564.0
36.8,3,2,2,110.39999999999999
37.0,129,125,42,4773.0
37.5,99,49,9,3712.5
37.75,77,77,17,2906.75
38.0,263,252,40,9994.0
38.25,8,8,3,306.0
38.5,6,6,5,231.0
39.0,509,509,92,19851.0
39.1,4,2,2,156.4
39.5,30,30,6,1185.0
40.0,1126,719,88,45040.0
40.01,2,1,1,80.02
40.75,44,44,31,1793.0
40.8,6,6,5,244.79999999999998
41.0,403,383,51,16523.0
42.0,498,360,94,20916.0
43.0,419,393,80,18017.0
43.2,6,6,5,259.20000000000005
44.0,955,550,100,42020.0
44.8,2,1,1,89.6
45.0,1005,875,102,45225.0
45.5,2,2,1,91.0
46.0,2358,1283,103,108468.0
46.25,34,34,11,1572.5
46.5,106,53,13,4929.0
46.75,7,7,4,327.25
47.0,502,403,69,23594.0
47.25,12,4,4,567.0
48.0,1623,844,95,77904.0
48.5,205,129,25,9942.5
48.8,1,1,1,48.8
49.0,202,200,56,9898.0
49.25,4,4,3,197.0
49.3,16,8,5,788.8
49.5,3,1,1,148.5
49.6,2,2,1,99.2
50.0,988,680,103,49400.0
50.15,2,2,2,100.3
50.25,13,13,12,653.25
50.4,4,4,2,201.6
50.5,75,50,18,3787.5
51.0,566,527,57,28866.0
51.2,6,3,3,307.20000000000005
51.25,28,28,23,1435.0
51.5,11,11,6,566.5
51.8,6,3,3,310.79999999999995
52.0,741,393,47,38532.0
52.5,62,31,8,3255.0
53.0,141,123,31,7473.0
53.5,61,61,31,3263.5
