Buyer_Type,Section,Total_Seats,Total_Revenue,Avg_Price_Per_Seat,Min_Price,Max_Price
Single Ticket,ORCHL,4401,297091.4,66.36279069767443,31.0,103.0
Single Ticket,ORCHR,4347,297062.25,67.37549019607843,31.0,103.0
Single Ticket,BALCL,1548,45609.55,32.29642857142857,17.0,45.0
Single Ticket,LOGEL,1074,71645.95,68.2,46.75,85.0
Single Ticket,BALCR,1560,46404.0,30.653333333333332,17.0,45.0
Single Ticket,LOGER,1054,71113.8,80.63695652173914,46.75,128.0
Single Ticket,DRESSL,628,30607.0,49.825,38.25,59.0
Single Ticket,DRESSR,599,29044.25,48.725,38.25,59.0
Single Ticket,GA1,96,9596.0,117.0,95.0,129.0
Single Ticket,PITL,41,2275.0,60.0,55.0,65.0
Subscriber,ORCHL,3129,189534.06,48.810769230769225,11.25,124.0
Subscriber,ORCHR,2241,89556.20000000001,40.841538461538455,11.5,109.0
Subscriber,BALCL,431,11970.1,25.948,10.5,49.0
Subscriber,LOGEL,779,58323.75,68.34883720930233,30.25,124.0
Subscriber,BALCR,282,8137.5,24.964285714285715,10.5,49.0
Subscriber,LOGER,581,44973.0,68.04861111111111,29.0,124.0
Subscriber,DRESSL,253,10610.75,38.5625,21.0,61.0
Subscriber,DRESSR,78,3289.5,37.232142857142854,22.0,67.0
