price_per_seat,seats_sold,transactions,num_events,total_revenue
46.75,4,2,2,187.0
51.0,2,1,1,102.0
55.0,248,91,6,13640.0
58.65,12,5,3,703.8
60.0,88,33,5,5280.0
64.0,11,4,2,704.0
65.0,141,74,3,9165.0
69.0,199,80,4,13731.0
70.0,62,23,2,4340.0
73.0,2,1,1,146.0
75.0,156,67,7,11700.0
78.0,20,6,2,1560.0
79.0,10,5,2,790.0
80.0,30,16,2,2400.0
85.0,29,13,2,2465.0
89.0,4,1,1,356.0
94.0,5,2,1,470.0
99.0,10,7,1,990.0
103.5,2,1,1,207.0
108.0,5,2,1,540.0
108.75,4,2,1,435.0
115.0,6,3,1,690.0
128.0,4,2,1,512.0
