price_per_seat,seats_sold,transactions,num_events,total_revenue
31.0,3,3,1,93.0
35.0,56,28,1,1960.0
38.25,25,12,4,956.25
40.0,82,40,1,3280.0
42.0,16,5,2,672.0
45.0,477,221,6,21465.0
46.75,6,2,2,280.5
49.0,250,108,5,12250.0
50.15,14,5,3,702.1
53.0,32,14,2,1696.0
54.0,61,30,2,3294.0
55.0,418,166,6,22990.0
57.0,21,9,4,1197.0
58.0,28,12,1,1624.0
58.65,4,1,1,234.6
59.0,261,97,6,15399.0
60.0,152,55,4,9120.0
63.0,16,6,1,1008.0
64.0,99,33,3,6336.0
65.0,224,104,4,14560.0
65.5,2,2,1,131.0
66.0,26,13,1,1716.0
68.0,32,9,3,2176.0
69.0,150,67,1,10350.0
70.0,109,45,3,7630.0
71.0,77,34,1,5467.0
72.0,2,1,1,144.0
73.0,27,10,1,1971.0
74.0,48,19,2,3552.0
75.0,427,215,2,32025.0
75.64999999999999,12,2,1,907.8
75.65,11,4,2,832.1500000000001
76.0,76,32,1,5776.0
79.0,10,5,3,790.0
80.0,21,11,1,1680.0
83.0,8,5,1,664.0
85.0,140,61,4,11900.0
88.0,38,17,1,3344.0
89.0,496,196,3,44144.0
93.0,266,90,3,24738.0
98.0,42,18,1,4116.0
101.0,44,13,3,4444.0
103.0,92,37,2,9476.0
