price_per_seat,seats_sold,transactions,num_events,total_revenue
31.0,3,3,1,93.0
34.0,2,1,1,68.0
35.0,43,23,1,1505.0
38.25,4,3,2,153.0
40.0,84,34,1,3360.0
45.0,458,180,6,20610.0
46.75,24,9,3,1122.0
48.0,4,1,1,192.0
49.0,195,79,5,9555.0
50.0,13,6,1,650.0
50.15,11,6,3,551.65
51.0,2,1,1,102.0
53.0,25,9,2,1325.0
54.0,87,36,1,4698.0
55.0,455,168,6,25025.0
57.0,14,3,2,798.0
58.0,23,8,1,1334.0
59.0,207,86,6,12213.0
60.0,148,61,4,8880.0
61.0,2,1,1,122.0
63.0,3,1,1,189.0
64.0,74,28,4,4736.0
65.0,178,75,6,11570.0
65.5,1,1,1,65.5
66.0,35,18,1,2310.0
68.0,34,8,3,2312.0
69.0,194,77,3,13386.0
70.0,135,64,3,9450.0
71.0,57,23,2,4047.0
71.2,2,1,1,142.4
72.0,8,3,2,576.0
73.0,13,5,2,949.0
74.0,30,14,2,2220.0
75.0,435,192,3,32625.0
75.64999999999999,12,3,2,907.8
75.65,6,2,2,453.90000000000003
76.0,69,31,1,5244.0
79.0,20,8,5,1580.0
80.0,63,32,1,5040.0
82.0,18,7,2,1476.0
83.0,9,5,1,747.0
85.0,134,55,4,11390.0
87.0,12,4,1,1044.0
88.0,41,18,2,3608.0
89.0,602,246,3,53578.0
93.0,149,59,3,13857.0
98.0,35,17,1,3430.0
99.0,24,11,4,2376.0
100.0,12,6,2,1200.0
101.0,9,4,2,909.0
103.0,129,47,2,13287.0
