price_per_seat,seats_sold,transactions,num_events,total_revenue
10.5,1,1,1,10.5
11.0,4,2,1,44.0
11.5,26,16,8,299.0
15.0,5,3,1,75.0
15.75,14,7,6,220.5
16.0,6,3,2,96.0
16.5,6,3,3,99.0
18.0,15,10,6,270.0
20.0,1,1,1,20.0
21.0,10,8,6,210.0
22.0,38,24,10,836.0
23.0,31,18,8,713.0
24.0,38,22,7,912.0
27.2,3,1,1,81.6
27.5,2,1,1,55.0
30.0,11,8,6,330.0
31.5,19,12,7,598.5
33.0,33,19,2,1089.0
34.0,19,8,2,646.0
34.5,95,54,8,3277.5
36.0,32,18,7,1152.0
37.75,2,1,1,75.5
39.0,8,4,3,312.0
45.0,10,6,1,450.0
49.0,2,1,1,98.0
