price_per_seat,seats_sold,transactions,num_events,total_revenue
30.25,2,2,2,60.5
32.5,3,1,1,97.5
33.0,64,35,2,2112.0
33.75,3,2,1,101.25
34.5,18,15,7,621.0
35.25,4,1,1,141.0
39.0,50,27,6,1950.0
41.0,2,1,1,82.0
43.0,9,7,5,387.0
45.0,10,5,5,450.0
46.0,10,5,4,460.0
49.0,10,5,5,490.0
50.0,4,2,1,200.0
50.25,2,1,1,100.5
53.5,34,20,7,1819.0
57.0,1,1,1,57.0
59.0,2,1,1,118.0
59.75,5,3,3,298.75
61.75,10,5,5,617.5
62.0,8,4,4,496.0
65.5,1,1,1,65.5
66.0,18,11,2,1188.0
69.0,89,42,8,6141.0
69.25,2,1,1,138.5
70.0,4,2,1,280.0
71.0,8,6,1,568.0
74.5,27,15,7,2011.5
75.0,3,1,1,225.0
76.0,28,14,7,2128.0
81.0,8,5,2,648.0
82.0,7,4,1,574.0
85.0,38,23,8,3230.0
90.0,4,2,1,360.0
94.0,4,2,1,376.0
95.0,71,45,10,6745.0
98.5,4,2,2,394.0
100.0,19,11,2,1900.0
102.0,6,4,1,612.0
106.0,129,71,8,13674.0
107.75,3,2,1,323.25
109.0,44,27,7,4796.0
113.0,7,4,1,791.0
124.0,4,2,1,496.0
