price_per_seat,seats_sold,transactions,num_events,total_revenue
29.0,2,1,1,58.0
32.5,4,2,2,130.0
33.0,69,31,2,2277.0
34.5,12,6,6,414.0
39.0,45,25,6,1755.0
41.0,1,1,1,41.0
43.0,6,6,6,258.0
46.0,2,1,1,92.0
47.0,1,1,1,47.0
49.0,8,4,4,392.0
50.0,4,2,1,200.0
50.25,4,2,2,201.0
50.5,3,1,1,151.5
53.5,19,10,6,1016.5
59.0,1,1,1,59.0
59.75,3,2,2,179.25
61.75,5,5,5,308.75
62.0,3,2,2,186.0
66.0,17,11,2,1122.0
68.0,2,1,1,136.0
69.0,21,12,6,1449.0
70.0,3,2,1,210.0
74.5,18,9,8,1341.0
76.0,27,14,7,2052.0
81.0,4,3,1,324.0
82.0,2,1,1,164.0
85.0,23,16,7,1955.0
90.0,8,4,1,720.0
95.0,34,16,9,3230.0
98.5,4,2,1,394.0
100.0,24,13,2,2400.0
102.0,2,1,1,204.0
106.0,136,77,8,14416.0
109.0,52,25,7,5668.0
113.0,6,3,1,678.0
124.0,6,3,1,744.0
