price_per_seat,seats_sold,transactions,num_events,total_revenue
11.25,2,1,1,22.5
11.5,21,12,9,241.5
11.75,19,12,6,223.25
12.0,19,12,7,228.0
13.33,2,1,1,26.66
15.0,2,2,1,30.0
15.25,2,1,1,30.5
15.5,5,5,3,77.5
15.75,5,5,5,78.75
16.5,15,8,4,247.5
16.75,4,2,2,67.0
17.0,6,5,2,102.0
18.0,34,16,8,612.0
18.5,1,1,1,18.5
20.0,4,2,2,80.0
21.0,9,8,5,189.0
21.5,4,2,2,86.0
22.0,10,5,3,220.0
22.5,6,4,2,135.0
23.0,38,21,7,874.0
23.5,25,15,7,587.5
24.0,103,69,9,2472.0
24.25,2,1,1,48.5
25.0,48,26,9,1200.0
27.25,6,3,3,163.5
28.0,19,11,2,532.0
29.0,9,6,2,261.0
29.5,2,1,1,59.0
30.0,15,10,7,450.0
30.25,10,5,5,302.5
30.5,49,24,8,1494.5
31.0,21,13,5,651.0
31.5,9,9,6,283.5
32.0,15,7,2,480.0
32.5,14,6,4,455.0
33.0,134,72,2,4422.0
33.5,15,10,6,502.5
34.0,44,23,3,1496.0
35.5,175,102,8,6212.5
37.75,18,10,8,679.5
39.0,172,97,9,6708.0
39.5,3,2,2,118.5
40.0,24,14,2,960.0
40.75,5,5,5,203.75
41.0,4,2,1,164.0
42.0,28,17,7,1176.0
43.0,41,23,7,1763.0
44.0,20,13,5,880.0
45.0,23,12,2,1035.0
47.0,76,42,8,3572.0
49.0,17,11,2,833.0
49.25,14,7,6,689.5
50.0,26,15,2,1300.0
51.25,41,24,5,2101.25
51.5,24,12,8,1236.0
52.0,51,28,10,2652.0
53.0,2,1,1,106.0
53.5,52,28,8,2782.0
54.0,55,32,7,2970.0
55.0,21,10,3,1155.0
56.0,50,26,2,2800.0
57.0,4,2,2,228.0
57.75,23,12,7,1328.25
60.0,265,150,8,15900.0
60.8,4,2,1,243.2
61.0,3,2,1,183.0
64.0,2,1,1,128.0
66.0,5,3,2,330.0
67.0,16,9,5,1072.0
69.25,20,17,7,1385.0
70.0,6,3,2,420.0
71.0,4,3,1,284.0
74.5,83,43,8,6183.5
75.0,1,1,1,75.0
76.0,99,54,7,7524.0
79.0,27,17,2,2133.0
82.0,13,7,1,1066.0
82.75,99,64,7,8192.25
90.0,16,9,1,1440.0
90.4,3,2,1,271.20000000000005
94.0,11,6,2,1034.0
95.5,12,7,5,1146.0
98.5,50,26,8,4925.0
100.0,55,29,2,5500.0
102.0,38,19,1,3876.0
102.75,2,1,1,205.5
106.0,307,177,8,32542.0
107.75,4,2,2,431.0
109.0,184,97,7,20056.0
113.0,37,18,1,4181.0
124.0,46,25,1,5704.0
