price_per_seat,seats_sold,transactions,num_events,total_revenue
11.5,4,2,2,46.0
11.75,1,1,1,11.75
12.0,25,14,5,300.0
15.0,3,3,1,45.0
15.75,23,12,5,362.25
16.0,2,2,1,32.0
16.5,12,8,6,198.0
17.0,4,2,1,68.0
18.0,21,12,8,378.0
18.75,2,1,1,37.5
20.0,14,10,2,280.0
21.0,20,14,7,420.0
22.0,16,8,7,352.0
22.5,6,4,1,135.0
23.0,82,51,8,1886.0
23.25,2,1,1,46.5
23.5,17,11,6,399.5
24.0,202,127,9,4848.0
24.25,2,1,1,48.5
25.0,16,9,6,400.0
26.5,2,1,1,53.0
28.0,1,1,1,28.0
29.0,7,4,1,203.0
29.25,41,24,8,1199.25
30.0,8,4,3,240.0
30.25,8,5,1,242.0
31.0,21,13,8,651.0
32.0,33,19,2,1056.0
32.5,2,2,2,65.0
33.0,84,43,2,2772.0
33.5,110,63,8,3685.0
34.0,33,17,6,1122.0
34.4,2,1,1,68.8
35.5,98,55,8,3479.0
37.75,2,1,1,75.5
39.0,78,40,8,3042.0
39.5,1,1,1,39.5
40.0,14,10,2,560.0
40.75,3,3,3,122.25
41.0,7,5,1,287.0
42.0,66,49,8,2772.0
43.0,72,47,8,3096.0
44.0,46,23,9,2024.0
45.0,97,49,2,4365.0
46.25,6,3,1,277.5
47.0,486,255,8,22842.0
48.5,6,4,3,291.0
48.8,8,4,1,390.4
50.0,51,26,2,2550.0
52.0,2,2,1,104.0
53.5,4,4,2,214.0
54.0,252,127,7,13608.0
55.0,10,5,1,550.0
56.0,1,1,1,56.0
60.0,5,5,4,300.0
61.0,39,21,1,2379.0
67.0,46,26,1,3082.0
69.25,2,2,2,138.5
76.0,1,1,1,76.0
79.0,2,2,1,158.0
82.75,2,2,2,165.5
100.0,1,1,1,100.0
102.0,3,3,1,306.0
106.0,3,3,2,318.0
109.0,1,1,1,109.0
