price_bucket,subscribers,total_seats,cumulative_subscribers,cumulative_quantity,purchase_price,seats_sold,avg_price
125.0,2,3,2,2,125.0,2,55.18102448273428
115.0,12,80,14,14,115.0,12,55.18102448273428
110.0,41,397,55,55,110.0,41,55.18102448273428
105.0,19,200,74,74,105.0,19,55.18102448273428
100.0,15,142,89,89,100.0,15,55.18102448273428
95.0,6,65,95,95,95.0,6,55.18102448273428
90.0,3,22,98,98,90.0,3,55.18102448273428
85.0,6,69,104,104,85.0,6,55.18102448273428
80.0,12,168,116,116,80.0,12,55.18102448273428
75.0,22,189,138,138,75.0,22,55.18102448273428
70.0,6,38,144,144,70.0,6,55.18102448273428
65.0,1,10,145,145,65.0,1,55.18102448273428
60.0,1,14,146,146,60.0,1,55.18102448273428
55.0,3,45,149,149,55.0,3,55.18102448273428
40.0,86,439,235,235,40.0,86,55.18102448273428
35.0,212,1030,447,447,35.0,212,55.18102448273428
