price_bucket,subscribers,total_seats,cumulative_subscribers,cumulative_quantity,purchase_price,seats_sold,avg_price
125.0,1,1,1,1,125.0,1,51.99234386111464
120.0,3,18,4,4,120.0,3,51.99234386111464
115.0,20,158,24,24,115.0,20,51.99234386111464
110.0,42,566,66,66,110.0,42,51.99234386111464
105.0,41,823,107,107,105.0,41,51.99234386111464
100.0,17,200,124,124,100.0,17,51.99234386111464
95.0,7,89,131,131,95.0,7,51.99234386111464
90.0,9,112,140,140,90.0,9,51.99234386111464
85.0,6,102,146,146,85.0,6,51.99234386111464
80.0,28,303,174,174,80.0,28,51.99234386111464
75.0,35,373,209,209,75.0,35,51.99234386111464
70.0,7,136,216,216,70.0,7,51.99234386111464
65.0,17,224,233,233,65.0,17,51.99234386111464
60.0,47,463,280,280,60.0,47,51.99234386111464
55.0,122,1560,402,402,55.0,122,51.99234386111464
50.0,61,709,463,463,50.0,61,51.99234386111464
45.0,77,1006,540,540,45.0,77,51.99234386111464
40.0,213,1250,753,753,40.0,213,51.99234386111464
35.0,354,2380,1107,1107,35.0,354,51.99234386111464
30.0,17,86,1124,1124,30.0,17,51.99234386111464
