purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price,price_std,price_cv
275.0,4,2,1,1100.0,4,5.628729032984352e-05,5.628729032984352e-05,58.92905972081504,28.26730241382105,0.4722450422574368
230.0,2,1,1,460.0,6,8.443093549476529e-05,2.814364516492176e-05,58.92905972081504,28.26730241382105,0.4722450422574368
229.0,1,1,1,229.0,7,9.850275807722617e-05,1.407182258246088e-05,58.92905972081504,28.26730241382105,0.4722450422574368
225.0,8,4,1,1800.0,15,0.0002110773387369132,0.00011257458065968704,58.92905972081504,28.26730241382105,0.4722450422574368
219.0,1,1,1,219.0,16,0.00022514916131937407,1.407182258246088e-05,58.92905972081504,28.26730241382105,0.4722450422574368
207.0,1,1,1,207.0,17,0.00023922098390183495,1.407182258246088e-05,58.92905972081504,28.26730241382105,0.4722450422574368
200.0,2,1,1,400.0,19,0.0002673646290667567,2.814364516492176e-05,58.92905972081504,28.26730241382105,0.4722450422574368
199.0,19,10,1,3781.0,38,0.0005347292581335134,0.0002673646290667567,58.92905972081504,28.26730241382105,0.4722450422574368
195.0,2,1,1,390.0,40,0.0005628729032984353,2.814364516492176e-05,58.92905972081504,28.26730241382105,0.4722450422574368
189.0,1,1,1,189.0,41,0.0005769447258808961,1.407182258246088e-05,58.92905972081504,28.26730241382105,0.4722450422574368
185.0,2,1,1,370.0,43,0.0006050883710458178,2.814364516492176e-05,58.92905972081504,28.26730241382105,0.4722450422574368
175.0,19,10,2,3325.0,62,0.0008724530001125746,0.0002673646290667567,58.92905972081504,28.26730241382105,0.4722450422574368
169.0,74,45,1,12506.0,136,0.0019137678712146796,0.0010413148711021052,58.92905972081504,28.26730241382105,0.4722450422574368
167.0,23,12,1,3841.0,159,0.00223741979061128,0.00032365191939660024,58.92905972081504,28.26730241382105,0.4722450422574368
165.0,4,2,2,660.0,163,0.0022937070809411235,5.628729032984352e-05,58.92905972081504,28.26730241382105,0.4722450422574368
159.0,504,297,1,80136.0,667,0.009385905662501408,0.0070921985815602835,58.92905972081504,28.26730241382105,0.4722450422574368
155.0,8,4,4,1240.0,675,0.009498480243161094,0.00011257458065968704,58.92905972081504,28.26730241382105,0.4722450422574368
150.0,18,11,6,2700.0,693,0.00975177304964539,0.00025329280648429586,58.92905972081504,28.26730241382105,0.4722450422574368
149.0,3,2,2,447.0,696,0.009793988517392773,4.2215467747382644e-05,58.92905972081504,28.26730241382105,0.4722450422574368
145.0,26,13,7,3770.0,722,0.010159855904536755,0.0003658673871439829,58.92905972081504,28.26730241382105,0.4722450422574368
143.0,2,1,1,286.0,724,0.010187999549701678,2.814364516492176e-05,58.92905972081504,28.26730241382105,0.4722450422574368
142.0,6,3,2,852.0,730,0.010272430485196443,8.443093549476529e-05,58.92905972081504,28.26730241382105,0.4722450422574368
141.0,8,5,2,1128.0,738,0.01038500506585613,0.00011257458065968704,58.92905972081504,28.26730241382105,0.4722450422574368
140.0,96,46,19,13440.0,834,0.011735900033772374,0.0013508949679162446,58.92905972081504,28.26730241382105,0.4722450422574368
139.0,61,35,11,8479.0,895,0.012594281211302488,0.0008583811775301137,58.92905972081504,28.26730241382105,0.4722450422574368
138.0,14,9,5,1932.0,909,0.01279128672745694,0.00019700551615445234,58.92905972081504,28.26730241382105,0.4722450422574368
137.0,5,3,2,685.0,914,0.012861645840369244,7.03591129123044e-05,58.92905972081504,28.26730241382105,0.4722450422574368
136.0,54,29,6,7344.0,968,0.013621524259822132,0.0007598784194528875,58.92905972081504,28.26730241382105,0.4722450422574368
135.0,76,42,18,10260.0,1044,0.014690982776089158,0.0010694585162670269,58.92905972081504,28.26730241382105,0.4722450422574368
134.0,36,16,6,4824.0,1080,0.015197568389057751,0.0005065856129685917,58.92905972081504,28.26730241382105,0.4722450422574368
133.0,19,11,8,2527.0,1099,0.015464933018124507,0.0002673646290667567,58.92905972081504,28.26730241382105,0.4722450422574368
132.0,10,5,2,1320.0,1109,0.015605651243949116,0.0001407182258246088,58.92905972081504,28.26730241382105,0.4722450422574368
131.0,25,19,4,3275.0,1134,0.015957446808510637,0.000351795564561522,58.92905972081504,28.26730241382105,0.4722450422574368
130.0,51,26,11,6630.0,1185,0.016675109760216144,0.0007176629517055049,58.92905972081504,28.26730241382105,0.4722450422574368
129.0,92,47,7,11868.0,1277,0.017969717437802544,0.001294607677586401,58.92905972081504,28.26730241382105,0.4722450422574368
128.0,19,11,6,2432.0,1296,0.0182370820668693,0.0002673646290667567,58.92905972081504,28.26730241382105,0.4722450422574368
126.0,522,293,17,65772.0,1818,0.02558257345491388,0.007345491388044579,58.92905972081504,28.26730241382105,0.4722450422574368
125.0,240,116,26,30000.0,2058,0.028959810874704492,0.003377237419790611,58.92905972081504,28.26730241382105,0.4722450422574368
124.0,185,118,18,22940.0,2243,0.031563098052459757,0.002603287177755263,58.92905972081504,28.26730241382105,0.4722450422574368
123.0,64,39,16,7872.0,2307,0.03246369469773725,0.0009005966452774963,58.92905972081504,28.26730241382105,0.4722450422574368
122.0,55,32,10,6690.0,2362,0.0332376449397726,0.0007739502420353484,58.92905972081504,28.26730241382105,0.4722450422574368
121.0,145,89,12,17545.0,2507,0.035278059214229426,0.0020404142744568274,58.92905972081504,28.26730241382105,0.4722450422574368
120.0,53,25,12,6360.0,2560,0.036023865811099856,0.0007458065968704267,58.92905972081504,28.26730241382105,0.4722450422574368
119.0,285,165,38,33915.0,2845,0.040034335247101205,0.0040104694360013505,58.92905972081504,28.26730241382105,0.4722450422574368
118.0,24,12,10,2832.0,2869,0.040372058989080264,0.00033772374197906115,58.92905972081504,28.26730241382105,0.4722450422574368
116.0,293,163,14,33988.0,3162,0.044495103005741304,0.004123044016661038,58.92905972081504,28.26730241382105,0.4722450422574368
115.0,54,26,14,6210.0,3216,0.04525498142519419,0.0007598784194528875,58.92905972081504,28.26730241382105,0.4722450422574368
114.0,314,162,19,35796.0,3530,0.04967353371608691,0.004418552290892716,58.92905972081504,28.26730241382105,0.4722450422574368
113.0,190,116,20,21470.0,3720,0.05234718000675447,0.0026736462906675673,58.92905972081504,28.26730241382105,0.4722450422574368
112.0,3,2,2,336.0,3723,0.05238939547450186,4.2215467747382644e-05,58.92905972081504,28.26730241382105,0.4722450422574368
111.0,966,557,57,107226.0,4689,0.06598277608915906,0.013593380614657211,58.92905972081504,28.26730241382105,0.4722450422574368
110.0,393,166,38,43232.0,5082,0.0715130023640662,0.005530226274907126,58.92905972081504,28.26730241382105,0.4722450422574368
109.0,356,203,40,38804.0,5438,0.07652257120342226,0.005009568839356073,58.92905972081504,28.26730241382105,0.4722450422574368
108.75,4,2,1,435.0,5442,0.07657885849375211,5.628729032984352e-05,58.92905972081504,28.26730241382105,0.4722450422574368
108.0,44,27,8,4752.0,5486,0.0771980186873804,0.0006191601936282788,58.92905972081504,28.26730241382105,0.4722450422574368
107.0,7,4,1,749.0,5493,0.07729652144545762,9.850275807722617e-05,58.92905972081504,28.26730241382105,0.4722450422574368
105.0,17,11,4,1785.0,5510,0.07753574242935946,0.00023922098390183495,58.92905972081504,28.26730241382105,0.4722450422574368
104.0,6,4,1,624.0,5516,0.07762017336485422,8.443093549476529e-05,58.92905972081504,28.26730241382105,0.4722450422574368
103.5,2,1,1,207.0,5518,0.07764831701001913,2.814364516492176e-05,58.92905972081504,28.26730241382105,0.4722450422574368
103.0,1019,523,39,104941.0,6537,0.09198750422154678,0.014339187211527637,58.92905972081504,28.26730241382105,0.4722450422574368
102.0,256,150,38,26112.0,6793,0.09558989080265676,0.003602386581109985,58.92905972081504,28.26730241382105,0.4722450422574368
101.0,91,38,8,9191.0,6884,0.0968704266576607,0.00128053585500394,58.92905972081504,28.26730241382105,0.4722450422574368
100.0,44,26,11,4400.0,6928,0.09748958685128897,0.0006191601936282788,58.92905972081504,28.26730241382105,0.4722450422574368
99.0,334,188,8,33066.0,7262,0.10218957559383092,0.004699988742541934,58.92905972081504,28.26730241382105,0.4722450422574368
98.0,172,93,9,16856.0,7434,0.10460992907801418,0.0024203534841832713,58.92905972081504,28.26730241382105,0.4722450422574368
97.0,10,8,3,970.0,7444,0.10475064730383879,0.0001407182258246088,58.92905972081504,28.26730241382105,0.4722450422574368
96.0,4,2,1,384.0,7448,0.10480693459416864,5.628729032984352e-05,58.92905972081504,28.26730241382105,0.4722450422574368
95.0,80,33,2,7600.0,7528,0.1059326804007655,0.0011257458065968705,58.92905972081504,28.26730241382105,0.4722450422574368
94.0,5,2,1,470.0,7533,0.10600303951367782,7.03591129123044e-05,58.92905972081504,28.26730241382105,0.4722450422574368
93.0,751,326,15,69099.0,8284,0.11657097827310593,0.010567938759428122,58.92905972081504,28.26730241382105,0.4722450422574368
92.0,323,160,10,29716.0,8607,0.1211161769672408,0.0045451986941348645,58.92905972081504,28.26730241382105,0.4722450422574368
91.0,138,70,17,12558.0,8745,0.1230580884836204,0.0019419115163796016,58.92905972081504,28.26730241382105,0.4722450422574368
90.0,72,38,13,6480.0,8817,0.12407125970955758,0.0010131712259371835,58.92905972081504,28.26730241382105,0.4722450422574368
89.0,1386,581,8,123354.0,10203,0.14357480580884835,0.01950354609929078,58.92905972081504,28.26730241382105,0.4722450422574368
88.0,407,216,19,35816.0,10610,0.14930203759990995,0.005727231791061578,58.92905972081504,28.26730241382105,0.4722450422574368
87.55,21,8,2,1838.55,10631,0.14959754587414162,0.0002955082742316785,58.92905972081504,28.26730241382105,0.4722450422574368
87.0,29,13,3,2523.0,10660,0.15000562872903297,0.00040808285489136553,58.92905972081504,28.26730241382105,0.4722450422574368
86.0,73,34,21,6278.0,10733,0.15103287177755262,0.0010272430485196442,58.92905972081504,28.26730241382105,0.4722450422574368
85.0,535,231,16,45475.0,11268,0.1585612968591692,0.007528425081616571,58.92905972081504,28.26730241382105,0.4722450422574368
84.0,31,18,3,2604.0,11299,0.15899752335922548,0.0004362265000562873,58.92905972081504,28.26730241382105,0.4722450422574368
83.0,663,327,30,55011.5,11962,0.16832714173139704,0.009329618372171564,58.92905972081504,28.26730241382105,0.4722450422574368
82.4,7,5,3,576.8000000000001,11969,0.16842564448947428,9.850275807722617e-05,58.92905972081504,28.26730241382105,0.4722450422574368
82.0,156,89,17,12792.0,12125,0.17062084881233816,0.002195204322863897,58.92905972081504,28.26730241382105,0.4722450422574368
81.0,2,1,1,162.0,12127,0.1706489924575031,2.814364516492176e-05,58.92905972081504,28.26730241382105,0.4722450422574368
80.0,342,179,22,27360.0,12469,0.17546155578070471,0.0048125633232016215,58.92905972081504,28.26730241382105,0.4722450422574368
79.0,499,272,13,39421.0,12968,0.1824833952493527,0.007021839468647979,58.92905972081504,28.26730241382105,0.4722450422574368
78.0,988,479,44,77064.0,13956,0.19638635596082404,0.01390296071147135,58.92905972081504,28.26730241382105,0.4722450422574368
77.0,346,171,47,26640.0,14302,0.2012552065743555,0.0048688506135314644,58.92905972081504,28.26730241382105,0.4722450422574368
76.0,420,216,45,31920.0,14722,0.20716537205898908,0.00591016548463357,58.92905972081504,28.26730241382105,0.4722450422574368
