purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price,price_std,price_cv
109.0,29,16,1,3161.0,29,0.0052261668769147595,0.0052261668769147595,54.90760497386916,11.614139970576387,0.20824594625788198
107.0,3,2,1,321.0,32,0.005766804829699045,0.0005406379527842854,54.90760497386916,11.614139970576387,0.20824594625788198
99.0,71,31,1,7029.0,103,0.0185619030455938,0.012795098215894756,54.90760497386916,11.614139970576387,0.20824594625788198
83.0,9,5,1,747.0,112,0.020183816903946657,0.0016219138583528565,54.90760497386916,11.614139970576387,0.20824594625788198
79.0,12,8,1,948.0,124,0.0223463687150838,0.002162551811137142,54.90760497386916,11.614139970576387,0.20824594625788198
78.0,4,2,1,312.0,128,0.02306721931879618,0.0007208506037123806,54.90760497386916,11.614139970576387,0.20824594625788198
77.0,13,8,6,1001.0,141,0.025409983780861418,0.002342764462065237,54.90760497386916,11.614139970576387,0.20824594625788198
76.0,8,5,2,608.0,149,0.02685168498828618,0.0014417012074247613,54.90760497386916,11.614139970576387,0.20824594625788198
72.0,18,9,3,1296.0,167,0.03009551270499189,0.003243827716705713,54.90760497386916,11.614139970576387,0.20824594625788198
71.0,106,55,6,7526.0,273,0.04919805370336998,0.019102540998378086,54.90760497386916,11.614139970576387,0.20824594625788198
70.0,31,19,8,2170.0,304,0.05478464588214093,0.00558659217877095,54.90760497386916,11.614139970576387,0.20824594625788198
69.0,248,121,9,17112.0,552,0.09947738331230853,0.0446927374301676,54.90760497386916,11.614139970576387,0.20824594625788198
68.0,74,42,7,5032.0,626,0.11281311948098756,0.013335736168679042,54.90760497386916,11.614139970576387,0.20824594625788198
67.0,173,93,9,11591.0,799,0.14398990809154802,0.03117678861056046,54.90760497386916,11.614139970576387,0.20824594625788198
66.0,34,17,3,2244.0,833,0.15011713822310327,0.0061272301315552355,54.90760497386916,11.614139970576387,0.20824594625788198
64.0,105,58,19,6720.0,938,0.16903946657055324,0.01892232834744999,54.90760497386916,11.614139970576387,0.20824594625788198
63.0,41,19,4,2583.0,979,0.17642818525860515,0.007388718688051901,54.90760497386916,11.614139970576387,0.20824594625788198
62.0,338,133,11,20956.0,1317,0.2373400612723013,0.06091187601369616,54.90760497386916,11.614139970576387,0.20824594625788198
61.0,257,133,19,15677.0,1574,0.28365471256082175,0.046314651288520456,54.90760497386916,11.614139970576387,0.20824594625788198
59.0,222,90,20,13098.0,1796,0.32366192106685887,0.040007208506037124,54.90760497386916,11.614139970576387,0.20824594625788198
58.0,71,35,4,4118.0,1867,0.3364570192827536,0.012795098215894756,54.90760497386916,11.614139970576387,0.20824594625788198
57.0,17,9,4,969.0,1884,0.33952063434853125,0.0030636150657776177,54.90760497386916,11.614139970576387,0.20824594625788198
56.0,634,307,36,35504.0,2518,0.4537754550369436,0.11425482068841232,54.90760497386916,11.614139970576387,0.20824594625788198
55.0,127,62,17,6985.0,2645,0.4766624617048117,0.022887006667868085,54.90760497386916,11.614139970576387,0.20824594625788198
54.0,172,77,19,9288.0,2817,0.5076590376644441,0.030996575959632365,54.90760497386916,11.614139970576387,0.20824594625788198
53.0,47,19,6,2491.0,2864,0.5161290322580645,0.008469994593620472,54.90760497386916,11.614139970576387,0.20824594625788198
51.0,1072,365,41,54672.0,3936,0.7093169940529825,0.193187961794918,54.90760497386916,11.614139970576387,0.20824594625788198
50.0,28,16,13,1400.0,3964,0.7143629482789692,0.005045954225986664,54.90760497386916,11.614139970576387,0.20824594625788198
49.6,6,3,1,297.6,3970,0.7154442241845378,0.001081275905568571,54.90760497386916,11.614139970576387,0.20824594625788198
49.0,220,88,8,10780.0,4190,0.7550910073887187,0.039646783204180934,54.90760497386916,11.614139970576387,0.20824594625788198
48.0,17,11,3,816.0,4207,0.7581546224544963,0.0030636150657776177,54.90760497386916,11.614139970576387,0.20824594625788198
47.0,2,1,1,94.0,4209,0.7585150477563525,0.0003604253018561903,54.90760497386916,11.614139970576387,0.20824594625788198
46.0,127,60,11,5842.0,4336,0.7814020544242206,0.022887006667868085,54.90760497386916,11.614139970576387,0.20824594625788198
45.0,744,301,9,33480.0,5080,0.9154802667147234,0.1340782122905028,54.90760497386916,11.614139970576387,0.20824594625788198
44.0,45,20,7,1980.0,5125,0.9235898360064877,0.008109569291764282,54.90760497386916,11.614139970576387,0.20824594625788198
43.35,9,4,1,390.15,5134,0.9252117498648406,0.0016219138583528565,54.90760497386916,11.614139970576387,0.20824594625788198
42.0,2,1,1,84.0,5136,0.9255721751666967,0.0003604253018561903,54.90760497386916,11.614139970576387,0.20824594625788198
41.0,25,17,2,1025.0,5161,0.930077491439899,0.004505316273202379,54.90760497386916,11.614139970576387,0.20824594625788198
40.8,3,2,2,122.39999999999999,5164,0.9306181293926834,0.0005406379527842854,54.90760497386916,11.614139970576387,0.20824594625788198
40.0,80,31,2,3200.0,5244,0.945035141466931,0.014417012074247611,54.90760497386916,11.614139970576387,0.20824594625788198
39.2,2,1,1,78.4,5246,0.9453955667687872,0.0003604253018561903,54.90760497386916,11.614139970576387,0.20824594625788198
39.0,220,71,3,8580.0,5466,0.9850423499729681,0.039646783204180934,54.90760497386916,11.614139970576387,0.20824594625788198
38.5,2,1,1,77.0,5468,0.9854027752748243,0.0003604253018561903,54.90760497386916,11.614139970576387,0.20824594625788198
38.25,9,3,1,344.25,5477,0.9870246891331772,0.0016219138583528565,54.90760497386916,11.614139970576387,0.20824594625788198
35.7,8,4,4,285.6,5485,0.9884663903406019,0.0014417012074247613,54.90760497386916,11.614139970576387,0.20824594625788198
35.5,5,2,2,177.5,5490,0.9893674535952424,0.0009010632546404757,54.90760497386916,11.614139970576387,0.20824594625788198
34.0,5,2,2,170.0,5495,0.9902685168498828,0.0009010632546404757,54.90760497386916,11.614139970576387,0.20824594625788198
31.2,2,1,1,62.4,5497,0.990628942151739,0.0003604253018561903,54.90760497386916,11.614139970576387,0.20824594625788198
31.0,5,2,1,155.0,5502,0.9915300054063795,0.0009010632546404757,54.90760497386916,11.614139970576387,0.20824594625788198
27.5,2,1,1,55.0,5504,0.9918904307082357,0.0003604253018561903,54.90760497386916,11.614139970576387,0.20824594625788198
25.5,22,14,11,561.0,5526,0.9958551090286538,0.003964678320418093,54.90760497386916,11.614139970576387,0.20824594625788198
20.5,12,6,3,246.0,5538,0.9980176608397909,0.002162551811137142,54.90760497386916,11.614139970576387,0.20824594625788198
20.0,11,7,6,220.0,5549,1.0,0.0019823391602090466,54.90760497386916,11.614139970576387,0.20824594625788198
