purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price,price_std,price_cv
225.0,2,1,1,450.0,2,0.00023632281696797826,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
195.0,2,1,1,390.0,4,0.0004726456339359565,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
185.0,2,1,1,370.0,6,0.0007089684509039348,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
175.0,5,3,1,875.0,11,0.0012997754933238804,0.0005908070424199456,87.13068060971288,28.132144419059077,0.3144656601979472
169.0,14,10,1,2366.0,25,0.0029540352120997282,0.0016542597187758478,87.13068060971288,28.132144419059077,0.3144656601979472
167.0,3,2,1,501.0,28,0.0033085194375516956,0.0003544842254519674,87.13068060971288,28.132144419059077,0.3144656601979472
165.0,2,1,1,330.0,30,0.003544842254519674,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
159.0,87,54,1,13833.0,117,0.013824884792626729,0.010280042538107055,87.13068060971288,28.132144419059077,0.3144656601979472
155.0,6,3,3,930.0,123,0.014533853243530664,0.0007089684509039348,87.13068060971288,28.132144419059077,0.3144656601979472
150.0,16,10,6,2400.0,139,0.01642443577927449,0.001890582535743826,87.13068060971288,28.132144419059077,0.3144656601979472
149.0,3,2,2,447.0,142,0.016778920004726458,0.0003544842254519674,87.13068060971288,28.132144419059077,0.3144656601979472
145.0,18,9,6,2610.0,160,0.01890582535743826,0.0021269053527118043,87.13068060971288,28.132144419059077,0.3144656601979472
143.0,2,1,1,286.0,162,0.01914214817440624,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
142.0,6,3,2,852.0,168,0.019851116625310174,0.0007089684509039348,87.13068060971288,28.132144419059077,0.3144656601979472
141.0,8,5,2,1128.0,176,0.020796407893182087,0.000945291267871913,87.13068060971288,28.132144419059077,0.3144656601979472
140.0,93,45,19,13020.0,269,0.03178541888219308,0.01098901098901099,87.13068060971288,28.132144419059077,0.3144656601979472
139.0,59,33,10,8201.0,328,0.038756941982748434,0.006971523100555359,87.13068060971288,28.132144419059077,0.3144656601979472
138.0,14,9,5,1932.0,342,0.040411201701524284,0.0016542597187758478,87.13068060971288,28.132144419059077,0.3144656601979472
137.0,4,2,1,548.0,346,0.04088384733546024,0.0004726456339359565,87.13068060971288,28.132144419059077,0.3144656601979472
136.0,39,22,5,5304.0,385,0.045492142266335814,0.004608294930875576,87.13068060971288,28.132144419059077,0.3144656601979472
135.0,63,34,18,8505.0,448,0.05293631100082713,0.007444168734491315,87.13068060971288,28.132144419059077,0.3144656601979472
134.0,14,7,5,1876.0,462,0.05459057071960298,0.0016542597187758478,87.13068060971288,28.132144419059077,0.3144656601979472
133.0,14,8,5,1862.0,476,0.05624483043837883,0.0016542597187758478,87.13068060971288,28.132144419059077,0.3144656601979472
132.0,10,5,2,1320.0,486,0.05742644452321872,0.0011816140848398913,87.13068060971288,28.132144419059077,0.3144656601979472
131.0,18,12,3,2358.0,504,0.05955334987593052,0.0021269053527118043,87.13068060971288,28.132144419059077,0.3144656601979472
130.0,49,25,11,6370.0,553,0.065343258891646,0.005789909015715467,87.13068060971288,28.132144419059077,0.3144656601979472
129.0,86,44,6,11094.0,639,0.07550514002126905,0.010161881129623065,87.13068060971288,28.132144419059077,0.3144656601979472
128.0,18,10,5,2304.0,657,0.07763204537398086,0.0021269053527118043,87.13068060971288,28.132144419059077,0.3144656601979472
126.0,197,110,17,24822.0,854,0.10090984284532671,0.023277797471345858,87.13068060971288,28.132144419059077,0.3144656601979472
125.0,131,61,22,16375.0,985,0.1163889873567293,0.015479144511402577,87.13068060971288,28.132144419059077,0.3144656601979472
124.0,64,40,13,7936.0,1049,0.1239513174997046,0.007562330142975304,87.13068060971288,28.132144419059077,0.3144656601979472
123.0,63,38,16,7749.0,1112,0.13139548623419592,0.007444168734491315,87.13068060971288,28.132144419059077,0.3144656601979472
122.0,17,11,7,2074.0,1129,0.13340423017842373,0.002008743944227815,87.13068060971288,28.132144419059077,0.3144656601979472
121.0,27,15,7,3267.0,1156,0.13659458820749143,0.0031903580290677065,87.13068060971288,28.132144419059077,0.3144656601979472
120.0,53,25,12,6360.0,1209,0.14285714285714285,0.006262554649651424,87.13068060971288,28.132144419059077,0.3144656601979472
119.0,106,59,22,12614.0,1315,0.15538225215644572,0.012525109299302848,87.13068060971288,28.132144419059077,0.3144656601979472
118.0,17,8,6,2006.0,1332,0.15739099610067353,0.002008743944227815,87.13068060971288,28.132144419059077,0.3144656601979472
116.0,120,67,10,13920.0,1452,0.1715703651187522,0.014179369018078695,87.13068060971288,28.132144419059077,0.3144656601979472
115.0,54,26,14,6210.0,1506,0.17795108117688763,0.006380716058135413,87.13068060971288,28.132144419059077,0.3144656601979472
114.0,170,85,17,19380.0,1676,0.19803852061916577,0.020087439442278154,87.13068060971288,28.132144419059077,0.3144656601979472
113.0,63,37,15,7119.0,1739,0.2054826893536571,0.007444168734491315,87.13068060971288,28.132144419059077,0.3144656601979472
112.0,3,2,2,336.0,1742,0.20583717357910905,0.0003544842254519674,87.13068060971288,28.132144419059077,0.3144656601979472
111.0,410,230,42,45510.0,2152,0.2542833510575446,0.04844617747843554,87.13068060971288,28.132144419059077,0.3144656601979472
110.0,111,54,26,12212.0,2263,0.2673992673992674,0.013115916341722794,87.13068060971288,28.132144419059077,0.3144656601979472
109.0,110,69,33,11990.0,2373,0.2803970223325062,0.012997754933238804,87.13068060971288,28.132144419059077,0.3144656601979472
108.75,4,2,1,435.0,2377,0.28086966796644214,0.0004726456339359565,87.13068060971288,28.132144419059077,0.3144656601979472
108.0,29,16,7,3132.0,2406,0.28429634881247784,0.0034266808460356847,87.13068060971288,28.132144419059077,0.3144656601979472
105.0,2,1,1,210.0,2408,0.28453267162944584,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
104.0,2,1,1,208.0,2410,0.2847689944464138,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
103.5,2,1,1,207.0,2412,0.2850053172633818,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
103.0,325,169,29,33459.0,2737,0.32340777502067825,0.03840245775729647,87.13068060971288,28.132144419059077,0.3144656601979472
102.0,99,51,25,10098.0,2836,0.33510575446059315,0.011697979439914925,87.13068060971288,28.132144419059077,0.3144656601979472
101.0,20,12,4,2020.0,2856,0.337468982630273,0.0023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
100.0,14,8,5,1400.0,2870,0.3391232423490488,0.0016542597187758478,87.13068060971288,28.132144419059077,0.3144656601979472
99.0,20,13,4,1980.0,2890,0.3414864705187286,0.0023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
98.0,48,29,6,4704.0,2938,0.34715821812596004,0.005671747607231478,87.13068060971288,28.132144419059077,0.3144656601979472
94.0,5,2,1,470.0,2943,0.34774902516838,0.0005908070424199456,87.13068060971288,28.132144419059077,0.3144656601979472
93.0,91,47,7,8463.0,3034,0.358501713340423,0.010752688172043012,87.13068060971288,28.132144419059077,0.3144656601979472
92.0,213,102,10,19596.0,3247,0.3836700933475127,0.025168380007089684,87.13068060971288,28.132144419059077,0.3144656601979472
91.0,63,32,11,5733.0,3310,0.391114262082004,0.007444168734491315,87.13068060971288,28.132144419059077,0.3144656601979472
90.0,18,9,6,1620.0,3328,0.3932411674347158,0.0021269053527118043,87.13068060971288,28.132144419059077,0.3144656601979472
89.0,13,7,3,1157.0,3341,0.39477726574500765,0.0015360983102918587,87.13068060971288,28.132144419059077,0.3144656601979472
88.0,159,85,12,13992.0,3500,0.41356492969396197,0.018787663948954272,87.13068060971288,28.132144419059077,0.3144656601979472
87.55,2,1,1,175.1,3502,0.4138012525109299,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
87.0,1,1,1,87.0,3503,0.4139194139194139,0.00011816140848398913,87.13068060971288,28.132144419059077,0.3144656601979472
86.0,26,12,10,2236.0,3529,0.4169916105399976,0.0030721966205837174,87.13068060971288,28.132144419059077,0.3144656601979472
85.0,144,63,6,12240.0,3673,0.4340068533616921,0.017015242821694435,87.13068060971288,28.132144419059077,0.3144656601979472
84.0,6,4,1,504.0,3679,0.434715821812596,0.0007089684509039348,87.13068060971288,28.132144419059077,0.3144656601979472
83.0,347,166,26,28783.5,4026,0.4757178305565402,0.041002008743944225,87.13068060971288,28.132144419059077,0.3144656601979472
82.4,4,3,2,329.6,4030,0.47619047619047616,0.0004726456339359565,87.13068060971288,28.132144419059077,0.3144656601979472
82.0,42,23,12,3444.0,4072,0.48115325534680375,0.004962779156327543,87.13068060971288,28.132144419059077,0.3144656601979472
80.0,194,101,14,15520.0,4266,0.5040765685926977,0.022923313245893893,87.13068060971288,28.132144419059077,0.3144656601979472
79.0,28,13,3,2212.0,4294,0.5073850880302493,0.0033085194375516956,87.13068060971288,28.132144419059077,0.3144656601979472
78.0,447,198,38,34866.0,4741,0.5602032376225925,0.05281814959234314,87.13068060971288,28.132144419059077,0.3144656601979472
77.0,113,53,22,8699.0,4854,0.5735554767812833,0.013352239158690772,87.13068060971288,28.132144419059077,0.3144656601979472
76.0,50,31,22,3800.0,4904,0.5794635472054827,0.0059080704241994565,87.13068060971288,28.132144419059077,0.3144656601979472
75.0,440,191,11,33000.0,5344,0.6314545669384379,0.05199101973295522,87.13068060971288,28.132144419059077,0.3144656601979472
74.0,48,24,4,3552.0,5392,0.6371263145456694,0.005671747607231478,87.13068060971288,28.132144419059077,0.3144656601979472
73.0,2,1,1,146.0,5394,0.6373626373626373,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
72.9,4,2,2,291.6,5398,0.6378352829965733,0.0004726456339359565,87.13068060971288,28.132144419059077,0.3144656601979472
72.0,451,230,32,32472.0,5849,0.6911260782228524,0.053290795226279095,87.13068060971288,28.132144419059077,0.3144656601979472
71.0,55,34,20,3905.0,5904,0.6976249556894718,0.006498877466619402,87.13068060971288,28.132144419059077,0.3144656601979472
70.0,109,41,2,7630.0,6013,0.7105045492142267,0.012879593524754816,87.13068060971288,28.132144419059077,0.3144656601979472
69.0,535,221,6,36915.0,6548,0.7737209027531609,0.06321635353893418,87.13068060971288,28.132144419059077,0.3144656601979472
68.0,22,10,5,1500.0,6570,0.7763204537398086,0.002599550986647761,87.13068060971288,28.132144419059077,0.3144656601979472
67.0,46,20,10,3082.0,6616,0.7817558785300721,0.0054354247902635,87.13068060971288,28.132144419059077,0.3144656601979472
66.4,4,1,1,265.6,6620,0.782228524164008,0.0004726456339359565,87.13068060971288,28.132144419059077,0.3144656601979472
65.0,341,175,7,22165.0,6961,0.8225215644570484,0.040293040293040296,87.13068060971288,28.132144419059077,0.3144656601979472
64.0,17,5,2,1088.0,6978,0.8245303084012762,0.002008743944227815,87.13068060971288,28.132144419059077,0.3144656601979472
63.0,8,4,3,504.0,6986,0.8254755996691481,0.000945291267871913,87.13068060971288,28.132144419059077,0.3144656601979472
62.0,13,8,2,806.0,6999,0.82701169797944,0.0015360983102918587,87.13068060971288,28.132144419059077,0.3144656601979472
61.6,34,15,5,2094.4,7033,0.8310291858678955,0.00401748788845563,87.13068060971288,28.132144419059077,0.3144656601979472
61.2,9,2,2,550.8,7042,0.8320926385442514,0.0010634526763559022,87.13068060971288,28.132144419059077,0.3144656601979472
60.0,213,85,7,12780.0,7255,0.8572610185513412,0.025168380007089684,87.13068060971288,28.132144419059077,0.3144656601979472
59.0,204,79,3,12036.0,7459,0.881365945882075,0.024104927330733782,87.13068060971288,28.132144419059077,0.3144656601979472
58.65,38,17,4,2228.7,7497,0.8858560794044665,0.004490133522391587,87.13068060971288,28.132144419059077,0.3144656601979472
57.75,2,1,1,115.5,7499,0.8860924022214345,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
57.6,3,1,1,172.8,7502,0.8864468864468864,0.0003544842254519674,87.13068060971288,28.132144419059077,0.3144656601979472
57.0,10,3,2,570.0,7512,0.8876285005317264,0.0011816140848398913,87.13068060971288,28.132144419059077,0.3144656601979472
55.0,579,231,9,31845.0,8091,0.9560439560439561,0.0684154555122297,87.13068060971288,28.132144419059077,0.3144656601979472
53.9,6,3,3,323.4,8097,0.9567529244948599,0.0007089684509039348,87.13068060971288,28.132144419059077,0.3144656601979472
51.5,9,5,5,463.5,8106,0.9578163771712159,0.0010634526763559022,87.13068060971288,28.132144419059077,0.3144656601979472
51.0,8,4,2,408.0,8114,0.9587616684390878,0.000945291267871913,87.13068060971288,28.132144419059077,0.3144656601979472
50.4,18,10,6,907.1999999999999,8132,0.9608885737917996,0.0021269053527118043,87.13068060971288,28.132144419059077,0.3144656601979472
50.0,15,5,1,750.0,8147,0.9626609949190594,0.001772421127259837,87.13068060971288,28.132144419059077,0.3144656601979472
49.0,131,43,2,6419.0,8278,0.978140139430462,0.015479144511402577,87.13068060971288,28.132144419059077,0.3144656601979472
46.75,6,3,3,280.5,8284,0.9788491078813659,0.0007089684509039348,87.13068060971288,28.132144419059077,0.3144656601979472
45.5,4,3,2,182.0,8288,0.9793217535153019,0.0004726456339359565,87.13068060971288,28.132144419059077,0.3144656601979472
41.5,2,1,1,83.0,8290,0.9795580763322699,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
38.5,2,1,1,77.0,8292,0.9797943991492378,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
36.0,27,11,8,972.0,8319,0.9829847571783056,0.0031903580290677065,87.13068060971288,28.132144419059077,0.3144656601979472
30.25,1,1,1,30.25,8320,0.9831029185867896,0.00011816140848398913,87.13068060971288,28.132144419059077,0.3144656601979472
22.0,2,1,1,44.0,8322,0.9833392414037575,0.00023632281696797826,87.13068060971288,28.132144419059077,0.3144656601979472
20.0,117,70,31,2340.0,8439,0.9971641261963843,0.013824884792626729,87.13068060971288,28.132144419059077,0.3144656601979472
10.0,24,12,1,240.0,8463,1.0,0.002835873803615739,87.13068060971288,28.132144419059077,0.3144656601979472
