purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price,price_std,price_cv
230.0,2,1,1,460.0,2,0.00012451749470800648,0.00012451749470800648,56.2072282405678,20.947352277790653,0.36765824892661336
140.0,17,6,3,2380.0,19,0.0011829161997260614,0.0010583987050180551,56.2072282405678,20.947352277790653,0.36765824892661336
130.0,6,3,1,780.0,25,0.001556468683850081,0.00037355248412401944,56.2072282405678,20.947352277790653,0.36765824892661336
128.0,4,2,1,512.0,29,0.0018055036732660939,0.00024903498941601296,56.2072282405678,20.947352277790653,0.36765824892661336
125.0,4,1,1,500.0,33,0.002054538662682107,0.00024903498941601296,56.2072282405678,20.947352277790653,0.36765824892661336
120.0,5,2,1,600.0,38,0.002365832399452123,0.0003112937367700162,56.2072282405678,20.947352277790653,0.36765824892661336
108.75,4,2,1,435.0,42,0.002614867388868136,0.00024903498941601296,56.2072282405678,20.947352277790653,0.36765824892661336
103.0,221,84,2,22763.0,263,0.01637405055410285,0.013759183165234716,56.2072282405678,20.947352277790653,0.36765824892661336
101.0,59,19,4,5959.0,322,0.020047316647989043,0.003673266093886191,56.2072282405678,20.947352277790653,0.36765824892661336
100.0,12,6,2,1200.0,334,0.020794421616237083,0.0007471049682480389,56.2072282405678,20.947352277790653,0.36765824892661336
99.0,34,18,4,3366.0,368,0.022911219026273192,0.0021167974100361102,56.2072282405678,20.947352277790653,0.36765824892661336
98.0,77,35,1,7546.0,445,0.02770514257253144,0.004793923546258249,56.2072282405678,20.947352277790653,0.36765824892661336
94.0,5,2,1,470.0,450,0.028016436309301458,0.0003112937367700162,56.2072282405678,20.947352277790653,0.36765824892661336
93.0,520,196,5,47616.0,970,0.06039098493338314,0.032374548624081685,56.2072282405678,20.947352277790653,0.36765824892661336
89.0,994,400,3,88466.0,1964,0.12227617980326236,0.061885194869879215,56.2072282405678,20.947352277790653,0.36765824892661336
88.0,81,36,3,7128.0,2045,0.12731913833893663,0.005042958535674262,56.2072282405678,20.947352277790653,0.36765824892661336
87.0,12,4,1,1044.0,2057,0.12806624330718466,0.0007471049682480389,56.2072282405678,20.947352277790653,0.36765824892661336
85.0,278,107,5,23630.0,2335,0.14537417507159756,0.0173079317644129,56.2072282405678,20.947352277790653,0.36765824892661336
83.0,41,19,6,3403.0,2376,0.1479267837131117,0.0025526086415141327,56.2072282405678,20.947352277790653,0.36765824892661336
82.0,18,7,2,1476.0,2394,0.14904744116548374,0.0011206574523720584,56.2072282405678,20.947352277790653,0.36765824892661336
80.0,113,57,2,9040.0,2507,0.15608267961648611,0.007035238451002366,56.2072282405678,20.947352277790653,0.36765824892661336
79.0,63,25,9,4977.0,2570,0.16000498069978833,0.003922301083302204,56.2072282405678,20.947352277790653,0.36765824892661336
78.0,22,7,2,1716.0,2592,0.16137467314157639,0.0013696924417880712,56.2072282405678,20.947352277790653,0.36765824892661336
77.0,6,3,2,462.0,2598,0.1617482256257004,0.00037355248412401944,56.2072282405678,20.947352277790653,0.36765824892661336
76.0,236,106,2,17936.0,2834,0.17644129000124517,0.014693064375544764,56.2072282405678,20.947352277790653,0.36765824892661336
75.65,37,10,3,2799.05,2871,0.1787448636533433,0.0023035736520981196,56.2072282405678,20.947352277790653,0.36765824892661336
75.0,419,177,9,31425.0,3290,0.20483127879467064,0.026086415141327358,56.2072282405678,20.947352277790653,0.36765824892661336
74.0,78,33,2,5772.0,3368,0.2096874610882829,0.004856182293612252,56.2072282405678,20.947352277790653,0.36765824892661336
73.0,39,14,1,2847.0,3407,0.21211555223508902,0.002428091146806126,56.2072282405678,20.947352277790653,0.36765824892661336
72.0,10,4,2,720.0,3417,0.21273813970862906,0.0006225874735400323,56.2072282405678,20.947352277790653,0.36765824892661336
71.0,216,94,2,15336.0,3633,0.22618602913709376,0.013447889428464699,56.2072282405678,20.947352277790653,0.36765824892661336
70.0,250,102,2,17500.0,3883,0.24175071597559458,0.01556468683850081,56.2072282405678,20.947352277790653,0.36765824892661336
69.0,750,311,4,51750.0,4633,0.288444776491097,0.04669406051550243,56.2072282405678,20.947352277790653,0.36765824892661336
68.0,96,26,5,6532.0,4729,0.2944216162370813,0.005976839745984311,56.2072282405678,20.947352277790653,0.36765824892661336
67.0,11,3,2,737.0,4740,0.29510646245797534,0.0006848462208940356,56.2072282405678,20.947352277790653,0.36765824892661336
66.0,78,40,2,5148.0,4818,0.29996264475158757,0.004856182293612252,56.2072282405678,20.947352277790653,0.36765824892661336
65.5,3,3,1,196.5,4821,0.3001494209936496,0.00018677624206200972,56.2072282405678,20.947352277790653,0.36765824892661336
65.0,349,159,7,22685.0,5170,0.32187772382019675,0.02172830282654713,56.2072282405678,20.947352277790653,0.36765824892661336
64.0,242,89,6,15488.0,5412,0.3369443406798655,0.015066616859668784,56.2072282405678,20.947352277790653,0.36765824892661336
63.0,36,16,2,2268.0,5448,0.3391856555846096,0.0022413149047441168,56.2072282405678,20.947352277790653,0.36765824892661336
61.0,3,2,2,183.0,5451,0.33937243182667165,0.00018677624206200972,56.2072282405678,20.947352277790653,0.36765824892661336
60.0,569,224,6,34150.0,6020,0.37479765907109946,0.03542522724442784,56.2072282405678,20.947352277790653,0.36765824892661336
59.0,1020,388,8,60180.0,7040,0.4383015813721828,0.0635039223010833,56.2072282405678,20.947352277790653,0.36765824892661336
58.65,42,18,4,2463.2999999999997,7082,0.4409164487610509,0.002614867388868136,56.2072282405678,20.947352277790653,0.36765824892661336
58.0,86,36,2,4988.0,7168,0.4462707010334952,0.005354252272444278,56.2072282405678,20.947352277790653,0.36765824892661336
57.0,89,34,8,5073.0,7257,0.4518117295480015,0.005541028514506288,56.2072282405678,20.947352277790653,0.36765824892661336
55.0,1043,408,5,57365.0,8300,0.5167476030382269,0.06493587349022538,56.2072282405678,20.947352277790653,0.36765824892661336
54.0,341,149,3,18414.0,8641,0.537977835885942,0.021230232847715105,56.2072282405678,20.947352277790653,0.36765824892661336
53.0,143,54,4,7579.0,8784,0.5468808367575645,0.008903000871622463,56.2072282405678,20.947352277790653,0.36765824892661336
51.0,10,5,3,510.0,8794,0.5475034242311044,0.0006225874735400323,56.2072282405678,20.947352277790653,0.36765824892661336
50.15,34,13,3,1705.1,8828,0.5496202216411405,0.0021167974100361102,56.2072282405678,20.947352277790653,0.36765824892661336
50.0,59,24,1,2950.0,8887,0.5532934877350267,0.003673266093886191,56.2072282405678,20.947352277790653,0.36765824892661336
49.0,1796,664,9,87873.33,10683,0.6651101979828166,0.11181671024778982,56.2072282405678,20.947352277790653,0.36765824892661336
47.0,23,9,2,1081.0,10706,0.6665421491719586,0.0014319511891420745,56.2072282405678,20.947352277790653,0.36765824892661336
46.75,25,14,3,1168.75,10731,0.6680986178558087,0.001556468683850081,56.2072282405678,20.947352277790653,0.36765824892661336
45.0,1240,502,7,55800.0,11971,0.7452994645747728,0.07720084671896402,56.2072282405678,20.947352277790653,0.36765824892661336
43.0,42,15,6,1806.0,12013,0.7479143319636409,0.002614867388868136,56.2072282405678,20.947352277790653,0.36765824892661336
42.0,18,6,2,756.0,12031,0.749034989416013,0.0011206574523720584,56.2072282405678,20.947352277790653,0.36765824892661336
40.0,152,68,2,6080.0,12183,0.7584983190138215,0.009463329597808491,56.2072282405678,20.947352277790653,0.36765824892661336
39.0,862,292,3,33618.0,13045,0.8121653592329723,0.053667040219150794,56.2072282405678,20.947352277790653,0.36765824892661336
38.25,41,20,4,1568.25,13086,0.8147179678744864,0.0025526086415141327,56.2072282405678,20.947352277790653,0.36765824892661336
37.0,40,12,4,1480.0,13126,0.8172083177686464,0.0024903498941601294,56.2072282405678,20.947352277790653,0.36765824892661336
35.0,643,219,6,22505.0,13769,0.8572406923172706,0.04003237454862408,56.2072282405678,20.947352277790653,0.36765824892661336
