purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price,price_std,price_cv
230.0,2,1,1,460.0,2,4.8534265191225004e-05,4.8534265191225004e-05,63.06850854203066,25.918695157848106,0.4077477218794107
225.0,6,3,1,1350.0,8,0.00019413706076490002,0.00014560279557367502,63.06850854203066,25.918695157848106,0.4077477218794107
200.0,2,1,1,400.0,10,0.00024267132595612501,4.8534265191225004e-05,63.06850854203066,25.918695157848106,0.4077477218794107
199.0,2,1,1,398.0,12,0.00029120559114735004,4.8534265191225004e-05,63.06850854203066,25.918695157848106,0.4077477218794107
175.0,14,7,2,2450.0,26,0.0006309454474859251,0.000339739856338575,63.06850854203066,25.918695157848106,0.4077477218794107
169.0,60,35,1,10140.0,86,0.002086973403222675,0.00145602795573675,63.06850854203066,25.918695157848106,0.4077477218794107
167.0,20,10,1,3340.0,106,0.002572316055134925,0.00048534265191225003,63.06850854203066,25.918695157848106,0.4077477218794107
165.0,2,1,1,330.0,108,0.0026208503203261502,4.8534265191225004e-05,63.06850854203066,25.918695157848106,0.4077477218794107
159.0,417,243,1,66303.0,525,0.012740244612696563,0.010119394292370413,63.06850854203066,25.918695157848106,0.4077477218794107
155.0,2,1,1,310.0,527,0.01278877887788779,4.8534265191225004e-05,63.06850854203066,25.918695157848106,0.4077477218794107
150.0,2,1,1,300.0,529,0.012837313143079013,4.8534265191225004e-05,63.06850854203066,25.918695157848106,0.4077477218794107
145.0,8,4,2,1160.0,537,0.013031450203843914,0.00019413706076490002,63.06850854203066,25.918695157848106,0.4077477218794107
140.0,3,1,1,420.0,540,0.013104251601630751,7.280139778683751e-05,63.06850854203066,25.918695157848106,0.4077477218794107
139.0,2,2,1,278.0,542,0.013152785866821975,4.8534265191225004e-05,63.06850854203066,25.918695157848106,0.4077477218794107
137.0,1,1,1,137.0,543,0.013177052999417588,2.4267132595612502e-05,63.06850854203066,25.918695157848106,0.4077477218794107
136.0,15,7,1,2040.0,558,0.013541059988351777,0.0003640069889341875,63.06850854203066,25.918695157848106,0.4077477218794107
135.0,11,7,3,1485.0,569,0.013807998446903514,0.0002669384585517375,63.06850854203066,25.918695157848106,0.4077477218794107
134.0,22,9,4,2948.0,591,0.014341875364006988,0.000533876917103475,63.06850854203066,25.918695157848106,0.4077477218794107
133.0,5,3,3,665.0,596,0.014463211026985051,0.00012133566297806251,63.06850854203066,25.918695157848106,0.4077477218794107
131.0,7,7,2,917.0,603,0.014633080955154339,0.0001698699281692875,63.06850854203066,25.918695157848106,0.4077477218794107
130.0,2,1,1,260.0,605,0.014681615220345563,4.8534265191225004e-05,63.06850854203066,25.918695157848106,0.4077477218794107
129.0,4,2,1,516.0,609,0.014778683750728014,9.706853038245001e-05,63.06850854203066,25.918695157848106,0.4077477218794107
128.0,1,1,1,128.0,610,0.014802950883323627,2.4267132595612502e-05,63.06850854203066,25.918695157848106,0.4077477218794107
126.0,325,183,12,40950.0,935,0.02268976897689769,0.007886818093574064,63.06850854203066,25.918695157848106,0.4077477218794107
125.0,105,52,12,13125.0,1040,0.025237817899437003,0.0025480489225393125,63.06850854203066,25.918695157848106,0.4077477218794107
124.0,121,78,16,15004.0,1161,0.028174140943506114,0.0029363230440691127,63.06850854203066,25.918695157848106,0.4077477218794107
123.0,1,1,1,123.0,1162,0.028198408076101727,2.4267132595612502e-05,63.06850854203066,25.918695157848106,0.4077477218794107
122.0,38,21,9,4616.0,1200,0.029120559114735003,0.0009221510386332751,63.06850854203066,25.918695157848106,0.4077477218794107
121.0,118,74,8,14278.0,1318,0.031984080761017275,0.0028635216462822755,63.06850854203066,25.918695157848106,0.4077477218794107
119.0,167,98,26,19873.0,1485,0.036036691904484566,0.004052611143467288,63.06850854203066,25.918695157848106,0.4077477218794107
118.0,7,4,4,826.0,1492,0.036206561832653854,0.0001698699281692875,63.06850854203066,25.918695157848106,0.4077477218794107
116.0,173,96,11,20068.0,1665,0.040404775771694816,0.004198213939040963,63.06850854203066,25.918695157848106,0.4077477218794107
114.0,144,77,11,16416.0,1809,0.04389924286546302,0.0034944670937682005,63.06850854203066,25.918695157848106,0.4077477218794107
113.0,127,79,17,14351.0,1936,0.046981168705105804,0.0030819258396427877,63.06850854203066,25.918695157848106,0.4077477218794107
111.0,556,327,47,61716.0,2492,0.060473694428266354,0.01349252572316055,63.06850854203066,25.918695157848106,0.4077477218794107
110.0,282,112,28,31020.0,2774,0.06731702582022908,0.0068433313919627255,63.06850854203066,25.918695157848106,0.4077477218794107
109.0,217,118,36,23653.0,2991,0.07258299359347699,0.005265967773247913,63.06850854203066,25.918695157848106,0.4077477218794107
108.0,15,11,4,1620.0,3006,0.07294700058241119,0.0003640069889341875,63.06850854203066,25.918695157848106,0.4077477218794107
107.0,4,2,1,428.0,3010,0.07304406911279364,9.706853038245001e-05,63.06850854203066,25.918695157848106,0.4077477218794107
105.0,15,10,4,1575.0,3025,0.07340807610172782,0.0003640069889341875,63.06850854203066,25.918695157848106,0.4077477218794107
104.0,4,3,1,416.0,3029,0.07350514463211028,9.706853038245001e-05,63.06850854203066,25.918695157848106,0.4077477218794107
103.0,694,354,38,71482.0,3723,0.09034653465346534,0.016841390021355075,63.06850854203066,25.918695157848106,0.4077477218794107
102.0,157,99,36,16014.0,3880,0.09415647447097651,0.003809939817511163,63.06850854203066,25.918695157848106,0.4077477218794107
101.0,71,26,6,7171.0,3951,0.095879440885265,0.0017229664142884877,63.06850854203066,25.918695157848106,0.4077477218794107
100.0,28,17,8,2800.0,3979,0.09655892059794215,0.00067947971267715,63.06850854203066,25.918695157848106,0.4077477218794107
99.0,240,142,5,23760.0,4219,0.10238303242088914,0.005824111822947,63.06850854203066,25.918695157848106,0.4077477218794107
98.0,124,64,9,12152.0,4343,0.1053921568627451,0.0030091244418559504,63.06850854203066,25.918695157848106,0.4077477218794107
97.0,10,8,3,970.0,4353,0.10563482818870122,0.00024267132595612501,63.06850854203066,25.918695157848106,0.4077477218794107
96.0,4,2,1,384.0,4357,0.10573189671908367,9.706853038245001e-05,63.06850854203066,25.918695157848106,0.4077477218794107
95.0,2,1,1,190.0,4359,0.10578043098427489,4.8534265191225004e-05,63.06850854203066,25.918695157848106,0.4077477218794107
93.0,660,279,15,60636.0,5019,0.12179673849737915,0.01601630751310425,63.06850854203066,25.918695157848106,0.4077477218794107
92.0,110,58,8,10120.0,5129,0.12446612308289652,0.0026693845855173754,63.06850854203066,25.918695157848106,0.4077477218794107
91.0,75,38,11,6825.0,5204,0.12628615802756746,0.0018200349446709377,63.06850854203066,25.918695157848106,0.4077477218794107
90.0,45,24,11,4050.0,5249,0.12737817899437,0.0010920209668025627,63.06850854203066,25.918695157848106,0.4077477218794107
89.0,1340,553,8,119260.0,6589,0.15989613667249078,0.032517957678120754,63.06850854203066,25.918695157848106,0.4077477218794107
