price_bucket,subscribers,total_seats,cumulative_subscribers,cumulative_quantity,purchase_price,seats_sold,avg_price
110.0,3,14,3,3,110.0,3,75.76583131578634
105.0,82,1377,85,85,105.0,82,75.76583131578634
100.0,46,767,131,131,100.0,46,75.76583131578634
95.0,23,772,154,154,95.0,23,75.76583131578634
90.0,11,255,165,165,90.0,11,75.76583131578634
85.0,23,872,188,188,85.0,23,75.76583131578634
80.0,7,105,195,195,80.0,7,75.76583131578634
75.0,13,147,208,208,75.0,13,75.76583131578634
70.0,48,599,256,256,70.0,48,75.76583131578634
65.0,31,362,287,287,65.0,31,75.76583131578634
60.0,11,334,298,298,60.0,11,75.76583131578634
55.0,29,282,327,327,55.0,29,75.76583131578634
50.0,34,381,361,361,50.0,34,75.76583131578634
45.0,16,272,377,377,45.0,16,75.76583131578634
40.0,11,206,388,388,40.0,11,75.76583131578634
35.0,26,216,414,414,35.0,26,75.76583131578634
30.0,2,37,416,416,30.0,2,75.76583131578634
