price_bucket,subscribers,total_seats,cumulative_subscribers,cumulative_quantity,purchase_price,seats_sold,avg_price
110.0,1,4,1,1,110.0,1,45.02441406938247
105.0,82,1311,83,83,105.0,82,45.02441406938247
100.0,52,738,135,135,100.0,52,45.02441406938247
95.0,23,659,158,158,95.0,23,45.02441406938247
90.0,18,458,176,176,90.0,18,45.02441406938247
85.0,11,253,187,187,85.0,11,45.02441406938247
80.0,20,977,207,207,80.0,20,45.02441406938247
75.0,28,420,235,235,75.0,28,45.02441406938247
70.0,22,316,257,257,70.0,22,45.02441406938247
65.0,13,313,270,270,65.0,13,45.02441406938247
60.0,73,1500,343,343,60.0,73,45.02441406938247
55.0,98,1399,441,441,55.0,98,45.02441406938247
50.0,80,1692,521,521,50.0,80,45.02441406938247
45.0,270,4996,791,791,45.0,270,45.02441406938247
40.0,113,2359,904,904,40.0,113,45.02441406938247
35.0,179,2952,1083,1083,35.0,179,45.02441406938247
30.0,167,2412,1250,1250,30.0,167,45.02441406938247
25.0,243,3825,1493,1493,25.0,243,45.02441406938247
20.0,107,1645,1600,1600,20.0,107,45.02441406938247
15.0,42,694,1642,1642,15.0,42,45.02441406938247
10.0,33,465,1675,1675,10.0,33,45.02441406938247
