purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
124.0,326,174,11,40424.0,326,0.021512471954599446,0.021512471954599446,57.319849544674675
113.0,375,195,12,42386.0,701,0.04625841362016629,0.02474594166556685,57.319849544674675
109.0,1002,538,40,109027.0,1703,0.1123795697505609,0.06612115613039461,57.319849544674675
107.0,71,41,3,7597.0,1774,0.1170648013725749,0.0046852316220139896,57.319849544674675
102.0,1100,569,42,112190.0,2874,0.1896528969249043,0.07258809555232942,57.319849544674675
90.0,166,89,11,14940.0,3040,0.20060710043552857,0.010954203510624257,57.319849544674675
89.0,2,1,1,178.0,3042,0.20073907879107827,0.00013197835554968986,57.319849544674675
82.0,175,94,11,14350.0,3217,0.2122871849016761,0.011548106110597861,57.319849544674675
76.0,571,302,39,43396.0,3788,0.24996700541111258,0.037679820509436454,57.319849544674675
74.0,30,16,2,2220.0,3818,0.25194668074435794,0.0019796753332453477,57.319849544674675
71.0,408,221,41,28968.0,4226,0.27887026527649467,0.02692358453213673,57.319849544674675
67.0,346,170,12,23208.0,4572,0.301702520786591,0.022832255510096343,57.319849544674675
61.0,414,215,11,25265.0,4986,0.3290220403853768,0.0273195195987858,57.319849544674675
55.0,129,63,11,7095.0,5115,0.3375346443183318,0.008512603932954995,57.319849544674675
54.0,1266,658,40,68365.0,6381,0.4210769433812855,0.08354229906295367,57.319849544674675
52.0,52,29,2,2704.0,6433,0.4245083806255774,0.003431437244291936,57.319849544674675
50.0,1189,620,52,59432.01,7622,0.502969512999868,0.07846113237429062,57.319849544674675
49.0,75,39,10,3675.0,7697,0.5079187013329813,0.0049491883331133696,57.319849544674675
45.0,92,47,11,4140.0,7789,0.5139897056882671,0.006071004355285733,57.319849544674675
44.0,61,35,10,2684.0,7850,0.5180150455325326,0.0040253398442655405,57.319849544674675
43.0,408,204,38,17544.0,8258,0.5449386300646694,0.02692358453213673,57.319849544674675
42.0,17,8,2,714.0,8275,0.5460604460868418,0.0011218160221723636,57.319849544674675
40.0,398,230,49,15866.66,8673,0.57232413884123,0.02626369275438828,57.319849544674675
39.0,1813,991,42,70707.0,10486,0.6919625181470239,0.11963837930579385,57.319849544674675
37.0,44,27,9,1629.0,10530,0.694866041969117,0.002903523822093177,57.319849544674675
36.0,380,207,40,13680.0,10910,0.7199419295235582,0.02507588755444107,57.319849544674675
35.0,16,12,2,560.0,10926,0.7209977563679556,0.0010558268443975189,57.319849544674675
34.0,277,153,47,9418.0,11203,0.7392767586115877,0.018279002243632044,57.319849544674675
33.0,3240,1723,41,106920.0,14443,0.9530816946020852,0.21380493599049755,57.319849544674675
31.0,193,114,37,5983.0,14636,0.9658176059126303,0.012735911310545071,57.319849544674675
29.0,198,121,38,5742.0,14834,0.9788834631120497,0.013065857199419295,57.319849544674675
24.0,172,102,36,4128.0,15006,0.990233601689323,0.011350138577273327,57.319849544674675
23.0,11,7,2,253.0,15017,0.9909594826448462,0.0007258809555232942,57.319849544674675
22.0,137,80,31,3014.0,15154,1.0,0.009040517355153755,57.319849544674675
