purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
90.4,3,2,1,271.20000000000005,3,0.00946372239747634,0.00946372239747634,46.45362776025237
81.6,22,11,9,1795.1999999999998,25,0.07886435331230283,0.0694006309148265,46.45362776025237
74.5,20,10,10,1490.0,45,0.14195583596214512,0.06309148264984227,46.45362776025237
72.0,5,4,3,360.0,50,0.15772870662460567,0.015772870662460567,46.45362776025237
70.0,31,15,13,2170.0,81,0.2555205047318612,0.09779179810725552,46.45362776025237
60.8,10,6,5,608.0,91,0.2870662460567823,0.031545741324921134,46.45362776025237
56.8,5,3,3,284.0,96,0.3028391167192429,0.015772870662460567,46.45362776025237
53.6,3,2,2,160.8,99,0.31230283911671924,0.00946372239747634,46.45362776025237
49.0,2,1,1,98.0,101,0.3186119873817035,0.006309148264984227,46.45362776025237
48.8,9,5,2,439.2,110,0.3470031545741325,0.028391167192429023,46.45362776025237
46.0,2,1,1,92.0,112,0.35331230283911674,0.006309148264984227,46.45362776025237
44.0,4,2,2,176.0,116,0.3659305993690852,0.012618296529968454,46.45362776025237
43.2,17,10,8,734.4000000000001,133,0.4195583596214511,0.05362776025236593,46.45362776025237
42.0,1,1,1,42.0,134,0.4227129337539432,0.0031545741324921135,46.45362776025237
40.0,23,13,10,920.0,157,0.4952681388012618,0.07255520504731862,46.45362776025237
39.0,2,1,1,78.0,159,0.501577287066246,0.006309148264984227,46.45362776025237
36.0,3,2,1,108.0,162,0.5110410094637224,0.00946372239747634,46.45362776025237
35.7,2,1,1,71.4,164,0.5173501577287066,0.006309148264984227,46.45362776025237
35.2,1,1,1,35.2,165,0.5205047318611987,0.0031545741324921135,46.45362776025237
34.4,8,4,3,275.2,173,0.5457413249211357,0.025236593059936908,46.45362776025237
34.0,14,6,4,476.0,187,0.5899053627760252,0.04416403785488959,46.45362776025237
33.5,52,34,24,1742.0,239,0.7539432176656151,0.1640378548895899,46.45362776025237
32.0,53,39,29,1696.0,292,0.9211356466876972,0.167192429022082,46.45362776025237
28.8,2,2,2,57.6,294,0.9274447949526814,0.006309148264984227,46.45362776025237
27.2,3,1,1,81.6,297,0.9369085173501577,0.00946372239747634,46.45362776025237
25.0,2,2,2,50.0,299,0.943217665615142,0.006309148264984227,46.45362776025237
24.0,13,13,9,312.0,312,0.9842271293375394,0.04100946372239748,46.45362776025237
23.0,2,2,1,46.0,314,0.9905362776025236,0.006309148264984227,46.45362776025237
19.2,2,2,2,38.4,316,0.9968454258675079,0.006309148264984227,46.45362776025237
17.6,1,1,1,17.6,317,1.0,0.0031545741324921135,46.45362776025237
