purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
107.75,248,141,16,26722.0,248,0.008651665794522938,0.008651665794522938,58.03354264782836
106.0,2339,1343,52,247934.0,2587,0.09024943310657596,0.08159776731205302,58.03354264782836
102.75,242,134,18,24864.75,2829,0.09869178440607013,0.008442351299494156,58.03354264782836
100.0,2275,1312,51,227534.0,5104,0.1780568637711495,0.07936507936507936,58.03354264782836
98.5,264,140,46,26004.0,5368,0.18726670155241584,0.009209837781266352,58.03354264782836
95.5,101,58,47,9645.5,5469,0.19079016221873366,0.003523460666317809,58.03354264782836
95.0,698,431,97,66310.0,6167,0.21514041514041515,0.024350252921681494,58.03354264782836
94.0,301,169,45,28294.0,6468,0.22564102564102564,0.010500610500610501,58.03354264782836
91.0,33,17,17,3003.0,6501,0.22679225536368394,0.001151229722658294,58.03354264782836
90.5,12,6,6,1086.0,6513,0.2272108843537415,0.0004186289900575615,58.03354264782836
85.0,317,189,48,26945.0,6830,0.2382696668410954,0.011058782487353916,58.03354264782836
82.75,511,335,51,42347.0,7341,0.2560962846677132,0.017826617826617826,58.03354264782836
81.0,308,189,50,24948.0,7649,0.266841095412524,0.010744810744810745,58.03354264782836
79.0,622,407,50,49138.0,8271,0.28854003139717427,0.02169893598465027,58.03354264782836
71.5,26,9,6,1859.0,8297,0.2894470608756323,0.0009070294784580499,58.03354264782836
69.0,408,220,49,28102.0,8705,0.3036804465375894,0.014233385661957091,58.03354264782836
68.25,27,15,8,1842.75,8732,0.3046223617652189,0.0009419152276295133,58.03354264782836
66.0,415,251,49,27390.0,9147,0.3190999476713762,0.014477585906157334,58.03354264782836
62.0,125,70,54,7750.0,9272,0.3234606663178092,0.004360718646432932,58.03354264782836
61.75,71,48,27,4384.25,9343,0.3259375545089831,0.0024768881911739053,58.03354264782836
60.0,1090,609,53,65400.0,10433,0.36396302110587825,0.038025466596895166,58.03354264782836
59.0,72,48,25,4248.0,10505,0.3664747950462236,0.002511773940345369,58.03354264782836
57.0,136,86,15,7752.0,10641,0.37121925693354263,0.00474446188731903,58.03354264782836
56.0,931,520,50,52158.0,11572,0.4036978894121751,0.03247863247863248,58.03354264782836
54.5,145,83,11,7902.5,11717,0.40875632304203735,0.005058433629862202,58.03354264782836
54.0,2,1,1,108.0,11719,0.40882609454038027,6.977149834292691e-05,58.03354264782836
53.5,2,1,1,107.0,11721,0.4088958660387232,6.977149834292691e-05,58.03354264782836
52.0,264,143,80,13728.0,11985,0.4181057038199895,0.009209837781266352,58.03354264782836
51.5,110,56,39,5665.0,12095,0.4219431362288505,0.0038374324088609802,58.03354264782836
51.25,192,110,29,9840.0,12287,0.4286412000697715,0.006698063840920984,58.03354264782836
50.0,3,3,2,150.0,12290,0.42874585731728587,0.00010465724751439037,58.03354264782836
49.0,407,221,44,19943.0,12697,0.44294435723007153,0.014198499912785626,58.03354264782836
48.5,341,193,30,16538.5,13038,0.45484039769754053,0.01189604046746904,58.03354264782836
47.0,2819,1499,53,132474.0,15857,0.553183324611896,0.09834292691435549,58.03354264782836
46.25,386,203,34,17852.5,16243,0.5666492237920809,0.013465899180184895,58.03354264782836
45.0,2617,1374,52,117765.0,18860,0.6579452293738008,0.09129600558171987,58.03354264782836
44.0,510,298,91,22396.0,19370,0.6757369614512472,0.017791732077446363,58.03354264782836
