purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
53.5,482,264,48,25787.0,482,0.060114741830880516,0.060114741830880516,25.662515589922673
53.0,98,58,10,5194.0,580,0.07233724120728362,0.012222499376403092,25.662515589922673
50.5,101,62,14,5100.5,681,0.0849338987278623,0.012596657520578697,25.662515589922673
50.25,45,29,26,2261.25,726,0.09054627089049638,0.005612372162634074,25.662515589922673
50.0,401,228,49,20050.0,1127,0.14055874282863556,0.05001247193813919,25.662515589922673
49.25,50,27,20,2462.5,1177,0.14679471189822899,0.006235969069593414,25.662515589922673
47.0,18,18,15,846.0,1195,0.14903966076328262,0.0022449488650536295,25.662515589922673
46.0,29,17,14,1334.0,1224,0.1526565228236468,0.0036168620603641804,25.662515589922673
43.0,60,60,42,2580.0,1284,0.1601396857071589,0.0074831628835120975,25.662515589922673
41.0,42,25,19,1722.0,1326,0.16537789972561737,0.005238214018458469,25.662515589922673
40.75,7,7,7,285.25,1333,0.16625093539536043,0.000873035669743078,25.662515589922673
39.0,2,2,2,78.0,1335,0.16650037415814417,0.0002494387627837366,25.662515589922673
35.25,18,7,6,634.5,1353,0.1687453230231978,0.0022449488650536295,25.662515589922673
34.5,108,67,37,3726.0,1461,0.18221501621351957,0.013469693190321775,25.662515589922673
33.75,52,25,10,1755.0,1513,0.18870042404589674,0.006485407832377151,25.662515589922673
33.0,102,65,32,3366.0,1615,0.2014218009478673,0.012721376901970565,25.662515589922673
32.5,40,14,13,1300.0,1655,0.20641057620354203,0.004988775255674732,25.662515589922673
31.0,12,6,6,372.0,1667,0.20790720878024446,0.0014966325767024195,25.662515589922673
30.75,68,31,12,2091.0,1735,0.2163881267148915,0.008480917934647045,25.662515589922673
30.5,219,105,46,6679.5,1954,0.24370167123971065,0.027313544524819156,25.662515589922673
30.25,6,6,6,181.5,1960,0.24444998752806185,0.0007483162883512097,25.662515589922673
29.5,73,37,12,2153.5,2033,0.25355450236966826,0.009104514841606386,25.662515589922673
29.0,32,16,16,928.0,2065,0.25754552257420804,0.003991020204539786,25.662515589922673
28.0,261,150,46,7308.0,2326,0.2900972811174857,0.032551758543277624,25.662515589922673
27.25,31,16,16,844.75,2357,0.2939635819406336,0.003866300823147917,25.662515589922673
26.0,4,2,2,104.0,2361,0.29446245946620103,0.0004988775255674732,25.662515589922673
25.25,1,1,1,25.25,2362,0.2945871788475929,0.0001247193813918683,25.662515589922673
25.0,6,3,2,150.0,2368,0.29533549513594415,0.0007483162883512097,25.662515589922673
24.25,281,120,16,6814.25,2649,0.3303816413070591,0.03504614617111499,25.662515589922673
24.0,801,473,53,19224.0,3450,0.4302818658019456,0.0999002244948865,25.662515589922673
23.25,218,123,21,5068.5,3668,0.4574706909453729,0.027188825143427287,25.662515589922673
23.0,916,525,91,21068.0,4584,0.5717136443003242,0.11424295335495135,25.662515589922673
22.0,33,22,17,726.0,4617,0.5758293838862559,0.004115739585931654,25.662515589922673
21.0,243,127,68,5103.0,4860,0.6061361935644799,0.030306809678223995,25.662515589922673
20.0,296,177,50,5920.0,5156,0.6430531304564729,0.03691693689199302,25.662515589922673
19.0,1,1,1,19.0,5157,0.6431778498378649,0.0001247193813918683,25.662515589922673
18.75,124,64,8,2325.0,5281,0.6586430531304565,0.015465203292591668,25.662515589922673
18.0,513,260,58,9234.0,5794,0.7226240957844849,0.06398104265402843,25.662515589922673
17.75,82,43,8,1455.5,5876,0.7328510850586181,0.010226989274133201,25.662515589922673
17.0,324,186,49,5508.0,6200,0.7732601646295835,0.04040907957096533,25.662515589922673
16.0,378,205,47,6048.0,6578,0.8204040907957096,0.04714392616612621,25.662515589922673
15.75,248,137,42,3906.0,6826,0.851334497380893,0.030930406585183336,25.662515589922673
15.0,93,71,29,1395.0,6919,0.8629333998503368,0.01159890246944375,25.662515589922673
13.25,16,12,5,212.0,6935,0.8649289099526066,0.001995510102269893,25.662515589922673
12.75,22,15,4,280.5,6957,0.8676727363432277,0.0027438263906211027,25.662515589922673
12.0,184,110,44,2208.0,7141,0.8906211025193315,0.022948366176103765,25.662515589922673
11.75,104,71,34,1222.0,7245,0.9035919181840858,0.012970815664754302,25.662515589922673
11.5,419,251,90,4818.5,7664,0.9558493389872786,0.05225742080319282,25.662515589922673
11.33,10,5,5,113.3,7674,0.9570965328011973,0.001247193813918683,25.662515589922673
11.25,38,25,19,427.5,7712,0.9618358692940883,0.004739336492890996,25.662515589922673
11.0,277,135,40,3047.0,7989,0.9963831379396358,0.03454726864554752,25.662515589922673
10.5,19,11,11,199.5,8008,0.9987528061860813,0.002369668246445498,25.662515589922673
10.0,10,5,5,100.0,8018,1.0,0.001247193813918683,25.662515589922673
