purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
74.5,73,37,26,5438.5,73,0.08229988726042842,0.08229988726042842,37.59470124013529
71.5,16,8,4,1144.0,89,0.10033821871476889,0.018038331454340473,37.59470124013529
70.0,58,34,26,4060.0,147,0.1657271702367531,0.06538895152198422,37.59470124013529
57.75,16,15,15,924.0,163,0.18376550169109357,0.018038331454340473,37.59470124013529
55.0,2,1,1,110.0,165,0.18602029312288612,0.002254791431792559,37.59470124013529
49.0,4,2,2,196.0,169,0.19052987598647125,0.004509582863585118,37.59470124013529
46.0,41,21,18,1886.0,210,0.23675310033821872,0.046223224351747465,37.59470124013529
42.0,14,7,7,588.0,224,0.2525366403607666,0.015783540022547914,37.59470124013529
41.0,24,12,4,984.0,248,0.27959413754227735,0.02705749718151071,37.59470124013529
39.0,38,25,17,1482.0,286,0.322435174746336,0.04284103720405862,37.59470124013529
34.0,22,13,5,748.0,308,0.34723788049605414,0.02480270574971815,37.59470124013529
33.5,38,16,13,1273.0,346,0.3900789177001127,0.04284103720405862,37.59470124013529
32.5,48,24,4,1560.0,394,0.44419391206313413,0.05411499436302142,37.59470124013529
32.0,217,108,42,6944.0,611,0.6888387824126269,0.24464487034949267,37.59470124013529
30.0,1,1,1,30.0,612,0.6899661781285231,0.0011273957158962795,37.59470124013529
29.25,23,23,23,672.75,635,0.7158962795941376,0.02593010146561443,37.59470124013529
27.0,5,5,5,135.0,640,0.7215332581736189,0.005636978579481398,37.59470124013529
26.5,20,8,4,530.0,660,0.7440811724915445,0.02254791431792559,37.59470124013529
25.25,16,16,4,404.0,676,0.762119503945885,0.018038331454340473,37.59470124013529
25.0,24,14,12,600.0,700,0.7891770011273957,0.02705749718151071,37.59470124013529
24.25,15,8,4,363.75,715,0.8060879368658399,0.016910935738444193,37.59470124013529
24.0,33,27,20,792.0,748,0.8432919954904171,0.03720405862457723,37.59470124013529
23.0,16,11,7,368.0,764,0.8613303269447576,0.018038331454340473,37.59470124013529
22.0,3,2,2,66.0,767,0.8647125140924464,0.0033821871476888386,37.59470124013529
21.0,16,8,8,336.0,783,0.882750845546787,0.018038331454340473,37.59470124013529
18.75,6,3,3,112.5,789,0.8895152198421646,0.006764374295377677,37.59470124013529
18.0,18,10,5,324.0,807,0.9098083427282976,0.020293122886133032,37.59470124013529
16.5,28,16,13,462.0,835,0.9413754227733935,0.03156708004509583,37.59470124013529
16.0,6,6,6,96.0,841,0.9481397970687712,0.006764374295377677,37.59470124013529
15.75,36,27,21,567.0,877,0.9887260428410372,0.040586245772266064,37.59470124013529
15.0,10,9,7,150.0,887,1.0,0.011273957158962795,37.59470124013529
