purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
53.5,12,6,6,642.0,12,0.03287671232876712,0.03287671232876712,35.545890410958904
53.0,6,3,3,318.0,18,0.049315068493150684,0.01643835616438356,35.545890410958904
50.0,25,12,12,1250.0,43,0.1178082191780822,0.0684931506849315,35.545890410958904
49.0,34,19,16,1682.5,77,0.21095890410958903,0.09315068493150686,35.545890410958904
47.0,30,17,14,1410.0,107,0.29315068493150687,0.0821917808219178,35.545890410958904
46.0,24,23,17,1104.0,131,0.3589041095890411,0.06575342465753424,35.545890410958904
40.75,37,37,25,1507.75,168,0.4602739726027397,0.10136986301369863,35.545890410958904
39.0,23,23,23,897.0,191,0.5232876712328767,0.06301369863013699,35.545890410958904
34.5,4,1,1,138.0,195,0.5342465753424658,0.010958904109589041,35.545890410958904
33.0,14,7,7,462.0,209,0.5726027397260274,0.038356164383561646,35.545890410958904
32.5,2,2,1,65.0,211,0.5780821917808219,0.005479452054794521,35.545890410958904
31.0,6,4,2,186.0,217,0.5945205479452055,0.01643835616438356,35.545890410958904
30.75,8,4,4,246.0,225,0.6164383561643836,0.021917808219178082,35.545890410958904
30.5,13,7,7,396.5,238,0.6520547945205479,0.03561643835616438,35.545890410958904
28.0,8,6,6,224.0,246,0.673972602739726,0.021917808219178082,35.545890410958904
25.0,5,4,3,125.0,251,0.6876712328767123,0.0136986301369863,35.545890410958904
23.0,27,14,12,621.0,278,0.7616438356164383,0.07397260273972603,35.545890410958904
22.0,2,1,1,44.0,280,0.7671232876712328,0.005479452054794521,35.545890410958904
21.0,26,26,22,546.0,306,0.8383561643835616,0.07123287671232877,35.545890410958904
20.0,44,44,42,880.0,350,0.958904109589041,0.12054794520547946,35.545890410958904
18.0,1,1,1,18.0,351,0.9616438356164384,0.0027397260273972603,35.545890410958904
17.0,9,5,5,153.0,360,0.9863013698630136,0.024657534246575342,35.545890410958904
15.0,5,3,2,75.0,365,1.0,0.0136986301369863,35.545890410958904
