purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
75.0,71,46,12,5325.0,71,0.016584910067741182,0.016584910067741182,38.33420929689325
74.5,251,132,49,18699.5,322,0.07521607101144592,0.05863116094370474,38.33420929689325
71.5,78,39,12,5577.0,400,0.09343611305769679,0.018220042046250877,38.33420929689325
70.0,236,140,48,16520.0,636,0.14856341976173792,0.05512730670404111,38.33420929689325
69.25,47,29,23,3254.75,683,0.1595421630460173,0.010978743284279373,38.33420929689325
69.0,1,1,1,69.0,684,0.15977575332866154,0.000233590282644242,38.33420929689325
67.0,34,18,16,2278.0,718,0.16771782293856577,0.007942069609904227,38.33420929689325
66.0,77,51,28,5082.0,795,0.18570427470217238,0.017986451763606633,38.33420929689325
59.75,14,8,7,836.5,809,0.18897453865919178,0.003270263957019388,38.33420929689325
57.75,100,51,28,5775.0,909,0.212333566923616,0.023359028264424198,38.33420929689325
57.0,14,14,14,798.0,923,0.21560383088063537,0.003270263957019388,38.33420929689325
55.0,54,30,26,2970.0,977,0.22821770614342443,0.012613875262789068,38.33420929689325
49.5,19,9,4,940.5,996,0.23265592151366504,0.004438215370240598,38.33420929689325
49.0,54,29,21,2646.0,1050,0.2452697967764541,0.012613875262789068,38.33420929689325
46.0,56,30,24,2576.0,1106,0.25835085260453167,0.013081055828077552,38.33420929689325
44.0,26,13,12,1144.0,1132,0.2644241999532819,0.006073347348750292,38.33420929689325
43.25,2,1,1,86.5,1134,0.2648913805185704,0.000467180565288484,38.33420929689325
43.0,25,15,12,1075.0,1159,0.2707311375846765,0.0058397570661060496,38.33420929689325
42.0,63,35,23,2646.0,1222,0.2854473253912637,0.014716187806587245,38.33420929689325
41.0,40,20,11,1640.0,1262,0.2947909366970334,0.00934361130576968,38.33420929689325
39.0,107,55,32,4173.0,1369,0.3197850969399673,0.024994160242933893,38.33420929689325
36.0,15,8,8,540.0,1384,0.3232889511796309,0.00350385423966363,38.33420929689325
35.5,2,2,2,71.0,1386,0.3237561317449194,0.000467180565288484,38.33420929689325
34.0,223,132,50,7582.0,1609,0.3758467647745854,0.05209063302966597,38.33420929689325
33.5,439,250,50,14706.5,2048,0.4783928988554076,0.10254613408082223,38.33420929689325
32.5,141,71,26,4582.5,2189,0.5113291287082458,0.032936229852838124,38.33420929689325
32.0,445,250,49,14240.0,2634,0.6152768044849334,0.10394767577668769,38.33420929689325
31.0,59,20,20,1829.0,2693,0.6290586311609437,0.013781826676010278,38.33420929689325
30.0,32,17,14,960.0,2725,0.6365335202055594,0.007474889044615744,38.33420929689325
29.25,184,93,46,5382.0,2909,0.6795141322121,0.042980612006540526,38.33420929689325
29.0,6,6,6,174.0,2915,0.6809156739079655,0.001401541695865452,38.33420929689325
28.25,10,5,5,282.5,2925,0.6832515767344078,0.00233590282644242,38.33420929689325
28.0,45,34,24,1260.0,2970,0.6937631394533987,0.01051156271899089,38.33420929689325
27.0,72,48,36,1944.0,3042,0.7105816398037842,0.016818500350385426,38.33420929689325
26.5,61,35,9,1616.5,3103,0.7248306470450829,0.014249007241298762,38.33420929689325
25.25,59,35,15,1489.75,3162,0.7386124737210932,0.013781826676010278,38.33420929689325
25.0,191,107,41,4783.5,3353,0.7832282177061434,0.04461574398505022,38.33420929689325
24.25,21,17,6,509.25,3374,0.7881336136416726,0.004905395935529082,38.33420929689325
24.0,239,138,76,5736.0,3613,0.8439616911936464,0.05582807755197384,38.33420929689325
23.0,108,66,34,2484.0,3721,0.8691894417192245,0.025227750525578137,38.33420929689325
22.0,52,29,26,1144.0,3773,0.881336136416725,0.012146694697500585,38.33420929689325
21.0,112,76,53,2352.0,3885,0.9074982480728802,0.026162111656155104,38.33420929689325
20.0,10,5,5,200.0,3895,0.9098341508993226,0.00233590282644242,38.33420929689325
18.75,2,1,1,37.5,3897,0.9103013314646111,0.000467180565288484,38.33420929689325
18.0,1,1,1,18.0,3898,0.9105349217472554,0.000233590282644242,38.33420929689325
16.5,139,82,42,2297.5,4037,0.9430039710348049,0.03246904928754964,38.33420929689325
16.0,123,67,38,1968.0,4160,0.9717355758000468,0.028731604765241767,38.33420929689325
15.5,16,16,11,248.0,4176,0.9754730203223546,0.003737444522307872,38.33420929689325
15.25,34,17,17,518.5,4210,0.9834150899322588,0.007942069609904227,38.33420929689325
15.0,54,31,25,810.0,4264,0.9960289651950479,0.012613875262789068,38.33420929689325
14.5,11,6,5,159.5,4275,0.9985984583041345,0.002569493109086662,38.33420929689325
14.0,6,6,6,84.0,4281,1.0,0.001401541695865452,38.33420929689325
