purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
75.0,22,10,4,1650.0,22,0.02119460500963391,0.02119460500963391,45.220857418111756
74.5,89,50,26,6630.5,111,0.1069364161849711,0.08574181117533719,45.220857418111756
70.0,65,38,20,4550.0,176,0.16955684007707128,0.0626204238921002,45.220857418111756
69.25,51,39,22,3531.75,227,0.2186897880539499,0.049132947976878616,45.220857418111756
67.0,30,15,15,2010.0,257,0.24759152215799615,0.028901734104046242,45.220857418111756
66.0,47,30,22,3102.0,304,0.2928709055876686,0.04527938342967245,45.220857418111756
64.0,36,17,14,2304.0,340,0.32755298651252407,0.03468208092485549,45.220857418111756
57.75,1,1,1,57.75,341,0.3285163776493256,0.0009633911368015414,45.220857418111756
55.0,44,22,22,2420.0,385,0.37090558766859344,0.04238921001926782,45.220857418111756
49.0,12,6,6,588.0,397,0.38246628131021193,0.011560693641618497,45.220857418111756
45.0,36,18,18,1620.0,433,0.41714836223506746,0.03468208092485549,45.220857418111756
43.0,27,22,22,1161.0,460,0.44315992292870904,0.02601156069364162,45.220857418111756
42.0,54,30,28,2268.0,514,0.4951830443159923,0.05202312138728324,45.220857418111756
41.0,4,2,2,164.0,518,0.49903660886319845,0.0038535645472061657,45.220857418111756
39.0,22,18,16,858.0,540,0.5202312138728323,0.02119460500963391,45.220857418111756
37.75,48,25,21,1812.0,588,0.5664739884393064,0.046242774566473986,45.220857418111756
36.0,10,5,5,360.0,598,0.5761078998073218,0.009633911368015413,45.220857418111756
35.5,2,2,1,71.0,600,0.5780346820809249,0.0019267822736030828,45.220857418111756
34.0,24,15,5,816.0,624,0.6011560693641619,0.023121387283236993,45.220857418111756
33.5,110,62,37,3685.0,734,0.7071290944123314,0.10597302504816955,45.220857418111756
33.0,2,1,1,66.0,736,0.7090558766859345,0.0019267822736030828,45.220857418111756
32.5,31,18,18,1007.5,767,0.7389210019267822,0.029865125240847785,45.220857418111756
32.0,21,15,10,672.0,788,0.7591522157996147,0.02023121387283237,45.220857418111756
31.0,5,4,3,155.0,793,0.7639691714836223,0.004816955684007707,45.220857418111756
30.0,2,1,1,60.0,795,0.7658959537572254,0.0019267822736030828,45.220857418111756
29.25,37,26,22,1082.25,832,0.8015414258188824,0.03564547206165703,45.220857418111756
26.5,8,8,4,212.0,840,0.8092485549132948,0.007707129094412331,45.220857418111756
25.25,8,4,4,202.0,848,0.8169556840077071,0.007707129094412331,45.220857418111756
25.0,22,13,13,550.0,870,0.838150289017341,0.02119460500963391,45.220857418111756
23.0,14,7,7,322.0,884,0.8516377649325626,0.01348747591522158,45.220857418111756
22.0,71,49,35,1562.0,955,0.9200385356454721,0.06840077071290944,45.220857418111756
21.0,6,6,5,126.0,961,0.9258188824662813,0.005780346820809248,45.220857418111756
18.0,8,8,4,144.0,969,0.9335260115606936,0.007707129094412331,45.220857418111756
16.75,18,9,9,301.5,987,0.9508670520231214,0.017341040462427744,45.220857418111756
16.5,24,15,14,396.0,1011,0.9739884393063584,0.023121387283236993,45.220857418111756
16.0,12,6,6,192.0,1023,0.9855491329479769,0.011560693641618497,45.220857418111756
15.5,10,6,5,155.0,1033,0.9951830443159922,0.009633911368015413,45.220857418111756
15.25,4,4,3,61.0,1037,0.9990366088631984,0.0038535645472061657,45.220857418111756
14.0,1,1,1,14.0,1038,1.0,0.0009633911368015414,45.220857418111756
