purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
124.0,326,174,11,40424.0,326,0.024201930215293245,0.024201930215293245,59.72553823311062
113.0,375,195,12,42386.0,701,0.05204157386785449,0.02783964365256125,59.72553823311062
109.0,1002,538,40,109027.0,1703,0.12642910170749813,0.07438752783964366,59.72553823311062
107.0,71,41,3,7597.0,1774,0.13170007423904975,0.005270972531551596,59.72553823311062
102.0,1100,569,42,112190.0,2874,0.2133630289532294,0.08166295471417966,59.72553823311062
90.0,166,89,11,14940.0,3040,0.2256867112100965,0.012323682256867112,59.72553823311062
89.0,2,1,1,178.0,3042,0.22583518930957683,0.00014847809948032666,59.72553823311062
82.0,175,94,11,14350.0,3217,0.2388270230141054,0.012991833704528583,59.72553823311062
76.0,571,302,39,43396.0,3788,0.28121752041573866,0.04239049740163326,59.72553823311062
74.0,30,16,2,2220.0,3818,0.2834446919079436,0.0022271714922048997,59.72553823311062
71.0,408,221,41,28968.0,4226,0.3137342242019302,0.030289532293986638,59.72553823311062
67.0,300,152,11,20100.0,4526,0.3360059391239792,0.022271714922048998,59.72553823311062
61.0,386,201,11,23546.0,4912,0.36466221232368223,0.028656273199703045,59.72553823311062
55.0,129,63,11,7095.0,5041,0.3742390497401633,0.00957683741648107,59.72553823311062
54.0,1101,586,40,59455.0,6142,0.45597624350408317,0.08173719376391982,59.72553823311062
52.0,43,24,2,2236.0,6185,0.4591685226429102,0.003192279138827023,59.72553823311062
50.0,1103,576,52,55111.01,7288,0.5410541945063103,0.08188567186340015,59.72553823311062
44.0,61,35,10,2684.0,7349,0.5455827765404603,0.004528582034149963,59.72553823311062
43.0,408,204,38,17544.0,7757,0.575872308834447,0.030289532293986638,59.72553823311062
42.0,17,8,2,714.0,7774,0.5771343726800297,0.0012620638455827764,59.72553823311062
40.0,398,230,49,15866.66,8172,0.6066815144766147,0.029547141796585005,59.72553823311062
39.0,1756,958,42,68484.0,9928,0.7370452858203415,0.1303637713437268,59.72553823311062
34.0,2,1,1,68.0,9930,0.7371937639198218,0.00014847809948032666,59.72553823311062
33.0,3149,1671,41,103917.0,13079,0.9709725315515961,0.23377876763177433,59.72553823311062
31.0,193,114,37,5983.0,13272,0.9853006681514477,0.014328136599851523,59.72553823311062
29.0,198,121,38,5742.0,13470,1.0,0.014699331848552339,59.72553823311062
