purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
107.75,248,141,16,26722.0,248,0.006815808277909086,0.006815808277909086,53.17736629472874
106.0,2339,1343,52,247934.0,2587,0.07109877425383389,0.06428296597592481,53.17736629472874
102.75,242,134,18,24864.75,2829,0.0777496839443742,0.006650909690540318,53.17736629472874
100.0,2275,1312,51,227534.0,5104,0.14027373165503215,0.06252404771065795,53.17736629472874
98.5,264,140,46,26004.0,5368,0.14752926949925796,0.0072555378442258015,53.17736629472874
95.5,101,58,47,9645.5,5469,0.15030506238663222,0.002775792887374265,53.17736629472874
95.0,698,431,97,66310.0,6167,0.1694882647171989,0.019183202330566702,53.17736629472874
94.0,301,169,45,28294.0,6468,0.17776067718353214,0.008272412466333205,53.17736629472874
91.0,33,17,17,3003.0,6501,0.17866761941406034,0.0009069422305282252,53.17736629472874
90.5,12,6,6,1086.0,6513,0.1789974165887979,0.0003297971747375364,53.17736629472874
90.4,3,2,1,271.20000000000005,6516,0.1790798658824823,8.24492936843841e-05,53.17736629472874
85.0,317,189,48,26945.0,6833,0.1877920079151322,0.00871214203264992,53.17736629472874
82.75,511,335,51,42347.0,7344,0.20183587093937227,0.014043863024240093,53.17736629472874
81.6,22,11,9,1795.1999999999998,7366,0.20244049909305778,0.0006046281536854835,53.17736629472874
81.0,308,189,50,24948.0,7674,0.21090529324465454,0.008464794151596768,53.17736629472874
79.0,622,407,50,49138.0,8296,0.22799978013521685,0.017094486890562303,53.17736629472874
75.0,93,56,12,6975.0,8389,0.23055570823943275,0.002555928104215907,53.17736629472874
74.5,433,229,52,32258.5,8822,0.24245588962787887,0.011900181388446106,53.17736629472874
72.0,5,4,3,360.0,8827,0.24259330511735283,0.0001374154894739735,53.17736629472874
71.5,120,56,18,8580.0,8947,0.2458912768647282,0.003297971747375364,53.17736629472874
70.0,390,227,49,27300.0,9337,0.25660968504369813,0.010718408178969933,53.17736629472874
69.25,98,68,38,6786.5,9435,0.259303028637388,0.0026933435936898806,53.17736629472874
69.0,409,221,49,28171.0,9844,0.27054361567635904,0.011240587038971033,53.17736629472874
68.25,27,15,8,1842.75,9871,0.2712856593195185,0.000742043643159457,53.17736629472874
67.0,64,33,31,4288.0,9935,0.27304457758478534,0.001758918265266861,53.17736629472874
66.0,539,332,50,35574.0,10474,0.2878579673500797,0.014813389765294343,53.17736629472874
64.0,36,17,14,2304.0,10510,0.2888473588742923,0.0009893915242126091,53.17736629472874
62.0,125,70,54,7750.0,10635,0.29228274611114163,0.0034353872368493377,53.17736629472874
61.75,71,48,27,4384.25,10706,0.2942340460616721,0.0019512999505304238,53.17736629472874
60.8,10,6,5,608.0,10716,0.29450887704062,0.000274830978947947,53.17736629472874
60.0,1090,609,53,65400.0,11806,0.32446545374594626,0.029956576705326223,53.17736629472874
59.75,14,8,7,836.5,11820,0.3248502171164734,0.00038476337052712584,53.17736629472874
59.0,72,48,25,4248.0,11892,0.3268290001648986,0.0019787830484252183,53.17736629472874
57.75,117,67,40,6756.75,12009,0.3300445226185896,0.00321552245369098,53.17736629472874
57.0,150,100,29,8550.0,12159,0.33416698730280875,0.004122464684219205,53.17736629472874
56.8,5,3,3,284.0,12164,0.33430440279228274,0.0001374154894739735,53.17736629472874
56.0,931,520,50,52158.0,13095,0.35989116693233664,0.025586764140053866,53.17736629472874
55.0,100,53,40,5500.0,13195,0.36263947672181607,0.00274830978947947,53.17736629472874
54.5,145,83,11,7902.5,13340,0.3666245259165613,0.003985049194745231,53.17736629472874
54.0,2,1,1,108.0,13342,0.3666794921123509,5.4966195789589404e-05,53.17736629472874
53.6,3,2,2,160.8,13345,0.3667619414060353,8.24492936843841e-05,53.17736629472874
53.5,496,271,49,26536.0,13841,0.3803935579618535,0.013631616555818172,53.17736629472874
53.0,104,61,10,5512.0,13945,0.3832518001429121,0.002858242181058649,53.17736629472874
52.0,264,143,80,13728.0,14209,0.39050733798713794,0.0072555378442258015,53.17736629472874
51.5,110,56,39,5665.0,14319,0.39353047875556535,0.0030231407684274173,53.17736629472874
51.25,192,110,29,9840.0,14511,0.39880723355136594,0.005276754795800582,53.17736629472874
50.5,101,62,14,5100.5,14612,0.40158302643874016,0.002775792887374265,53.17736629472874
50.25,45,29,26,2261.25,14657,0.4028197658440059,0.0012367394052657616,53.17736629472874
50.0,429,243,49,21450.0,15086,0.41461001484087284,0.011790248996866927,53.17736629472874
49.5,19,9,4,940.5,15105,0.41513219370087395,0.0005221788600010993,53.17736629472874
49.25,50,27,20,2462.5,15155,0.4165063485956137,0.001374154894739735,53.17736629472874
49.0,513,278,81,25153.5,15668,0.4306051778156434,0.014098829220029682,53.17736629472874
48.8,9,5,2,439.2,15677,0.4308525256966965,0.0002473478810531523,53.17736629472874
48.5,270,149,26,13095.0,15947,0.4382729621282911,0.007420436431594569,53.17736629472874
47.0,2454,1295,78,115319.0,18401,0.5057164843621172,0.0674435222338262,53.17736629472874
46.25,335,176,31,15493.75,18736,0.5149233221568735,0.009206837794756225,53.17736629472874
46.0,152,92,47,6992.0,18888,0.5191007530368823,0.004177430880008794,53.17736629472874
45.0,2297,1197,69,103365.0,21185,0.5822294289012258,0.06312867586434343,53.17736629472874
44.0,540,313,91,23716.0,21725,0.5970703017644149,0.014840872863189138,53.17736629472874
43.25,2,1,1,86.5,21727,0.5971252679602045,5.4966195789589404e-05,53.17736629472874
43.2,16,9,7,691.2,21743,0.5975649975265211,0.00043972956631671523,53.17736629472874
43.0,281,231,52,12083.0,22024,0.6052877480349586,0.007722750508437311,53.17736629472874
42.0,513,333,49,21546.0,22537,0.6193865772549881,0.014098829220029682,53.17736629472874
41.0,281,185,36,11521.0,22818,0.6271093277634255,0.007722750508437311,53.17736629472874
40.75,44,44,31,1793.0,22862,0.6283185840707964,0.001209256307370967,53.17736629472874
40.0,321,225,51,12840.0,23183,0.6371406584950255,0.008822074424229099,53.17736629472874
39.5,128,77,15,5056.0,23311,0.6406584950255593,0.003517836530533722,53.17736629472874
39.0,194,124,50,7566.0,23505,0.6459902160171495,0.005331720991590172,53.17736629472874
38.5,4,1,1,154.0,23509,0.6461001484087286,0.00010993239157917881,53.17736629472874
37.75,241,140,40,9098.0,23750,0.6527235750013741,0.006623426592645523,53.17736629472874
36.0,69,40,18,2484.0,23819,0.654619908756115,0.0018963337547408343,53.17736629472874
35.7,2,1,1,71.4,23821,0.6546748749519046,5.4966195789589404e-05,53.17736629472874
35.5,1106,628,52,39263.0,24927,0.6850711812235475,0.03039630627164294,53.17736629472874
