purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
75.0,71,46,12,5325.0,71,0.020039514535704205,0.020039514535704205,41.04868755292125
74.5,251,132,49,18699.5,322,0.09088343211967259,0.0708439175839684,41.04868755292125
71.5,78,39,12,5577.0,400,0.11289867344058707,0.02201524132091448,41.04868755292125
70.0,236,140,48,16520.0,636,0.17950889077053345,0.06661021732994638,41.04868755292125
69.25,47,29,23,3254.75,683,0.19277448489980242,0.013265594129268981,41.04868755292125
69.0,1,1,1,69.0,684,0.1930567315834039,0.0002822466836014677,41.04868755292125
67.0,34,18,16,2278.0,718,0.2026531188258538,0.009596387242449902,41.04868755292125
66.0,77,51,28,5082.0,795,0.2243861134631668,0.02173299463731301,41.04868755292125
59.75,14,8,7,836.5,809,0.22833756703358735,0.003951453570420547,41.04868755292125
57.75,100,51,28,5775.0,909,0.25656223539373413,0.028224668360146768,41.04868755292125
57.0,14,14,14,798.0,923,0.26051368896415467,0.003951453570420547,41.04868755292125
55.0,54,30,26,2970.0,977,0.27575500987863394,0.015241320914479255,41.04868755292125
49.5,19,9,4,940.5,996,0.28111769686706184,0.005362686988427886,41.04868755292125
49.0,54,29,21,2646.0,1050,0.29635901778154106,0.015241320914479255,41.04868755292125
46.0,56,30,24,2576.0,1106,0.31216483206322326,0.01580581428168219,41.04868755292125
44.0,26,13,12,1144.0,1132,0.3195032458368614,0.00733841377363816,41.04868755292125
43.25,2,1,1,86.5,1134,0.32006773920406434,0.0005644933672029354,41.04868755292125
43.0,25,15,12,1075.0,1159,0.32712390629410104,0.007056167090036692,41.04868755292125
42.0,63,35,23,2646.0,1222,0.3449054473609935,0.017781541066892465,41.04868755292125
41.0,40,20,11,1640.0,1262,0.3561953147050522,0.011289867344058707,41.04868755292125
39.0,107,55,32,4173.0,1369,0.3863957098504093,0.030200395145357044,41.04868755292125
36.0,15,8,8,540.0,1384,0.39062941010443125,0.004233700254022015,41.04868755292125
35.5,2,2,2,71.0,1386,0.3911939034716342,0.0005644933672029354,41.04868755292125
34.0,171,100,45,5814.0,1557,0.4394580863674852,0.04826418289585097,41.04868755292125
33.5,343,195,49,11490.5,1900,0.5362686988427886,0.09681061247530341,41.04868755292125
32.5,119,60,25,3867.5,2019,0.5698560541913632,0.033587355348574655,41.04868755292125
32.0,428,240,49,13696.0,2447,0.6906576347727914,0.12080158058142818,41.04868755292125
31.0,59,20,20,1829.0,2506,0.707310189105278,0.016652554332486594,41.04868755292125
30.0,32,17,14,960.0,2538,0.7163420829805249,0.009031893875246966,41.04868755292125
29.25,184,93,46,5382.0,2722,0.7682754727631951,0.05193338978267005,41.04868755292125
29.0,6,6,6,174.0,2728,0.7699689528648038,0.001693480101608806,41.04868755292125
28.0,44,33,23,1232.0,2772,0.7823878069432684,0.012418854078464579,41.04868755292125
26.5,61,35,9,1616.5,2833,0.7996048546429579,0.017217047699689528,41.04868755292125
25.25,39,24,9,984.75,2872,0.8106124753034152,0.01100762066045724,41.04868755292125
25.0,191,107,41,4783.5,3063,0.8645215918712955,0.053909116567880326,41.04868755292125
24.0,101,64,35,2424.0,3164,0.8930285069150438,0.028506915043748235,41.04868755292125
23.0,2,1,1,46.0,3166,0.8935930002822466,0.0005644933672029354,41.04868755292125
22.0,4,2,2,88.0,3170,0.8947219870166525,0.0011289867344058708,41.04868755292125
21.0,61,44,37,1281.0,3231,0.9119390347163421,0.017217047699689528,41.04868755292125
20.0,10,5,5,200.0,3241,0.9147615015523568,0.002822466836014677,41.04868755292125
16.5,122,74,41,2017.0,3363,0.9491955969517358,0.034434095399379056,41.04868755292125
16.0,123,67,38,1968.0,3486,0.9839119390347163,0.03471634208298052,41.04868755292125
15.5,16,16,11,248.0,3502,0.9884278859723398,0.004515946937623483,41.04868755292125
15.25,34,17,17,518.5,3536,0.9980242732147897,0.009596387242449902,41.04868755292125
15.0,7,7,6,105.0,3543,1.0,0.0019757267852102737,41.04868755292125
