purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
199.0,2,1,1,398.0,2,0.0005611672278338945,0.0005611672278338945,85.74466891133558
195.0,2,1,1,390.0,4,0.001122334455667789,0.0005611672278338945,85.74466891133558
175.0,10,6,1,1750.0,14,0.003928170594837262,0.0028058361391694723,85.74466891133558
169.0,74,45,1,12506.0,88,0.024691358024691357,0.020763187429854096,85.74466891133558
167.0,23,12,1,3841.0,111,0.031144781144781145,0.006453423120089787,85.74466891133558
159.0,504,297,1,80136.0,615,0.17255892255892255,0.1414141414141414,85.74466891133558
139.0,16,9,1,2224.0,631,0.17704826038159371,0.004489337822671156,85.74466891133558
137.0,4,2,1,548.0,635,0.1781705948372615,0.001122334455667789,85.74466891133558
135.0,2,1,1,270.0,637,0.1787317620650954,0.0005611672278338945,85.74466891133558
130.0,5,2,1,650.0,642,0.18013468013468015,0.0014029180695847362,85.74466891133558
129.0,59,30,1,7611.0,701,0.19668911335578002,0.01655443322109989,85.74466891133558
115.0,6,3,1,690.0,707,0.19837261503928172,0.0016835016835016834,85.74466891133558
109.0,3,2,1,327.0,710,0.19921436588103256,0.0008417508417508417,85.74466891133558
108.0,5,2,1,540.0,715,0.2006172839506173,0.0014029180695847362,85.74466891133558
107.0,4,2,1,428.0,719,0.20173961840628507,0.001122334455667789,85.74466891133558
103.5,2,1,1,207.0,721,0.20230078563411896,0.0005611672278338945,85.74466891133558
99.0,216,131,1,21384.0,937,0.26290684624017957,0.06060606060606061,85.74466891133558
89.0,1,1,1,89.0,938,0.26318742985409654,0.0002805836139169473,85.74466891133558
87.0,4,2,1,348.0,942,0.26430976430976433,0.001122334455667789,85.74466891133558
85.0,93,49,1,7905.0,1035,0.2904040404040404,0.026094276094276093,85.74466891133558
83.0,17,10,1,1411.0,1052,0.2951739618406285,0.004769921436588103,85.74466891133558
80.0,91,48,1,7280.0,1143,0.3207070707070707,0.025533108866442198,85.74466891133558
79.0,195,117,2,15405.0,1338,0.37542087542087543,0.054713804713804715,85.74466891133558
75.0,889,423,2,66675.0,2227,0.6248597081930415,0.2494388327721661,85.74466891133558
73.0,3,2,1,219.0,2230,0.6257014590347924,0.0008417508417508417,85.74466891133558
71.0,6,2,1,426.0,2236,0.6273849607182941,0.0016835016835016834,85.74466891133558
70.0,103,48,1,7210.0,2339,0.6562850729517397,0.028900112233445567,85.74466891133558
65.0,440,216,2,28600.0,2779,0.7797418630751964,0.12345679012345678,85.74466891133558
63.0,2,1,1,126.0,2781,0.7803030303030303,0.0005611672278338945,85.74466891133558
60.0,4,2,1,240.0,2785,0.7814253647586981,0.001122334455667789,85.74466891133558
55.0,247,125,2,13585.0,3032,0.8507295173961841,0.06930415263748597,85.74466891133558
50.0,13,6,1,650.0,3045,0.8543771043771043,0.003647586980920314,85.74466891133558
48.0,4,1,1,192.0,3049,0.8554994388327721,0.001122334455667789,85.74466891133558
45.0,248,126,2,11160.0,3297,0.9250841750841751,0.06958473625140292,85.74466891133558
40.0,166,74,1,6640.0,3463,0.9716610549943884,0.04657687991021325,85.74466891133558
35.0,99,51,1,3465.0,3562,0.999438832772166,0.027777777777777776,85.74466891133558
34.0,2,1,1,68.0,3564,1.0,0.0005611672278338945,85.74466891133558
