purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
99.0,3,2,1,297.0,3,0.000134024303073624,0.000134024303073624,31.626456397426733
89.0,33,21,1,2937.0,36,0.0016082916368834882,0.001474267333809864,31.626456397426733
87.0,12,6,1,1044.0,48,0.002144388849177984,0.000536097212294496,31.626456397426733
79.0,173,92,1,13667.0,221,0.009873123659756969,0.007728734810578985,31.626456397426733
77.0,5,4,1,385.0,226,0.010096497498213008,0.00022337383845604002,31.626456397426733
69.0,37,20,1,2553.0,263,0.011749463902787706,0.0016529664045746963,31.626456397426733
67.0,3,1,1,201.0,266,0.011883488205861329,0.000134024303073624,31.626456397426733
65.0,2,1,1,130.0,268,0.011972837741243745,8.934953538241601e-05,31.626456397426733
61.0,39,19,1,2379.0,307,0.013715153681200857,0.0017423159399571123,31.626456397426733
60.0,31,16,2,1860.0,338,0.015100071479628305,0.0013849177984274481,31.626456397426733
59.0,25,11,6,1475.0,363,0.016216940671908507,0.0011168691922802002,31.626456397426733
58.0,5,3,3,290.0,368,0.016440314510364547,0.00022337383845604002,31.626456397426733
56.0,29,17,3,1624.0,397,0.017735882773409577,0.0012955682630450321,31.626456397426733
55.0,25,13,1,1375.0,422,0.01885275196568978,0.0011168691922802002,31.626456397426733
54.0,59,34,9,3186.0,481,0.02148856325947105,0.0026358112937812724,31.626456397426733
53.0,119,64,4,6307.0,600,0.026804860614724802,0.005316297355253753,31.626456397426733
51.0,385,189,11,19635.0,985,0.044004646175839886,0.017199785561115084,31.626456397426733
50.0,152,75,12,7600.0,1137,0.0507952108649035,0.006790564689063617,31.626456397426733
49.0,134,71,10,6566.0,1271,0.05678162973552538,0.005986418870621873,31.626456397426733
48.0,185,100,8,8880.0,1456,0.06504646175839886,0.00826483202287348,31.626456397426733
47.0,46,19,9,2162.0,1502,0.06710150107219442,0.0020550393137955683,31.626456397426733
46.0,433,220,29,19918.0,1935,0.0864456754824875,0.019344174410293066,31.626456397426733
45.0,507,249,19,22815.0,2442,0.10909578270192995,0.02265010721944246,31.626456397426733
43.0,466,236,40,19978.5,2908,0.12991422444603287,0.020818441744102932,31.626456397426733
42.0,18,11,2,756.0,2926,0.13071837026447464,0.0008041458184417441,31.626456397426733
41.0,122,65,2,5002.0,3048,0.136168691922802,0.005450321658327376,31.626456397426733
40.0,314,149,12,12560.0,3362,0.1501965689778413,0.014027877055039314,31.626456397426733
39.0,974,448,28,37986.0,4336,0.1937097927090779,0.043513223731236596,31.626456397426733
38.0,959,514,37,36443.0,5295,0.23655289492494638,0.04284310221586848,31.626456397426733
37.75,240,125,20,9078.0,5535,0.2472748391708363,0.010721944245889922,31.626456397426733
