purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
109.0,29,16,1,3161.0,29,0.0036699569729182484,0.0036699569729182484,50.29948114401417
107.0,3,2,1,321.0,32,0.004049607694254619,0.00037965072133637056,50.29948114401417
99.0,71,31,1,7029.0,103,0.013034674765882055,0.008985067071627436,50.29948114401417
83.0,9,5,1,747.0,112,0.014173626929891167,0.0011389521640091116,50.29948114401417
79.0,12,8,1,948.0,124,0.015692229815236648,0.0015186028853454822,50.29948114401417
78.0,4,2,1,312.0,128,0.016198430777018477,0.0005062009617818274,50.29948114401417
77.0,13,8,6,1001.0,141,0.017843583902809414,0.001645153125790939,50.29948114401417
76.0,8,5,2,608.0,149,0.01885598582637307,0.0010124019235636548,50.29948114401417
72.0,18,9,3,1296.0,167,0.021133890154391294,0.002277904328018223,50.29948114401417
71.0,106,55,6,7526.0,273,0.03454821564160972,0.013414325487218427,50.29948114401417
70.0,31,19,8,2170.0,304,0.03847127309541888,0.003923057453809162,50.29948114401417
69.0,248,121,9,17112.0,552,0.06985573272589218,0.031384459630473295,50.29948114401417
68.0,74,42,7,5032.0,626,0.07922045051885598,0.009364717792963807,50.29948114401417
67.0,219,111,16,14699.0,845,0.10693495317641104,0.02771450265755505,50.29948114401417
66.0,34,17,3,2244.0,879,0.11123766135155656,0.004302708175145533,50.29948114401417
64.0,105,58,19,6720.0,984,0.12452543659832954,0.013287775246772968,50.29948114401417
63.0,41,19,4,2583.0,1025,0.12971399645659326,0.005188559858263731,50.29948114401417
62.0,338,133,11,20956.0,1363,0.17248797772715768,0.042773981270564414,50.29948114401417
61.0,285,147,22,17396.0,1648,0.20855479625411288,0.0360668185269552,50.29948114401417
59.0,222,90,20,13098.0,1870,0.2366489496330043,0.02809415337889142,50.29948114401417
58.0,71,35,4,4118.0,1941,0.24563401670463175,0.008985067071627436,50.29948114401417
57.0,17,9,4,969.0,1958,0.2477853707922045,0.0021513540875727666,50.29948114401417
56.0,634,307,36,35504.0,2592,0.32801822323462415,0.08023285244241964,50.29948114401417
55.0,127,62,17,6985.0,2719,0.34409010377119714,0.01607188053657302,50.29948114401417
54.0,337,149,38,18198.0,3056,0.3867375348013161,0.042647431030118955,50.29948114401417
53.0,47,19,6,2491.0,3103,0.3926853961022526,0.0059478613009364715,50.29948114401417
52.0,9,5,2,468.0,3112,0.3938243482662617,0.0011389521640091116,50.29948114401417
51.0,1072,365,41,54672.0,4184,0.5294862060237915,0.13566185775752973,50.29948114401417
50.0,114,60,28,5721.0,4298,0.5439129334345735,0.01442672741078208,50.29948114401417
49.6,6,3,1,297.6,4304,0.5446722348772463,0.0007593014426727411,50.29948114401417
49.0,220,88,8,10780.0,4524,0.5725132877752468,0.027841052898000505,50.29948114401417
48.5,71,44,11,3443.5,4595,0.5814983548468742,0.008985067071627436,50.29948114401417
48.0,17,11,3,816.0,4612,0.583649708934447,0.0021513540875727666,50.29948114401417
47.0,415,240,45,19505.0,5027,0.6361680587193116,0.05251834978486459,50.29948114401417
46.25,51,27,8,2358.75,5078,0.6426221209820299,0.006454062262718299,50.29948114401417
46.0,127,60,11,5842.0,5205,0.6586940015186029,0.01607188053657302,50.29948114401417
45.0,1100,496,61,49500.0,6305,0.7978992660086054,0.13920526449000253,50.29948114401417
44.0,45,20,7,1980.0,6350,0.803594026828651,0.0056947608200455585,50.29948114401417
43.35,9,4,1,390.15,6359,0.80473297899266,0.0011389521640091116,50.29948114401417
43.2,1,1,1,43.2,6360,0.8048595292331056,0.00012655024044545685,50.29948114401417
42.0,147,95,56,6174.0,6507,0.8234624145785877,0.018602885345482156,50.29948114401417
41.0,25,17,2,1025.0,6532,0.8266261705897241,0.003163756011136421,50.29948114401417
40.8,3,2,2,122.39999999999999,6535,0.8270058213110605,0.00037965072133637056,50.29948114401417
40.75,24,12,12,978.0,6559,0.8300430270817515,0.0030372057706909645,50.29948114401417
40.0,86,37,8,3440.0,6645,0.8409263477600607,0.010883320678309289,50.29948114401417
39.2,2,1,1,78.4,6647,0.8411794482409517,0.0002531004808909137,50.29948114401417
39.0,266,107,37,10374.0,6913,0.8748418121994431,0.03366236395849152,50.29948114401417
38.5,2,1,1,77.0,6915,0.8750949126803341,0.0002531004808909137,50.29948114401417
