purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
225.0,2,1,1,450.0,2,0.00010868383871318335,0.00010868383871318335,80.59893489838062
195.0,2,1,1,390.0,4,0.0002173676774263667,0.00010868383871318335,80.59893489838062
185.0,2,1,1,370.0,6,0.00032605151613955004,0.00010868383871318335,80.59893489838062
175.0,5,3,1,875.0,11,0.0005977611129225084,0.00027170959678295836,80.59893489838062
169.0,14,10,1,2366.0,25,0.001358547983914792,0.0007607868709922835,80.59893489838062
167.0,3,2,1,501.0,28,0.001521573741984567,0.00016302575806977502,80.59893489838062
165.0,2,1,1,330.0,30,0.0016302575806977503,0.00010868383871318335,80.59893489838062
159.0,87,54,1,13833.0,117,0.006358004564721226,0.004727746984023476,80.59893489838062
155.0,6,3,3,930.0,123,0.006684056080860776,0.00032605151613955004,80.59893489838062
150.0,16,10,6,2400.0,139,0.007553526790566243,0.0008694707097054668,80.59893489838062
149.0,3,2,2,447.0,142,0.0077165525486360175,0.00016302575806977502,80.59893489838062
145.0,18,9,6,2610.0,160,0.008694707097054668,0.00097815454841865,80.59893489838062
143.0,2,1,1,286.0,162,0.008803390935767852,0.00010868383871318335,80.59893489838062
142.0,6,3,2,852.0,168,0.009129442451907402,0.00032605151613955004,80.59893489838062
141.0,8,5,2,1128.0,176,0.009564177806760134,0.0004347353548527334,80.59893489838062
140.0,93,45,19,13020.0,269,0.01461797630692316,0.0050537985001630256,80.59893489838062
139.0,59,33,10,8201.0,328,0.017824149548962068,0.003206173242038909,80.59893489838062
138.0,14,9,5,1932.0,342,0.018584936419954352,0.0007607868709922835,80.59893489838062
137.0,4,2,1,548.0,346,0.01880230409738072,0.0002173676774263667,80.59893489838062
136.0,39,22,5,5304.0,385,0.020921638952287793,0.0021193348549070753,80.59893489838062
135.0,63,34,18,8505.0,448,0.02434517987175307,0.0034235409194652757,80.59893489838062
134.0,14,7,5,1876.0,462,0.025105966742745355,0.0007607868709922835,80.59893489838062
133.0,14,8,5,1862.0,476,0.025866753613737636,0.0007607868709922835,80.59893489838062
132.0,10,5,2,1320.0,486,0.026410172807303553,0.0005434191935659167,80.59893489838062
131.0,18,12,3,2358.0,504,0.027388327355722206,0.00097815454841865,80.59893489838062
130.0,49,25,11,6370.0,553,0.030051081404195195,0.002662754048472992,80.59893489838062
129.0,86,44,6,11094.0,639,0.03472448646886208,0.004673405064666884,80.59893489838062
128.0,18,10,5,2304.0,657,0.03570264101728073,0.00097815454841865,80.59893489838062
126.0,197,110,17,24822.0,854,0.04640799913052929,0.01070535811324856,80.59893489838062
125.0,131,61,22,16375.0,985,0.0535267905662428,0.00711879143571351,80.59893489838062
124.0,149,86,16,18476.0,1134,0.06162373655037496,0.008096945984132159,80.59893489838062
