purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
275.0,4,2,1,1100.0,4,0.019230769230769232,0.019230769230769232,96.91346153846153
229.0,1,1,1,229.0,5,0.02403846153846154,0.004807692307692308,96.91346153846153
219.0,1,1,1,219.0,6,0.028846153846153848,0.004807692307692308,96.91346153846153
207.0,1,1,1,207.0,7,0.03365384615384615,0.004807692307692308,96.91346153846153
199.0,17,9,1,3383.0,24,0.11538461538461539,0.08173076923076923,96.91346153846153
189.0,1,1,1,189.0,25,0.1201923076923077,0.004807692307692308,96.91346153846153
135.0,2,1,1,270.0,27,0.12980769230769232,0.009615384615384616,96.91346153846153
129.0,2,1,1,258.0,29,0.13942307692307693,0.009615384615384616,96.91346153846153
125.0,4,3,1,500.0,33,0.15865384615384615,0.019230769230769232,96.91346153846153
119.0,12,8,1,1428.0,45,0.21634615384615385,0.057692307692307696,96.91346153846153
100.0,2,1,1,200.0,47,0.22596153846153846,0.009615384615384616,96.91346153846153
95.0,78,32,1,7410.0,125,0.6009615384615384,0.375,96.91346153846153
90.0,9,5,1,810.0,134,0.6442307692307693,0.04326923076923077,96.91346153846153
65.0,2,1,1,130.0,136,0.6538461538461539,0.009615384615384616,96.91346153846153
55.0,69,38,1,3795.0,205,0.9855769230769231,0.3317307692307692,96.91346153846153
10.0,3,1,1,30.0,208,1.0,0.014423076923076924,96.91346153846153
