purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
230.0,2,1,1,460.0,2,2.454800977010789e-05,2.454800977010789e-05,56.44526530261559
225.0,6,3,1,1350.0,8,9.819203908043156e-05,7.364402931032366e-05,56.44526530261559
200.0,2,1,1,400.0,10,0.00012274004885053945,2.454800977010789e-05,56.44526530261559
199.0,2,1,1,398.0,12,0.00014728805862064732,2.454800977010789e-05,56.44526530261559
175.0,14,7,2,2450.0,26,0.00031912412701140254,0.00017183606839075522,56.44526530261559
169.0,60,35,1,10140.0,86,0.0010555644201146392,0.0007364402931032367,56.44526530261559
167.0,20,10,1,3340.0,106,0.0013010445178157182,0.0002454800977010789,56.44526530261559
165.0,2,1,1,330.0,108,0.001325592527585826,2.454800977010789e-05,56.44526530261559
159.0,417,243,1,66303.0,525,0.0064438525646533205,0.005118260037067494,56.44526530261559
155.0,2,1,1,310.0,527,0.006468400574423429,2.454800977010789e-05,56.44526530261559
150.0,2,1,1,300.0,529,0.0064929485841935366,2.454800977010789e-05,56.44526530261559
145.0,8,4,2,1160.0,537,0.006591140623273968,9.819203908043156e-05,56.44526530261559
140.0,3,1,1,420.0,540,0.00662796263792913,3.682201465516183e-05,56.44526530261559
139.0,2,2,1,278.0,542,0.0066525106476992375,2.454800977010789e-05,56.44526530261559
137.0,1,1,1,137.0,543,0.006664784652584292,1.2274004885053945e-05,56.44526530261559
136.0,15,7,1,2040.0,558,0.006848894725860101,0.00018411007327580916,56.44526530261559
135.0,11,7,3,1485.0,569,0.006983908779595694,0.0001350140537355934,56.44526530261559
134.0,22,9,4,2948.0,591,0.007253936887066881,0.0002700281074711868,56.44526530261559
133.0,5,3,3,665.0,596,0.007315306911492151,6.137002442526973e-05,56.44526530261559
131.0,7,7,2,917.0,603,0.007401224945687529,8.591803419537761e-05,56.44526530261559
130.0,2,1,1,260.0,605,0.007425772955457636,2.454800977010789e-05,56.44526530261559
129.0,4,2,1,516.0,609,0.007474868974997852,4.909601954021578e-05,56.44526530261559
128.0,1,1,1,128.0,610,0.007487142979882906,1.2274004885053945e-05,56.44526530261559
126.0,325,183,12,40950.0,935,0.011476194567525438,0.003989051587642532,56.44526530261559
125.0,105,52,12,13125.0,1040,0.012764965080456101,0.0012887705129306642,56.44526530261559
124.0,362,206,16,44888.0,1402,0.01720815484884563,0.0044431897683895275,56.44526530261559
123.0,1,1,1,123.0,1403,0.017220428853730683,1.2274004885053945e-05,56.44526530261559
122.0,38,21,9,4616.0,1441,0.017686841039362734,0.00046641218563204986,56.44526530261559
121.0,118,74,8,14278.0,1559,0.019135173615799098,0.0014483325764363655,56.44526530261559
119.0,167,98,26,19873.0,1726,0.021184932431603107,0.0020497588158040086,56.44526530261559
118.0,7,4,4,826.0,1733,0.021270850465798484,8.591803419537761e-05,56.44526530261559
116.0,173,96,11,20068.0,1906,0.023394253310912817,0.002123402845114332,56.44526530261559
114.0,144,77,11,16416.0,2050,0.025161710014360586,0.001767456703447768,56.44526530261559
113.0,396,217,19,44759.0,2446,0.030022215948841947,0.004860505934481362,56.44526530261559
111.0,556,327,47,61716.0,3002,0.03684656266493194,0.006824346716089993,56.44526530261559
110.0,282,112,28,31020.0,3284,0.04030783204251715,0.003461269377585212,56.44526530261559
109.0,873,462,42,95048.0,4157,0.05102303830716925,0.010715206264652093,56.44526530261559
108.0,15,11,4,1620.0,4172,0.05120714838044506,0.00018411007327580916,56.44526530261559
107.75,106,65,12,11421.5,4278,0.05250819289826077,0.0013010445178157182,56.44526530261559
107.0,48,27,4,5136.0,4326,0.05309734513274336,0.0005891522344825893,56.44526530261559
106.0,1230,721,50,130380.0,5556,0.06819437114135972,0.015097026008616352,56.44526530261559
105.0,15,10,4,1575.0,5571,0.06837848121463552,0.00018411007327580916,56.44526530261559
104.0,4,3,1,416.0,5575,0.06842757723417574,4.909601954021578e-05,56.44526530261559
103.0,694,354,38,71482.0,6269,0.07694573662440318,0.008518159390227438,56.44526530261559
102.75,122,73,13,12535.5,6391,0.07844316522037975,0.001497428595976581,56.44526530261559
102.0,930,497,42,94850.0,7321,0.08985798976347993,0.011414824543100168,56.44526530261559
101.0,71,26,6,7171.0,7392,0.09072944411031876,0.00087145434683883,56.44526530261559
100.0,1287,774,56,128734.0,8679,0.10652608839738319,0.015796644287064426,56.44526530261559
99.0,240,142,5,23760.0,8919,0.10947184956979612,0.0029457611724129466,56.44526530261559
98.5,220,118,44,21670.0,9139,0.112172130644508,0.002700281074711868,56.44526530261559
98.0,124,64,9,12152.0,9263,0.11369410725025468,0.001521976605746689,56.44526530261559
97.0,10,8,3,970.0,9273,0.11381684729910523,0.00012274004885053945,56.44526530261559
96.0,4,2,1,384.0,9277,0.11386594331864544,4.909601954021578e-05,56.44526530261559
95.5,89,52,41,8499.5,9366,0.11495832975341524,0.001092386434769801,56.44526530261559
95.0,4,2,2,380.0,9370,0.11500742577295546,4.909601954021578e-05,56.44526530261559
94.0,235,132,44,22090.0,9605,0.11789181692094314,0.002884391147987677,56.44526530261559
93.0,660,279,15,60636.0,10265,0.12599266014507873,0.008100843224135602,56.44526530261559
92.0,110,58,8,10120.0,10375,0.12734280068243467,0.001350140537355934,56.44526530261559
91.0,108,55,27,9828.0,10483,0.1286683932100205,0.001325592527585826,56.44526530261559
90.4,3,2,1,271.20000000000005,10486,0.12870521522467565,3.682201465516183e-05,56.44526530261559
90.0,153,85,14,13770.0,10639,0.13058313797208893,0.0018779227474132534,56.44526530261559
89.0,1342,554,9,119438.0,11981,0.1470548525278313,0.01647171455574239,56.44526530261559
