purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share
275.0,4,2,1,1100.0,4,0.0013373453694416582
229.0,1,1,1,229.0,5,0.001671681711802073
219.0,1,1,1,219.0,6,0.0020060180541624875
207.0,1,1,1,207.0,7,0.002340354396522902
199.0,11,6,1,2189.0,18,0.006018054162487462
195.0,2,1,1,390.0,20,0.006686726847208292
189.0,1,1,1,189.0,21,0.007021063189568706
175.0,10,6,1,1750.0,31,0.010364426613172852
169.0,62,37,1,10478.0,93,0.031093279839518557
167.0,15,9,1,2505.0,108,0.03610832497492478
159.0,78,37,1,12402.0,186,0.062186559679037114
139.0,11,5,1,1529.0,197,0.06586425944500167
137.0,4,2,1,548.0,201,0.06720160481444333
135.0,4,2,1,540.0,205,0.06853895018388499
130.0,3,1,1,390.0,208,0.06954195921096623
129.0,36,18,2,4644.0,244,0.08157806753594116
125.0,4,3,1,500.0,248,0.08291541290538282
119.0,12,8,1,1428.0,260,0.08692744901370779
115.0,4,2,1,460.0,264,0.08826479438314945
109.0,24,14,1,2616.0,288,0.09628886659979939
108.0,3,1,1,324.0,291,0.09729187562688064
107.0,7,4,1,749.0,298,0.09963223002340355
103.5,2,1,1,207.0,300,0.10030090270812438
100.0,2,1,1,200.0,302,0.1009695753928452
99.0,117,56,1,11583.0,419,0.14008692744901372
95.0,76,31,1,7220.0,495,0.16549648946840523
90.0,6,3,1,540.0,501,0.1675025075225677
89.0,24,17,1,2136.0,525,0.17552657973921765
87.0,12,5,1,1044.0,537,0.17953861584754263
85.0,87,47,1,7395.0,624,0.2086258776328987
83.0,14,8,1,1162.0,638,0.2133065864259445
80.0,73,39,1,5840.0,711,0.23771313941825475
79.0,191,100,2,15089.0,902,0.30157138080909396
77.0,3,3,1,231.0,905,0.3025743898361752
75.0,440,183,2,33000.0,1345,0.4496823804747576
73.0,2,1,1,146.0,1347,0.45035105315947843
71.0,6,2,1,426.0,1353,0.45235707121364094
70.0,91,40,1,6370.0,1444,0.48278167836843866
69.0,21,11,1,1449.0,1465,0.48980274155800735
65.0,226,107,2,14690.0,1691,0.565362754931461
63.0,2,1,1,126.0,1693,0.5660314276161819
60.0,4,2,1,240.0,1697,0.5673687729856235
55.0,257,117,2,14135.0,1954,0.6532932129722501
50.0,13,6,1,650.0,1967,0.6576395854229354
48.0,7,3,1,336.0,1974,0.6599799398194583
45.0,423,190,2,19035.0,2397,0.8014042126379137
40.0,176,68,1,7040.0,2573,0.8602474088933467
38.0,3,1,1,114.0,2576,0.861250417920428
35.0,183,85,2,6405.0,2759,0.9224339685723838
30.0,103,48,1,3090.0,2862,0.9568706118355065
25.0,22,13,1,550.0,2884,0.9642260113674357
20.0,107,46,1,2140.0,2991,1.0
