purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share
199.0,8,4,1,1592.0,8,0.0038910505836575876
169.0,12,8,1,2028.0,20,0.009727626459143969
167.0,8,3,1,1336.0,28,0.013618677042801557
159.0,426,260,1,67734.0,454,0.22081712062256809
139.0,5,4,1,695.0,459,0.2232490272373541
130.0,2,1,1,260.0,461,0.2242217898832685
129.0,25,13,1,3225.0,486,0.23638132295719844
115.0,2,1,1,230.0,488,0.23735408560311283
109.0,8,4,1,872.0,496,0.24124513618677043
108.0,2,1,1,216.0,498,0.24221789883268482
99.0,173,108,1,17127.0,671,0.32636186770428016
95.0,2,1,1,190.0,673,0.32733463035019456
90.0,3,2,1,270.0,676,0.32879377431906615
89.0,10,5,1,890.0,686,0.3336575875486381
87.0,4,3,1,348.0,690,0.3356031128404669
85.0,6,2,1,510.0,696,0.33852140077821014
83.0,3,2,1,249.0,699,0.3399805447470817
80.0,18,9,1,1440.0,717,0.34873540856031127
79.0,177,109,1,13983.0,894,0.4348249027237354
77.0,2,1,1,154.0,896,0.4357976653696498
75.0,449,240,2,33675.0,1345,0.6541828793774319
73.0,1,1,1,73.0,1346,0.6546692607003891
70.0,12,8,1,840.0,1358,0.6605058365758755
69.0,16,9,1,1104.0,1374,0.6682879377431906
65.0,216,110,2,14040.0,1590,0.7733463035019456
55.0,102,65,2,5610.0,1692,0.8229571984435797
48.0,2,1,1,96.0,1694,0.8239299610894941
45.0,87,58,2,3915.0,1781,0.8662451361867705
40.0,69,36,1,2760.0,1850,0.8998054474708171
38.0,4,2,1,152.0,1854,0.9017509727626459
35.0,114,65,2,3990.0,1968,0.9571984435797666
34.0,2,1,1,68.0,1970,0.958171206225681
30.0,44,23,1,1320.0,2014,0.9795719844357976
25.0,10,6,1,250.0,2024,0.9844357976653697
20.0,32,16,1,640.0,2056,1.0
