segment,avg_price,total_seats,n_price_points,elasticity,r_squared,if_price_+10pct_qty_change,if_price_+10pct_rev_change,if_price_-10pct_qty_change,if_price_-10pct_rev_change,notes
CYO Subscription - Balcony,34.35,167,6,1.281,0.086,13.0%,24.3%,-12.6%,-21.4%,CYO subscribers in Balcony (subscriber-level).
CYO Subscription - Dress Circle,48.67,67,6,-2.05,0.191,-17.7%,-9.5%,24.1%,11.7%,CYO subscribers in Dress Circle (subscriber-level).
CYO Subscription - Front Loge,55.18,447,16,-1.308,0.102,-11.7%,-2.9%,14.8%,3.3%,CYO subscribers in Front Loge (subscriber-level).
CYO Subscription - Premium Orchestra,51.99,1124,20,-2.192,0.431,-18.9%,-10.7%,26.0%,13.4%,CYO subscribers in Premium Orchestra (subscriber-level).
Single Ticket (All),58.93,71064,211,-0.356,0.014,-3.3%,6.3%,3.8%,-6.6%,All single ticket purchases.
Single Ticket - Balcony,33.67,15639,67,0.158,0.002,1.5%,11.7%,-1.6%,-11.5%,Single tickets in Balcony section.
Single Ticket - Classical,58.01,48381,185,-0.18,0.004,-1.7%,8.1%,1.9%,-8.3%,Single tickets for Classical events.
Single Ticket - Dress Circle,54.91,5549,53,1.275,0.076,12.9%,24.2%,-12.6%,-21.3%,Single tickets in Dress Circle section.
Single Ticket - Front Loge,87.13,8463,115,-0.062,0.0,-0.6%,9.3%,0.7%,-9.4%,Single tickets in Front Loge section.
Single Ticket - Holiday,56.21,16062,74,-0.864,0.06,-7.9%,1.3%,9.5%,-1.4%,Single tickets for Holiday events.
Single Ticket - Premium Orchestra,63.07,41208,168,-0.413,0.016,-3.9%,5.8%,4.4%,-6.0%,Single tickets in Premium Orchestra section.
Single Ticket - Special,77.25,5047,53,-1.351,0.175,-12.1%,-3.3%,15.3%,3.8%,Single tickets for Special events.
Subscription - Balcony,24.17,411,7,-0.196,0.021,-1.9%,8.0%,2.1%,-8.1%,Subscribers in Balcony (subscriber-level).
Subscription - Dress Circle,36.82,188,7,0.594,0.032,5.8%,16.4%,-6.1%,-15.5%,Subscribers in Dress Circle (subscriber-level).
Subscription - Front Loge,75.77,416,17,0.618,0.064,6.1%,16.7%,-6.3%,-15.7%,Subscribers in Front Loge (subscriber-level).
Subscription - Premium Orchestra,45.02,1675,21,-0.888,0.214,-8.1%,1.1%,9.8%,-1.2%,Subscribers in Premium Orchestra (subscriber-level).
