segment,price_change_pct,new_price_est,elasticity,delta_quantity_pct,delta_revenue_pct,notes
Balcony (All buyers),-15.0,26.89,0.125,-2.01,-16.71,Seat-specific sensitivity.
Balcony (All buyers),-10.0,28.47,0.125,-1.31,-11.18,Seat-specific sensitivity.
Balcony (All buyers),-5.0,30.05,0.125,-0.64,-5.61,Seat-specific sensitivity.
Balcony (All buyers),5.0,33.21,0.125,0.61,5.64,Seat-specific sensitivity.
Balcony (All buyers),7.000000000000001,33.84,0.125,0.85,7.91,Seat-specific sensitivity.
Balcony (All buyers),10.0,34.79,0.125,1.2,11.32,Seat-specific sensitivity.
Balcony (All buyers),15.0,36.37,0.125,1.76,17.03,Seat-specific sensitivity.
CYO Subscription (All seats),-15.0,48.72,0.345,-5.45,-19.63,Bucket-level view.
CYO Subscription (All seats),-10.0,51.59,0.345,-3.57,-13.21,Bucket-level view.
CYO Subscription (All seats),-5.0,54.45,0.345,-1.75,-6.67,Bucket-level view.
CYO Subscription (All seats),5.0,60.19,0.345,1.7,6.78,Bucket-level view.
CYO Subscription (All seats),7.000000000000001,61.33,0.345,2.36,9.53,Bucket-level view.
CYO Subscription (All seats),10.0,63.05,0.345,3.34,13.68,Bucket-level view.
CYO Subscription (All seats),15.0,65.92,0.345,4.94,20.68,Bucket-level view.
Dress Circle (All buyers),-15.0,42.75,0.932,-14.06,-26.95,Seat-specific sensitivity.
Dress Circle (All buyers),-10.0,45.27,0.932,-9.35,-18.42,Seat-specific sensitivity.
Dress Circle (All buyers),-5.0,47.78,0.932,-4.67,-9.43,Seat-specific sensitivity.
Dress Circle (All buyers),5.0,52.81,0.932,4.65,9.88,Seat-specific sensitivity.
Dress Circle (All buyers),7.000000000000001,53.82,0.932,6.51,13.96,Seat-specific sensitivity.
Dress Circle (All buyers),10.0,55.33,0.932,9.29,20.22,Seat-specific sensitivity.
Dress Circle (All buyers),15.0,57.84,0.932,13.91,31.0,Seat-specific sensitivity.
Fixed - Chorus (All seats),-15.0,39.48,0.893,-13.51,-26.48,Fixed subscription detail.
Fixed - Chorus (All seats),-10.0,41.81,0.893,-8.98,-18.08,Fixed subscription detail.
Fixed - Chorus (All seats),-5.0,44.13,0.893,-4.48,-9.25,Fixed subscription detail.
Fixed - Chorus (All seats),5.0,48.77,0.893,4.45,9.68,Fixed subscription detail.
Fixed - Chorus (All seats),7.000000000000001,49.7,0.893,6.23,13.66,Fixed subscription detail.
Fixed - Chorus (All seats),10.0,51.1,0.893,8.88,19.77,Fixed subscription detail.
Fixed - Chorus (All seats),15.0,53.42,0.893,13.29,30.29,Fixed subscription detail.
Fixed - Established (All seats),-15.0,49.33,0.485,-7.58,-21.44,Fixed subscription detail.
Fixed - Established (All seats),-10.0,52.23,0.485,-4.98,-14.48,Fixed subscription detail.
Fixed - Established (All seats),-5.0,55.13,0.485,-2.46,-7.33,Fixed subscription detail.
Fixed - Established (All seats),5.0,60.93,0.485,2.39,7.51,Fixed subscription detail.
Fixed - Established (All seats),7.000000000000001,62.09,0.485,3.34,10.57,Fixed subscription detail.
Fixed - Established (All seats),10.0,63.83,0.485,4.73,15.2,Fixed subscription detail.
Fixed - Established (All seats),15.0,66.73,0.485,7.01,23.07,Fixed subscription detail.
Fixed - Freshman (All seats),-15.0,21.81,-0.219,3.62,-11.92,Fixed subscription detail.
Fixed - Freshman (All seats),-10.0,23.09,-0.219,2.33,-7.9,Fixed subscription detail.
Fixed - Freshman (All seats),-5.0,24.38,-0.219,1.13,-3.93,Fixed subscription detail.
Fixed - Freshman (All seats),5.0,26.94,-0.219,-1.06,3.88,Fixed subscription detail.
Fixed - Freshman (All seats),7.000000000000001,27.46,-0.219,-1.47,5.43,Fixed subscription detail.
Fixed - Freshman (All seats),10.0,28.23,-0.219,-2.07,7.73,Fixed subscription detail.
Fixed - Freshman (All seats),15.0,29.51,-0.219,-3.01,11.53,Fixed subscription detail.
Fixed - Lapsed (All seats),-15.0,31.95,0.385,-6.07,-20.16,Fixed subscription detail.
Fixed - Lapsed (All seats),-10.0,33.83,0.385,-3.98,-13.58,Fixed subscription detail.
Fixed - Lapsed (All seats),-5.0,35.71,0.385,-1.96,-6.86,Fixed subscription detail.
Fixed - Lapsed (All seats),5.0,39.47,0.385,1.9,6.99,Fixed subscription detail.
Fixed - Lapsed (All seats),7.000000000000001,40.22,0.385,2.64,9.82,Fixed subscription detail.
Fixed - Lapsed (All seats),10.0,41.35,0.385,3.74,14.11,Fixed subscription detail.
Fixed - Lapsed (All seats),15.0,43.23,0.385,5.53,21.36,Fixed subscription detail.
Fixed - Musician (All seats),-15.0,30.22,0.989,-14.85,-27.62,Fixed subscription detail.
Fixed - Musician (All seats),-10.0,31.99,0.989,-9.9,-18.91,Fixed subscription detail.
Fixed - Musician (All seats),-5.0,33.77,0.989,-4.95,-9.7,Fixed subscription detail.
Fixed - Musician (All seats),5.0,37.33,0.989,4.94,10.19,Fixed subscription detail.
Fixed - Musician (All seats),7.000000000000001,38.04,0.989,6.92,14.4,Fixed subscription detail.
Fixed - Musician (All seats),10.0,39.1,0.989,9.88,20.87,Fixed subscription detail.
Fixed - Musician (All seats),15.0,40.88,0.989,14.82,32.05,Fixed subscription detail.
Fixed - Sophomore (All seats),-15.0,32.58,0.336,-5.31,-19.52,Fixed subscription detail.
Fixed - Sophomore (All seats),-10.0,34.5,0.336,-3.48,-13.13,Fixed subscription detail.
Fixed - Sophomore (All seats),-5.0,36.41,0.336,-1.71,-6.62,Fixed subscription detail.
Fixed - Sophomore (All seats),5.0,40.25,0.336,1.65,6.74,Fixed subscription detail.
Fixed - Sophomore (All seats),7.000000000000001,41.01,0.336,2.3,9.46,Fixed subscription detail.
Fixed - Sophomore (All seats),10.0,42.16,0.336,3.25,13.58,Fixed subscription detail.
Fixed - Sophomore (All seats),15.0,44.08,0.336,4.81,20.53,Fixed subscription detail.
Fixed - Upgrade (All seats),-15.0,38.44,0.958,-14.42,-27.26,Fixed subscription detail.
Fixed - Upgrade (All seats),-10.0,40.7,0.958,-9.6,-18.64,Fixed subscription detail.
Fixed - Upgrade (All seats),-5.0,42.96,0.958,-4.8,-9.56,Fixed subscription detail.
Fixed - Upgrade (All seats),5.0,47.48,0.958,4.79,10.02,Fixed subscription detail.
Fixed - Upgrade (All seats),7.000000000000001,48.39,0.958,6.7,14.17,Fixed subscription detail.
Fixed - Upgrade (All seats),10.0,49.74,0.958,9.56,20.52,Fixed subscription detail.
Fixed - Upgrade (All seats),15.0,52.0,0.958,14.33,31.48,Fixed subscription detail.
Fixed Subscription (All) (All seats),-15.0,41.78,0.52,-8.1,-21.89,Bucket-level view.
Fixed Subscription (All) (All seats),-10.0,44.23,0.52,-5.33,-14.8,Bucket-level view.
Fixed Subscription (All) (All seats),-5.0,46.69,0.52,-2.63,-7.5,Bucket-level view.
Fixed Subscription (All) (All seats),5.0,51.61,0.52,2.57,7.7,Bucket-level view.
Fixed Subscription (All) (All seats),7.000000000000001,52.59,0.52,3.58,10.83,Bucket-level view.
Fixed Subscription (All) (All seats),10.0,54.07,0.52,5.08,15.59,Bucket-level view.
Fixed Subscription (All) (All seats),15.0,56.52,0.52,7.54,23.67,Bucket-level view.
Front Loge (All buyers),-15.0,68.51,-0.105,1.72,-13.54,Seat-specific sensitivity.
Front Loge (All buyers),-10.0,72.54,-0.105,1.11,-9.0,Seat-specific sensitivity.
Front Loge (All buyers),-5.0,76.57,-0.105,0.54,-4.49,Seat-specific sensitivity.
Front Loge (All buyers),5.0,84.63,-0.105,-0.51,4.46,Seat-specific sensitivity.
Front Loge (All buyers),7.000000000000001,86.24,-0.105,-0.71,6.24,Seat-specific sensitivity.
Front Loge (All buyers),10.0,88.66,-0.105,-1.0,8.9,Seat-specific sensitivity.
Front Loge (All buyers),15.0,92.69,-0.105,-1.46,13.32,Seat-specific sensitivity.
Pit / GA (All buyers),-15.0,82.37,-0.459,7.74,-8.42,Seat-specific sensitivity.
Pit / GA (All buyers),-10.0,87.22,-0.459,4.95,-5.54,Seat-specific sensitivity.
Pit / GA (All buyers),-5.0,92.06,-0.459,2.38,-2.74,Seat-specific sensitivity.
