price,seats_sold,transactions,total_revenue
10.0,13,10,130.0
11.5,3,3,34.5
12.5,2,2,25.0
15.0,21,15,315.0
17.0,4,4,68.0
17.5,3,3,52.5
18.0,42,42,756.0
18.4,1,1,18.4
19.0,8,8,152.0
19.55,2,2,39.1
20.0,327,279,6540.0
20.5,6,6,123.0
22.0,26,26,572.0
22.4,1,1,22.4
22.5,2,2,45.0
23.0,250,240,5750.0
24.0,12,12,288.0
24.5,2,2,49.0
24.65,2,2,49.3
25.0,131,122,3275.0
25.5,15,15,382.5
25.6,3,3,76.80000000000001
25.9,1,1,25.9
26.0,245,245,6370.0
26.5,2,1,53.0
27.0,7,7,189.0
27.5,1,1,27.5
28.0,60,60,1680.0
28.7,6,6,172.2
29.0,103,103,2987.0
29.6,5,5,148.0
30.0,262,224,7860.0
30.25,1,1,30.25
30.8,2,2,61.6
31.0,162,162,5022.0
32.0,40,36,1280.0
32.66,2,1,65.32
32.67,2,1,65.34
32.8,3,3,98.39999999999999
33.0,91,91,3003.0
34.0,46,40,1564.0
34.5,10,4,345.0
34.85,2,2,69.7
35.0,331,320,11585.0
35.2,11,11,387.20000000000005
35.7,8,8,285.6
36.0,145,111,5220.0
36.8,3,2,110.39999999999999
37.0,117,113,4329.0
37.5,3,1,112.5
38.0,262,251,9956.0
38.25,8,8,306.0
38.5,6,6,231.0
39.0,149,149,5811.0
39.1,4,2,156.4
40.0,631,365,25240.0
40.8,6,6,244.79999999999998
41.0,298,279,12218.0
42.0,16,15,672.0
43.0,152,152,6536.0
44.0,91,75,4004.0
44.8,2,1,89.6
45.0,529,505,23805.0
45.5,2,2,91.0
46.0,883,530,40618.0
46.75,7,7,327.25
47.0,20,19,940.0
48.0,108,95,5184.0
49.0,142,140,6958.0
49.3,16,8,788.8
49.6,2,2,99.2
50.0,593,378,29650.0
50.15,2,2,100.3
50.4,4,4,201.6
51.0,548,521,27948.0
51.2,6,3,307.20000000000005
51.5,9,9,463.5
51.8,6,3,310.79999999999995
52.0,706,360,36712.0
53.0,83,83,4399.0
53.9,1,1,53.9
54.0,189,166,10206.0
55.0,247,233,13585.0
55.2,3,1,165.60000000000002
56.0,514,430,28784.0
57.0,87,80,4959.0
57.4,18,9,1033.2
58.0,458,255,26564.0
58.65,4,4,234.6
59.0,140,140,8260.0
59.2,8,4,473.6
59.5,4,2,238.0
60.0,830,421,49800.0
61.0,196,196,11956.0
61.2,1,1,61.2
61.5,3,1,184.5
61.6,21,15,1293.6000000000001
62.0,484,303,30008.0
62.4,2,1,124.8
62.5,1,1,62.5
63.0,26,26,1638.0
64.0,200,150,12800.0
65.0,89,89,5785.0
65.5,4,4,262.0
65.6,8,4,524.8
66.0,291,178,19206.0
66.5,2,1,133.0
67.0,143,143,9581.0
67.5,3,1,202.5
68.0,161,109,10948.0
69.0,344,249,23736.0
69.7,10,5,697.0
70.0,1204,636,84280.0
70.4,62,31,4364.8
71.0,99,98,7029.0
71.4,24,12,1713.6000000000001
72.0,417,303,30024.0
72.9,2,2,145.8
73.0,1,1,73.0
73.6,6,2,441.59999999999997
73.95,18,6,1331.1000000000001
74.0,357,187,26418.0
75.0,249,161,18675.0
75.65,1,1,75.65
76.0,716,391,54416.0
76.5,28,12,2142.0
77.0,85,70,6545.0
78.0,869,463,67782.0
78.4,4,2,313.6
79.0,98,98,7742.0
80.0,692,317,55360.0
81.6,14,7,1142.3999999999999
82.0,1077,551,88314.0
82.4,3,3,247.20000000000002
82.5,5,2,412.5
83.0,93,92,7719.0
84.0,97,43,8148.0
85.0,69,58,5865.0
85.5,3,1,256.5
86.0,400,203,34400.0
86.1,6,2,516.5999999999999
86.7,10,5,867.0
87.0,150,52,13050.0
88.0,329,201,28952.0
88.8,6,2,532.8
89.0,104,104,9256.0
89.25,3,1,267.75
90.0,2131,1044,191790.0
91.0,20,19,1820.0
92.0,714,341,65688.0
93.0,170,104,15810.0
93.5,12,6,1122.0
94.0,60,30,5640.0
95.0,6,6,570.0
96.0,247,119,23712.0
96.6,6,1,579.5999999999999
97.0,6,6,582.0
98.0,809,419,79282.0
98.4,3,1,295.20000000000005
98.6,8,2,788.8
99.0,147,101,14553.0
99.2,8,4,793.6
100.0,828,344,82800.0
100.3,18,9,1805.3999999999999
100.8,8,4,806.4
101.0,10,10,1010.0
