price,seats_sold,transactions,total_revenue
20.0,14,14,280.0
25.0,8,8,200.0
30.0,12,12,360.0
35.0,44,44,1540.0
40.0,80,46,3200.0
45.0,62,62,2790.0
48.0,1,1,48.0
50.0,18,9,900.0
55.0,51,51,2805.0
60.0,109,52,6540.0
65.0,48,48,3120.0
68.0,2,1,136.0
69.0,9,9,621.0
70.0,162,84,11340.0
73.0,1,1,73.0
75.0,97,93,7275.0
76.0,4,2,304.0
77.0,3,3,231.0
79.0,85,85,6715.0
80.0,176,89,14080.0
83.0,3,3,249.0
85.0,17,17,1445.0
87.0,2,2,174.0
89.0,12,12,1068.0
90.0,311,152,27990.0
95.0,6,6,570.0
96.0,4,2,384.0
99.0,70,70,6930.0
100.0,10,5,1000.0
105.0,54,18,5670.0
107.0,2,2,214.0
109.0,5,5,545.0
110.0,212,106,23320.0
114.0,3,1,342.0
119.0,4,4,476.0
120.0,52,16,6240.0
125.0,2,2,250.0
126.0,2,1,252.0
129.0,8,8,1032.0
130.0,274,137,35620.0
135.0,60,20,8100.0
138.0,18,9,2484.0
139.0,5,5,695.0
140.0,94,40,13160.0
146.0,2,1,292.0
150.0,512,254,76800.0
154.0,2,1,308.0
158.0,198,99,31284.0
159.0,125,125,19875.0
160.0,98,35,15680.0
165.0,30,10,4950.0
166.0,14,7,2324.0
167.0,3,3,501.0
169.0,23,23,3887.0
170.0,50,25,8500.0
174.0,10,5,1740.0
175.0,17,5,2975.0
178.0,18,9,3204.0
180.0,72,20,12960.0
189.0,1,1,189.0
190.0,44,22,8360.0
192.0,4,1,768.0
195.0,36,12,7020.0
198.0,150,75,29700.0
199.0,3,3,597.0
200.0,17,4,3400.0
207.0,3,2,621.0
210.0,18,6,3780.0
213.0,6,2,1278.0
214.0,2,1,428.0
216.0,2,1,432.0
218.0,24,12,5232.0
219.0,1,1,219.0
220.0,40,10,8800.0
225.0,143,45,32175.0
229.0,1,1,229.0
230.0,6,3,1380.0
237.0,54,18,12798.0
238.0,8,4,1904.0
240.0,33,9,7920.0
250.0,2,1,500.0
255.0,9,3,2295.0
258.0,36,18,9288.0
260.0,70,18,18200.0
270.0,22,5,5940.0
274.0,4,2,1096.0
275.0,20,4,5500.0
276.0,4,1,1104.0
278.0,4,2,1112.0
280.0,8,2,2240.0
285.0,3,1,855.0
297.0,30,10,8910.0
300.0,116,29,34800.0
316.0,20,5,6320.0
318.0,302,151,96036.0
320.0,8,2,2560.0
321.0,3,1,963.0
324.0,3,1,972.0
325.0,10,2,3250.0
327.0,3,1,981.0
330.0,6,1,1980.0
334.0,16,8,5344.0
338.0,34,17,11492.0
340.0,12,3,4080.0
348.0,4,1,1392.0
350.0,13,5,4550.0
356.0,4,1,1424.0
