acct_id,is_college_pass,total_tickets,total_seats,unique_events,total_spent,avg_ticket_price,median_ticket_price,min_ticket_price,max_ticket_price,total_purchase_price,avg_purchase_price,fiscal_year,active_fy23,active_fy24,active_both_years,first_purchase_date,last_purchase_date,avg_days_before_event,median_days_before_event,min_days_before_event,max_days_before_event,ticket_type_distribution,ticket_type_distribution_fy23,ticket_type_distribution_fy24,source_distribution,age_first,gender_first,marital_status_first,education_first,zip_first,subscription_expected_events,subscription_actual_events,subscription_event_gap,subscription_utilization_pct,subscription_packages
0,False,3,5,3,367.0,122.33333333333331,103.0,72.0,192.0,239.0,79.66666666666667,"FY23, FY24",True,True,True,2022-09-21,2023-10-11,24.666666666666668,13.0,1.0,60.0,{'Single Ticket': 3},{'Single Ticket': 2},{'Single Ticket': 1},{'online': 3},,,,,,,,,,
100103,False,13,13,13,502.5,38.65384615384615,35.5,34.0,61.0,502.5,38.65384615384615,"FY23, FY24",True,True,True,2022-04-19,2024-04-25,257.3076923076923,275.0,0.0,427.0,"{'Fixed Established Subscription 6 Concert': 12, 'Single Ticket': 1}","{'Fixed Established Subscription 6 Concert': 6, 'Single Ticket': 1}",{'Fixed Established Subscription 6 Concert': 6},"{'online': 7, 'onlin': 6}",36.0,Male,Married,Graduate School,30341-1729,12.0,12.0,0.0,1.0,1.0
100378,False,28,36,27,3590.0,128.21428571428572,109.0,65.0,226.0,2856.0,102.0,"FY23, FY24",True,True,True,2022-03-22,2024-05-28,184.17857142857144,198.0,0.0,455.0,"{'CYO Subscription': 20, 'Single Ticket': 8}","{'CYO Subscription': 10, 'Single Ticket': 4}","{'CYO Subscription': 10, 'Single Ticket': 4}",{'ASO Staff': 28},82.0,Female,Married,Graduate School,30309-3564,,,,,
100521,False,8,8,8,309.0,38.625,38.625,37.75,39.5,309.0,38.625,"FY23, FY24",True,True,True,2022-04-04,2023-03-21,331.0,352.0,188.0,453.0,{'Fixed Established Subscription Sunday': 8},{'Fixed Established Subscription Sunday': 4},{'Fixed Established Subscription Sunday': 4},{'ASO Staff': 8},78.0,Female,Single,Graduate School,30324-2972,8.0,8.0,0.0,1.0,1.0
100532,False,10,12,6,294.0,29.4,23.0,23.0,46.0,248.0,24.8,FY23,True,False,False,2022-03-26,2023-03-02,223.2,224.0,105.0,369.0,{'Fixed Sophomore Subscription 6 Concert': 10},{'Fixed Sophomore Subscription 6 Concert': 10},{},"{'online': 6, 'ASO Staff': 4}",74.0,Male,Married,,30341-4317,6.0,6.0,0.0,1.0,1.0
100653,False,9,18,8,1360.0,151.11111111111111,118.0,41.0,356.0,632.0,70.22222222222223,"FY23, FY24",True,True,True,2022-08-30,2024-06-05,20.5,11.5,2.0,48.0,{'Single Ticket': 9},{'Single Ticket': 5},{'Single Ticket': 4},"{'online': 8, 'ASO Staff': 1}",78.0,Male,Married,College,30309-3586,,,,,
100851,False,5,5,5,531.0,106.2,103.0,91.0,124.0,531.0,106.2,"FY23, FY24",True,True,True,2022-12-01,2023-11-16,0.6,0.0,0.0,2.0,{'Single Ticket': 5},{'Single Ticket': 3},{'Single Ticket': 2},{'ASO Staff': 5},92.0,Male,Single,Graduate School,30319,,,,,
100928,False,9,18,9,1880.0,208.88888888888889,218.0,142.0,318.0,940.0,104.44444444444444,FY24,False,True,False,2023-04-12,2024-02-28,249.22222222222223,247.0,71.0,428.0,"{'CYO Subscription': 6, 'Single Ticket': 3}",{},"{'CYO Subscription': 6, 'Single Ticket': 3}",{'ASO Staff': 9},74.0,Male,Married,,30345,,,,,
101016,False,5,8,4,184.0,36.8,46.0,23.0,46.0,115.0,23.0,FY23,True,False,False,2022-05-16,2022-05-16,218.8,180.0,131.0,348.0,{'Fixed Musician Subscription 6 Concert': 5},{'Fixed Musician Subscription 6 Concert': 5},{},{'ASO Staff': 5},62.0,Female,Married,High School,30306,6.0,4.0,2.0,0.6666666666666666,1.0
101126,False,37,74,36,6952.5,187.90540540540545,188.0,92.5,197.0,3476.25,93.95270270270272,"FY23, FY24",True,True,True,2022-05-27,2024-05-28,188.1891891891892,181.0,0.0,398.0,"{'Fixed Established Subscription 18 Concert': 34, 'Single Ticket': 1, 'Fixed Established Subscription Sunday': 1, 'Fixed Established Subscription 12 Concert': 1}","{'Fixed Established Subscription 18 Concert': 17, 'Single Ticket': 1, 'Fixed Established Subscription Sunday': 1}","{'Fixed Established Subscription 18 Concert': 17, 'Fixed Established Subscription 12 Concert': 1}",{'ASO Staff': 37},74.0,Male,Married,College,30031-1122,52.0,36.0,16.0,0.5555555555555556,3.0
