event_name,total_revenue,full_price_tickets,discounted_tickets,avg_discount_pct,total_tickets,pct_full_price,pct_discounted
230104SE,90872.0,111,683,36.591494060795064,794,14.0,86.0
230112SE,31258.65,40,299,39.895572610462594,339,11.8,88.2
230115S3,40629.45,52,295,36.94298169860572,347,15.0,85.0
230119SE,44692.4,64,406,38.20005481099183,470,13.6,86.4
230121SE,55929.65,57,561,42.140995187292745,618,9.2,90.8
230126SE,51776.8,93,482,38.83014324027662,575,16.2,83.8
230128SE,66924.56,70,642,37.12364320744386,712,9.8,90.2
230202SE,51713.9,94,490,34.626006418702275,584,16.1,83.9
230203SE,61637.95,46,587,42.246149995123616,633,7.3,92.7
230209SE,36873.75,36,363,39.392263805975304,399,9.0,91.0
230211SE,57579.4,74,502,37.98022084724652,576,12.8,87.2
230223SE,30143.85,48,316,40.28630669127933,364,13.2,86.8
230224SE,33067.61,30,323,37.37531528537072,353,8.5,91.5
230302SE,29310.0,80,235,31.078648122531657,315,25.4,74.6
230304SE,36473.0,40,348,40.86846948839494,388,10.3,89.7
230316SE,32027.0,62,292,34.89481264037243,354,17.5,82.5
230318SE,35420.25,55,341,39.713137748260316,396,13.9,86.1
230323SE,52796.15,62,512,39.992837446631775,574,10.8,89.2
230325SE,58737.5,61,558,39.852170663591274,619,9.9,90.1
230330SE,58603.8,56,500,48.238707419026554,556,10.1,89.9
230401SE,48416.01,32,450,47.93997947359225,482,6.6,93.4
230402S3,56787.75,58,536,44.848615368147065,594,9.8,90.2
230413SE,39296.35,31,430,46.559048265863154,461,6.7,93.3
230415SE,47511.76,33,505,38.83513479171468,538,6.1,93.9
230420SE,64238.7,80,568,39.66148134255777,648,12.3,87.7
230421SE,70570.16,45,723,48.82599803924367,768,5.9,94.1
230427SE,30689.6,67,300,33.99582240065377,367,18.3,81.7
230429SE,34998.05,47,380,40.522816305172825,427,11.0,89.0
230504SE,54041.0,36,558,43.52907803901295,594,6.1,93.9
230506SE,69806.7,58,663,45.79150153713335,721,8.0,92.0
230518SE,37640.9,47,423,40.1125474784945,470,10.0,90.0
230520SE,43744.66,48,448,42.971194507895284,496,9.7,90.3
230608SE,47362.6,59,489,45.26894356640961,548,10.8,89.2
230610SE,54463.75,52,550,44.11215195079912,602,8.6,91.4
230615SE,72621.45,69,648,42.90323620767339,717,9.6,90.4
230617SE,77866.25,55,708,49.26721037449197,763,7.2,92.8
230618S3,70850.0,53,647,52.48904414690917,700,7.6,92.4
230922SE,49894.65,117,423,34.69056904366761,540,21.7,78.3
230924SE,56557.3,144,455,33.360315779309694,599,24.0,76.0
231006SE,83194.5,66,701,43.66929924495638,767,8.6,91.4
231008SE,95853.25,79,740,41.653055790817945,819,9.6,90.4
231009S3,84768.0,75,691,52.14744480471992,766,9.8,90.2
231014SE,37968.4,74,346,33.968245420918045,420,17.6,82.4
231015SE,40258.6,101,342,27.59629316098884,443,22.8,77.2
231110SE,25219.0,36,209,34.729892688178005,245,14.7,85.3
231112SE,30484.15,74,281,28.441555784169967,355,20.8,79.2
231117SE,49058.3,112,426,34.03690394413091,538,20.8,79.2
231119SE,57763.1,65,506,38.02732314322594,571,11.4,88.6
231201SE,100196.0,72,823,49.221810079806616,895,8.0,92.0
231203SE,100810.5,98,772,50.19767760356991,870,11.3,88.7
231208SE,53464.15,54,534,41.235013979079845,588,9.2,90.8
231210SE,47116.81,60,424,42.84511516614103,484,12.4,87.6
231211S3,49366.55,42,495,48.78925623148314,537,7.8,92.2
231215SE,76086.8,74,529,45.687159406860225,603,12.3,87.7
231216SE,92140.25,96,512,41.469562757384246,608,15.8,84.2
231218S3,89528.15,88,489,44.44568323431968,577,15.3,84.7
231218SE,88537.9,92,486,41.573415281784335,578,15.9,84.1
231222SE,85659.9,86,566,44.749807568257886,652,13.2,86.8
240103SE,115195.0,137,783,39.32708148041729,920,14.9,85.1
240118SE,38718.9,62,344,31.667273131889736,406,15.3,84.7
240120SE,41489.35,49,352,31.788508373177617,401,12.2,87.8
240125SE,58820.2,98,520,34.68817543622291,618,15.9,84.1
240127SE,75546.95,82,643,34.08366974977331,725,11.3,88.7
240201SE,70789.55,63,584,44.543858804059866,647,9.7,90.3
240203SE,78010.9,62,680,45.17229177389709,742,8.4,91.6
240215SE,37757.1,90,293,33.95419763972086,383,23.5,76.5
240216SE,38154.0,55,315,34.413888757783724,370,14.9,85.1
240222SE,61694.75,72,489,39.95176947177089,561,12.8,87.2
240224SE,63416.0,85,469,33.808811707407145,554,15.3,84.7
240225SM,69625.7,50,597,48.3601325434853,647,7.7,92.3
240229SE,35065.75,68,316,33.107131351192834,384,17.7,82.3
240302SE,43233.05,47,427,41.818984297779046,474,9.9,90.1
240314SE,54982.15,47,584,44.728896609987565,631,7.4,92.6
240316SE,59975.45,43,523,44.17231563283044,566,7.6,92.4
240321SE,68531.75,48,544,49.99613028259955,592,8.1,91.9
240322SE,52387.25,59,296,33.78128350129465,355,16.6,83.4
240323SE,88310.25,65,612,43.52103660985878,677,9.6,90.4
240324SM,81837.5,66,628,51.943914212702545,694,9.5,90.5
240404SE,57978.75,53,511,36.21746275527366,564,9.4,90.6
240405SE,53929.6,87,440,35.83837594313167,527,16.5,83.5
240411SE,79095.75,83,627,40.30713451564057,710,11.7,88.3
240413SE,86889.85,82,700,42.988033637184905,782,10.5,89.5
240418SE,60135.05,55,563,39.46433018779701,618,8.9,91.1
240419BT,0.0,0,0,0.0,0,,
240420C1,30.0,0,0,0.0,0,,
240420SE,74302.45,73,639,39.35355398317603,712,10.3,89.7
240425SE,61040.8,86,528,40.452750479227426,614,14.0,86.0
