price_code,total_revenue,avg_price,ticket_count,unique_patrons,pct_of_tickets,pct_of_revenue
C*,648923.5,118.91579622503207,5457,4551,7.42,9.0
A*,603261.1,191.0868229331644,3157,2586,4.29,8.37
E*,423470.95,102.53533898305085,4130,3550,5.62,5.88
F*,337676.3,193.28923869490555,1747,1454,2.38,4.69
AE1,256464.0,173.16948008102634,1481,177,2.01,3.56
G*,248289.35,150.20529340592861,1653,1517,2.25,3.45
B*,246193.7,149.20830303030303,1650,1435,2.24,3.42
H*,239343.75,105.39134742404227,2271,2034,3.09,3.32
D*,227220.35,87.56082851637765,2595,2229,3.53,3.15
FE1,219154.0,186.19711129991504,1177,140,1.6,3.04
ACO,215409.0,208.32591876208897,1034,171,1.41,2.99
CE1,214916.0,88.08032786885246,2440,327,3.32,2.98
I*,214829.85,78.9815625,2720,2413,3.7,2.98
J*,191129.9,59.10015460729746,3234,2796,4.4,2.65
CCO,153826.0,104.92905866302866,1466,302,1.99,2.13
AAO,152814.33,181.9218214285714,840,405,1.14,2.12
BE1,117558.0,104.12577502214349,1129,167,1.54,1.63
FCO,96393.0,199.1590909090909,484,107,0.66,1.34
AE4,91485.0,123.29514824797843,742,32,1.01,1.27
CAO,74937.0,104.51464435146444,717,387,0.98,1.04
EE1,69581.0,62.85546522131888,1107,148,1.51,0.97
BCO,67071.0,140.61006289308176,477,120,0.65,0.93
FE2,66120.0,153.7674418604651,430,21,0.58,0.92
IE1,59113.5,62.55396825396826,945,122,1.29,0.82
GE1,55492.0,117.81740976645435,471,84,0.64,0.77
AAJ,53544.7,278.87864583333334,192,115,0.26,0.74
FE4,51893.0,137.28306878306879,378,14,0.51,0.72
ECO,45149.67,83.6105,540,122,0.73,0.63
AE2,44032.0,174.73015873015873,252,24,0.34,0.61
CAJ,43524.0,193.44,225,95,0.31,0.6
A33,43131.0,61.61571428571428,700,284,0.95,0.6
CWB,39571.0,126.02229299363057,314,206,0.43,0.55
EAO,38140.0,110.23121387283237,346,208,0.47,0.53
HAJ,37517.0,282.0827067669173,133,29,0.18,0.52
GCO,36803.0,150.21632653061224,245,65,0.33,0.51
FAO,36274.0,178.68965517241378,203,124,0.28,0.5
HE1,35431.0,81.63824884792626,434,73,0.59,0.49
BAO,34700.0,137.15415019762847,253,166,0.34,0.48
ICO,29399.0,69.17411764705882,425,103,0.58,0.41
CF1,29238.0,40.10699588477366,729,153,0.99,0.41
AWB,28988.0,222.98461538461538,130,95,0.18,0.4
DE1,28787.0,40.71711456859972,707,83,0.96,0.4
CSS,28588.75,87.96538461538462,325,71,0.44,0.4
CE4,27922.0,59.15677966101695,472,25,0.64,0.39
FSS,27629.75,201.67700729927006,137,26,0.19,0.38
A39,27573.0,70.51918158567774,391,149,0.53,0.38
F33,26796.0,60.9,440,199,0.6,0.37
BE4,25667.0,88.81314878892734,289,15,0.39,0.36
CS1,25232.5,57.87270642201835,436,84,0.59,0.35
AF1,24107.25,91.3153409090909,264,64,0.36,0.33
ASS,23957.0,173.6014492753623,138,28,0.19,0.33
CE2,22314.0,75.13131313131314,297,28,0.4,0.31
AS1,21912.0,136.95,160,39,0.22,0.3
FF1,21753.0,94.99126637554585,229,45,0.31,0.3
DAO,20196.0,77.67692307692307,260,153,0.35,0.28
HCO,18526.0,121.08496732026144,153,47,0.21,0.26
DCO,17169.0,55.56310679611651,309,66,0.42,0.24
HAO,16880.0,90.26737967914438,187,131,0.25,0.23
GAO,16304.0,123.51515151515152,132,89,0.18,0.23
F39,16029.0,69.99563318777292,229,87,0.31,0.22
BSS,15654.5,92.6301775147929,169,32,0.23,0.22
CAE,15560.0,129.66666666666666,120,94,0.16,0.22
EWB,15302.0,102.01333333333334,150,90,0.2,0.21
CE3,14278.0,54.91538461538462,260,13,0.35,0.2
C33,14190.0,66.0,215,108,0.29,0.2
BF1,13987.5,54.85294117647059,255,61,0.35,0.19
BE2,13728.0,96.0,143,16,0.19,0.19
FS1,13307.5,118.81696428571429,112,24,0.15,0.18
JE1,13294.0,34.89238845144357,381,58,0.52,0.18
A,12945.0,187.6086956521739,69,57,0.09,0.18
DE4,12173.0,37.34049079754601,326,10,0.44,0.17
C39,11037.0,74.57432432432432,148,66,0.2,0.15
JCO,11030.0,44.475806451612904,248,55,0.34,0.15
C5S,10797.25,51.41547619047619,210,53,0.29,0.15
ESS,10718.75,64.18413173652695,167,33,0.23,0.15
FE3,10538.0,178.61016949152543,59,3,0.08,0.15
AE3,10261.0,165.5,62,5,0.08,0.14
B33,10230.0,61.25748502994012,167,86,0.23,0.14
HWB,9880.0,120.48780487804878,82,54,0.11,0.14
BE3,9781.0,99.8061224489796,98,7,0.13,0.14
IF1,9591.3,31.039805825242716,309,68,0.42,0.13
ISS,9078.0,72.624,125,25,0.17,0.13
AAE,9012.0,231.07692307692307,39,33,0.05,0.13
IAO,8941.0,62.96478873239437,142,86,0.19,0.12
EAJ,8909.0,148.48333333333332,60,51,0.08,0.12
AS4,8745.0,107.96296296296296,81,4,0.11,0.12
EF1,8647.0,32.630188679245286,265,59,0.36,0.12
GE4,8632.25,89.91927083333333,96,3,0.13,0.12
HF1,8554.0,42.77,200,44,0.27,0.12
BAJ,8486.0,180.5531914893617,47,34,0.06,0.12
IWB,8473.5,87.35567010309278,97,65,0.13,0.12
FWB,8230.0,205.75,40,32,0.05,0.11
C3S,7957.0,62.653543307086615,127,39,0.17,0.11
K*,7871.0,183.04651162790697,43,41,0.06,0.11
GE2,7750.0,110.71428571428571,70,11,0.1,0.11
AL1,7735.0,143.24074074074073,54,12,0.07,0.11
CF4,7699.0,33.185344827586206,232,15,0.32,0.11
CL1,7417.0,66.22321428571429,112,23,0.15,0.1
FAJ,7296.25,235.36290322580646,31,28,0.04,0.1
F3S,7250.0,145.0,50,13,0.07,0.1
EAE,7197.0,110.72307692307692,65,55,0.09,0.1
GF1,7092.0,53.72727272727273,132,27,0.18,0.1
ES1,6928.5,41.24107142857143,168,38,0.23,0.1
BS1,6905.5,75.88461538461539,91,31,0.12,0.1
IE4,6826.5,50.56666666666667,135,7,0.18,0.09
G33,6699.0,64.41346153846153,104,65,0.14,0.09
AU2,6633.75,96.1413043478261,69,6,0.09,0.09
CS4,6614.0,52.492063492063494,126,7,0.17,0.09
B39,6591.0,78.46428571428571,84,42,0.11,0.09
C,6278.5,114.15454545454546,55,46,0.07,0.09
GWB,6011.0,143.11904761904762,42,36,0.06,0.08
