acct_id,fiscal_year,price_code_type,package_size,actual_events,tickets_sold,avg_seats_per_event,expected_events,event_gap,utilization_pct
100103,FY23,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
100103,FY24,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
100521,FY23,Fixed Established Subscription Sunday,4.0,4,4,1.0,4.0,0.0,1.0
100521,FY24,Fixed Established Subscription Sunday,4.0,4,4,1.0,4.0,0.0,1.0
100532,FY23,Fixed Sophomore Subscription 6 Concert,6.0,6,12,1.2,6.0,0.0,1.0
101016,FY23,Fixed Musician Subscription 6 Concert,6.0,4,8,1.6,6.0,2.0,0.6666666666666666
101126,FY23,Fixed Established Subscription 18 Concert,18.0,17,34,2.0,18.0,1.0,0.9444444444444444
101126,FY23,Fixed Established Subscription Sunday,4.0,1,2,2.0,4.0,3.0,0.25
101126,FY24,Fixed Established Subscription 12 Concert,12.0,1,2,2.0,12.0,11.0,0.08333333333333333
101126,FY24,Fixed Established Subscription 18 Concert,18.0,17,34,2.0,18.0,1.0,0.9444444444444444
101742,FY23,Fixed Upgrade Subscription 6 Concert,6.0,6,12,1.7142857142857142,6.0,0.0,1.0
101742,FY24,Fixed Established Subscription 6 Concert,6.0,5,10,2.0,6.0,1.0,0.8333333333333334
102050,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
102050,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
102644,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
102831,FY23,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
102831,FY24,Fixed Established Subscription Sunday,4.0,4,4,1.0,4.0,0.0,1.0
102941,FY23,Fixed Established Subscription 12 Concert,12.0,9,24,1.8461538461538463,12.0,3.0,0.75
102941,FY24,Fixed Established Subscription 12 Concert,12.0,10,22,2.0,12.0,2.0,0.8333333333333334
103194,FY23,Fixed Established Subscription 6 Concert,6.0,1,2,2.0,6.0,5.0,0.16666666666666666
103194,FY24,Fixed Established Subscription 6 Concert,6.0,3,6,2.0,6.0,3.0,0.5
103601,FY23,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
104129,FY23,Fixed Sophomore  Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
104228,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
105097,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
105097,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
106087,FY24,Fixed Established Subscription 24 Concert,24.0,1,1,1.0,24.0,23.0,0.041666666666666664
107132,FY23,Fixed Chorus Subscription 12 Concert,12.0,1,2,2.0,12.0,11.0,0.08333333333333333
108562,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
108562,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
109112,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
109112,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
109211,FY23,Fixed Established Subscription 6 Concert,6.0,6,18,3.0,6.0,0.0,1.0
109211,FY24,Fixed Established Subscription 6 Concert,6.0,6,18,3.0,6.0,0.0,1.0
109453,FY23,Fixed Established Subscription 6 Concert,6.0,5,10,2.0,6.0,1.0,0.8333333333333334
109453,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
109948,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
109948,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
110234,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,1.7142857142857142,6.0,0.0,1.0
110234,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
110256,FY23,Fixed Established Subscription 12 Concert,12.0,12,24,2.0,12.0,0.0,1.0
110256,FY24,Fixed Established Subscription 12 Concert,12.0,6,12,2.0,12.0,6.0,0.5
110256,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
110751,FY24,Fixed Freshman Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
112247,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
112247,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
112313,FY23,Fixed Established Subscription 24 Concert,24.0,23,24,1.0434782608695652,24.0,1.0,0.9583333333333334
112313,FY23,Fixed Established Subscription Sunday,4.0,4,4,1.0,4.0,0.0,1.0
112313,FY23,Fixed Musician Subscription 24 Concert,24.0,1,1,1.0,24.0,23.0,0.041666666666666664
112313,FY24,Fixed Established Subscription 24 Concert,24.0,24,24,1.0,24.0,0.0,1.0
112951,FY23,Fixed Established Subscription 6 Concert,6.0,18,36,2.0,6.0,-12.0,3.0
112951,FY24,Fixed Established Subscription 18 Concert,18.0,18,36,2.0,18.0,0.0,1.0
113468,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
113468,FY24,Fixed Established Subscription 6 Concert,6.0,7,12,1.7142857142857142,6.0,-1.0,1.1666666666666667
113853,FY24,Fixed Established Subscription 24 Concert,24.0,1,1,1.0,24.0,23.0,0.041666666666666664
113853,FY24,Fixed Sophomore Subscription 6 Concert,6.0,4,4,1.0,6.0,2.0,0.6666666666666666
113853,FY24,Fixed Upgrade Subscription 6 Concert,6.0,1,1,1.0,6.0,5.0,0.16666666666666666
114260,FY23,Fixed Freshman Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
114425,FY24,Fixed Lapsed Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
114557,FY23,Fixed Established Subscription 6 Concert,6.0,8,12,1.2,6.0,-2.0,1.3333333333333333
114557,FY24,Fixed Established Subscription 6 Concert,6.0,7,12,1.5,6.0,-1.0,1.1666666666666667
115987,FY23,Fixed Established Subscription 6 Concert,6.0,5,10,2.0,6.0,1.0,0.8333333333333334
115987,FY23,Fixed Musician Subscription 18 Concert,18.0,1,2,2.0,18.0,17.0,0.05555555555555555
115987,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
116119,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
116119,FY24,Fixed Established Subscription 6 Concert,6.0,6,11,1.8333333333333333,6.0,0.0,1.0
