acct_id,subscription_expected_events,subscription_actual_events,subscription_event_gap,subscription_utilization_pct,subscription_packages
100103,12.0,12,0.0,1.0,1
100521,8.0,8,0.0,1.0,1
100532,6.0,6,0.0,1.0,1
101016,6.0,4,2.0,0.6666666666666666,1
101126,52.0,36,16.0,0.5555555555555556,3
101742,12.0,11,1.0,0.9166666666666667,2
102050,12.0,12,0.0,1.0,1
102644,6.0,6,0.0,1.0,1
102831,10.0,10,0.0,1.0,2
102941,24.0,19,5.0,0.7916666666666667,1
103194,12.0,4,8.0,0.3333333333333333,1
103601,4.0,4,0.0,1.0,1
104129,4.0,4,0.0,1.0,1
104228,6.0,6,0.0,1.0,1
105097,12.0,12,0.0,1.0,1
106087,24.0,1,23.0,0.041666666666666664,1
107132,12.0,1,11.0,0.08333333333333333,1
108562,12.0,12,0.0,1.0,1
109112,12.0,12,0.0,1.0,1
109211,12.0,12,0.0,1.0,1
109453,12.0,11,1.0,0.9166666666666667,1
109948,12.0,12,0.0,1.0,1
110234,12.0,12,0.0,1.0,1
110256,30.0,24,6.0,0.8333333333333334,2
110751,4.0,4,0.0,1.0,1
112247,12.0,12,0.0,1.0,1
112313,76.0,52,24.0,0.75,3
112951,24.0,36,-12.0,2.0,2
113468,12.0,13,-1.0,1.0833333333333335,1
113853,36.0,6,30.0,0.29166666666666663,3
114260,4.0,4,0.0,1.0,1
114425,6.0,6,0.0,1.0,1
114557,12.0,15,-3.0,1.25,1
115987,30.0,12,18.0,0.6296296296296297,2
116119,12.0,12,0.0,1.0,1
116526,12.0,12,0.0,1.0,1
116735,48.0,44,4.0,0.9166666666666667,1
116856,6.0,6,0.0,1.0,1
117131,12.0,12,0.0,1.0,1
117164,24.0,23,1.0,0.9583333333333333,1
117263,6.0,6,0.0,1.0,1
117296,12.0,12,0.0,1.0,1
117417,12.0,12,0.0,1.0,1
118330,14.0,8,6.0,0.6388888888888888,3
119111,12.0,12,0.0,1.0,1
119166,6.0,6,0.0,1.0,1
119221,4.0,4,0.0,1.0,1
119826,12.0,12,0.0,1.0,1
120156,18.0,12,6.0,0.6666666666666666,2
120519,8.0,4,4.0,0.5,2
120541,36.0,36,0.0,1.0,1
120629,48.0,48,0.0,1.0,1
121355,12.0,12,0.0,1.0,2
121432,6.0,6,0.0,1.0,1
121476,6.0,6,0.0,1.0,1
122125,6.0,6,0.0,1.0,1
123126,10.0,10,0.0,1.0,2
123423,12.0,12,0.0,1.0,1
123819,24.0,24,0.0,1.0,1
124996,12.0,7,5.0,0.5833333333333334,1
125062,12.0,12,0.0,1.0,1
125073,12.0,12,0.0,1.0,1
125909,6.0,6,0.0,1.0,1
126041,12.0,12,0.0,1.0,1
127944,24.0,23,1.0,0.9583333333333333,2
128769,6.0,6,0.0,1.0,1
128978,12.0,12,0.0,1.0,1
129363,12.0,12,0.0,1.0,2
130067,12.0,11,1.0,0.9166666666666666,1
130133,6.0,6,0.0,1.0,1
130243,4.0,4,0.0,1.0,1
130738,8.0,7,1.0,0.875,1
130881,8.0,8,0.0,1.0,1
132454,24.0,24,0.0,1.0,1
133378,12.0,12,0.0,1.0,1
133653,8.0,8,0.0,1.0,1
134159,12.0,12,0.0,1.0,1
135270,12.0,13,-1.0,1.0833333333333335,1
135336,12.0,12,0.0,1.0,1
135402,12.0,12,0.0,1.0,2
136777,22.0,4,18.0,0.4027777777777778,2
136898,12.0,12,0.0,1.0,1
137811,6.0,1,5.0,0.16666666666666666,1
138218,12.0,12,0.0,1.0,1
139175,8.0,8,0.0,1.0,1
139824,24.0,14,10.0,0.75,2
139923,16.0,21,-5.0,1.25,2
140341,6.0,6,0.0,1.0,1
141210,6.0,6,0.0,1.0,1
141815,8.0,8,0.0,1.0,1
141881,12.0,12,0.0,1.0,1
142365,12.0,10,2.0,0.8333333333333333,1
142442,6.0,5,1.0,0.8333333333333334,1
142838,6.0,1,5.0,0.16666666666666666,1
143091,24.0,24,0.0,1.0,1
143630,12.0,12,0.0,1.0,1
144565,12.0,12,0.0,1.0,1
144587,12.0,12,0.0,1.0,2
145082,48.0,36,12.0,0.75,1
145621,12.0,12,0.0,1.0,1
145687,48.0,49,-1.0,1.0208333333333335,1
145830,24.0,24,0.0,1.0,1
146083,48.0,47,1.0,0.9791666666666667,1
146413,12.0,3,9.0,0.25,1
146952,24.0,24,0.0,1.0,1
147513,48.0,47,1.0,0.9791666666666667,1
147810,12.0,12,0.0,1.0,1
149889,12.0,10,2.0,0.8333333333333333,1
150857,6.0,6,0.0,1.0,1
151319,12.0,12,0.0,1.0,1
